update,timeToCoalescence,ID,accuracy_AVE,accuracy_LIST,alive,genomeLength,optimizeValue,sGained_AVE,sGained_LIST,sLost_AVE,sLost_LIST,score_AVE,score_LIST,timeOfBirth,totalBuilt_AVE,totalBuilt_LIST,totalFF_AVE,totalFF_LIST,totalGotHit_AVE,totalGotHit_LIST,totalHarvest_AVE,totalHarvest_LIST,totalShots_AVE,totalShots_LIST,totalStructFF_AVE,totalStructFF_LIST,totalStructGotHit_AVE,totalStructGotHit_LIST,totalStructHit_AVE,totalStructHit_LIST,totalSuccessfulShots_AVE,totalSuccessfulShots_LIST,totalSwitch_AVE,totalSwitch_LIST
0,0,73,0.000000,"[0.000000]",1,5000,0.002000,0.002000,"[0.002000]",0.000000,"[0.000000]",0.002000,"[0.002000]",-1,0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",12.000000,"[12]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",1.000000,"[1]"
100,0,30376,83.333333,"[83.333333]",1,3179,19.134000,30.134000,"[30.134000]",22.000000,"[22.000000]",19.134000,"[19.134000]",100,0.000000,"[0]",2.000000,"[2]",8.000000,"[8]",0.000000,"[0]",12.000000,"[12]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",10.000000,"[10]",1.000000,"[1]"
200,0,60356,100.000000,"[100.000000]",1,3296,36.004000,36.004000,"[36.004000]",0.000000,"[0.000000]",36.004000,"[36.004000]",200,0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",12.000000,"[12]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",12.000000,"[12]",2.000000,"[2]"
300,0,90324,100.000000,"[100.000000]",1,5116,36.015000,36.015000,"[36.015000]",0.000000,"[0.000000]",36.015000,"[36.015000]",300,0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",12.000000,"[12]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",12.000000,"[12]",5.000000,"[5]"
400,0,120327,15.000000,"[15.000000]",1,5162,163.978000,172.478000,"[172.478000]",17.000000,"[17.000000]",163.978000,"[163.978000]",400,0.000000,"[0]",7.000000,"[7]",8.000000,"[8]",77.000000,"[77]",40.000000,"[40]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",6.000000,"[6]",86.000000,"[86]"
500,0,150342,33.333333,"[33.333333]",1,5625,13.269000,23.269000,"[23.269000]",20.000000,"[20.000000]",13.269000,"[13.269000]",500,0.000000,"[0]",1.000000,"[1]",7.000000,"[7]",4.000000,"[4]",15.000000,"[15]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",5.000000,"[5]",12.000000,"[12]"
600,0,180393,20.408163,"[20.408163]",1,5848,112.240000,130.240000,"[130.240000]",36.000000,"[36.000000]",112.240000,"[112.240000]",600,0.000000,"[0]",3.000000,"[3]",13.000000,"[13]",50.000000,"[50]",49.000000,"[49]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",10.000000,"[10]",121.000000,"[121]"
700,0,210337,25.490196,"[25.490196]",1,4503,249.374000,263.374000,"[263.374000]",28.000000,"[28.000000]",249.374000,"[249.374000]",700,0.000000,"[0]",2.000000,"[2]",10.000000,"[10]",112.000000,"[112]",51.000000,"[51]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",13.000000,"[13]",128.000000,"[128]"
800,0,240395,26.829268,"[26.829268]",1,3612,239.351000,247.351000,"[247.351000]",16.000000,"[16.000000]",239.351000,"[239.351000]",800,0.000000,"[0]",8.000000,"[8]",8.000000,"[8]",107.000000,"[107]",41.000000,"[41]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",11.000000,"[11]",108.000000,"[108]"
900,0,270327,49.122807,"[49.122807]",1,3100,181.732000,208.232000,"[208.232000]",53.000000,"[53.000000]",181.732000,"[181.732000]",900,0.000000,"[0]",7.000000,"[7]",20.000000,"[20]",62.000000,"[62]",57.000000,"[57]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",28.000000,"[28]",92.000000,"[92]"
