update,timeToCoalescence,ID,accuracy_AVE,accuracy_LIST,alive,genomeLength,optimizeValue,sGained_AVE,sGained_LIST,sLost_AVE,sLost_LIST,score_AVE,score_LIST,timeOfBirth,totalBuilt_AVE,totalBuilt_LIST,totalFF_AVE,totalFF_LIST,totalGotHit_AVE,totalGotHit_LIST,totalHarvest_AVE,totalHarvest_LIST,totalShots_AVE,totalShots_LIST,totalStructFF_AVE,totalStructFF_LIST,totalStructGotHit_AVE,totalStructGotHit_LIST,totalStructHit_AVE,totalStructHit_LIST,totalSuccessfulShots_AVE,totalSuccessfulShots_LIST,totalSwitch_AVE,totalSwitch_LIST
0,0,76,0.000000,"[0.000000]",1,5000,-2.498000,0.002000,"[0.002000]",5.000000,"[5.000000]",-2.498000,"[-2.498000]",-1,1.000000,"[1]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",1.000000,"[1]"
100,0,30309,0.000000,"[0.000000]",1,6095,207.613000,232.613000,"[232.613000]",50.000000,"[50.000000]",207.613000,"[207.613000]",100,1.000000,"[1]",0.000000,"[0]",0.000000,"[0]",116.000000,"[116]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",10.000000,"[10]"
200,0,60377,0.000000,"[0.000000]",1,6441,287.742000,292.742000,"[292.742000]",10.000000,"[10.000000]",287.742000,"[287.742000]",200,0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",146.000000,"[146]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",2.000000,"[2]"
300,0,90307,0.000000,"[0.000000]",1,7194,311.992000,316.992000,"[316.992000]",10.000000,"[10.000000]",311.992000,"[311.992000]",300,0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",158.000000,"[158]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",2.000000,"[2]"
400,0,120393,0.000000,"[0.000000]",1,5859,326.006000,331.006000,"[331.006000]",10.000000,"[10.000000]",326.006000,"[326.006000]",400,0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",165.000000,"[165]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",2.000000,"[2]"
500,0,150305,0.000000,"[0.000000]",1,7055,271.989000,276.989000,"[276.989000]",10.000000,"[10.000000]",271.989000,"[271.989000]",500,0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",138.000000,"[138]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",2.000000,"[2]"
600,0,180349,0.000000,"[0.000000]",1,4788,303.980000,308.980000,"[308.980000]",10.000000,"[10.000000]",303.980000,"[303.980000]",600,0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",154.000000,"[154]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",2.000000,"[2]"
700,0,210355,0.000000,"[0.000000]",1,6363,269.949000,274.949000,"[274.949000]",10.000000,"[10.000000]",269.949000,"[269.949000]",700,0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",137.000000,"[137]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",2.000000,"[2]"
800,0,240335,0.000000,"[0.000000]",1,8753,232.802000,248.802000,"[248.802000]",32.000000,"[32.000000]",232.802000,"[232.802000]",800,0.000000,"[0]",1.000000,"[1]",1.000000,"[1]",124.000000,"[124]",2.000000,"[2]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",6.000000,"[6]"
900,0,270343,0.000000,"[0.000000]",1,15099,327.909000,332.909000,"[332.909000]",10.000000,"[10.000000]",327.909000,"[327.909000]",900,0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",166.000000,"[166]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",2.000000,"[2]"
