update,timeToCoalescence,ID,accuracy_AVE,accuracy_LIST,alive,genomeLength,optimizeValue,sGained_AVE,sGained_LIST,sLost_AVE,sLost_LIST,score_AVE,score_LIST,timeOfBirth,totalBuilt_AVE,totalBuilt_LIST,totalFF_AVE,totalFF_LIST,totalGotHit_AVE,totalGotHit_LIST,totalHarvest_AVE,totalHarvest_LIST,totalShots_AVE,totalShots_LIST,totalStructFF_AVE,totalStructFF_LIST,totalStructGotHit_AVE,totalStructGotHit_LIST,totalStructHit_AVE,totalStructHit_LIST,totalSuccessfulShots_AVE,totalSuccessfulShots_LIST,totalSwitch_AVE,totalSwitch_LIST
0,0,7,0.000000,"[0.000000]",1,5000,0.001000,0.001000,"[0.001000]",0.000000,"[0.000000]",0.001000,"[0.001000]",-1,2.000000,"[2]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",1.000000,"[1]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",412.000000,"[412]"
100,0,30360,91.666667,"[91.666667]",1,4563,15.500000,33.000000,"[33.000000]",35.000000,"[35.000000]",15.500000,"[15.500000]",100,0.000000,"[0]",1.000000,"[1]",12.000000,"[12]",0.000000,"[0]",12.000000,"[12]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",11.000000,"[11]",2.000000,"[2]"
200,0,60387,100.000000,"[100.000000]",1,1821,36.000000,36.000000,"[36.000000]",0.000000,"[0.000000]",36.000000,"[36.000000]",200,0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",12.000000,"[12]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",12.000000,"[12]",2.000000,"[2]"
300,0,90361,0.000000,"[0.000000]",1,2206,42.000000,60.000000,"[60.000000]",36.000000,"[36.000000]",42.000000,"[42.000000]",300,14.000000,"[14]",0.000000,"[0]",12.000000,"[12]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",12.000000,"[12]",0.000000,"[0]",0.000000,"[0]",4.000000,"[4]"
400,0,120370,100.000000,"[100.000000]",1,3732,36.000000,36.000000,"[36.000000]",0.000000,"[0.000000]",36.000000,"[36.000000]",400,0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",12.000000,"[12]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",12.000000,"[12]",2.000000,"[2]"
500,0,150392,91.666667,"[91.666667]",1,4316,15.001000,33.001000,"[33.001000]",36.000000,"[36.000000]",15.001000,"[15.001000]",500,1.000000,"[1]",0.000000,"[0]",12.000000,"[12]",0.000000,"[0]",12.000000,"[12]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",11.000000,"[11]",20.000000,"[20]"
600,0,180382,91.666667,"[91.666667]",1,2035,15.001000,33.001000,"[33.001000]",36.000000,"[36.000000]",15.001000,"[15.001000]",600,2.000000,"[2]",0.000000,"[0]",12.000000,"[12]",0.000000,"[0]",12.000000,"[12]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",11.000000,"[11]",67.000000,"[67]"
700,0,210374,100.000000,"[100.000000]",1,2283,31.500000,36.000000,"[36.000000]",9.000000,"[9.000000]",31.500000,"[31.500000]",700,1.000000,"[1]",0.000000,"[0]",3.000000,"[3]",0.000000,"[0]",12.000000,"[12]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",12.000000,"[12]",29.000000,"[29]"
800,0,240311,75.000000,"[75.000000]",1,2394,18.500000,27.000000,"[27.000000]",17.000000,"[17.000000]",18.500000,"[18.500000]",800,0.000000,"[0]",1.000000,"[1]",6.000000,"[6]",0.000000,"[0]",12.000000,"[12]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",9.000000,"[9]",2.000000,"[2]"
900,0,270391,100.000000,"[100.000000]",1,1861,36.000000,36.000000,"[36.000000]",0.000000,"[0.000000]",36.000000,"[36.000000]",900,1.000000,"[1]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",12.000000,"[12]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",12.000000,"[12]",2.000000,"[2]"
