update,timeToCoalescence,ID,accuracy_AVE,accuracy_LIST,alive,genomeLength,optimizeValue,sGained_AVE,sGained_LIST,sLost_AVE,sLost_LIST,score_AVE,score_LIST,timeOfBirth,totalBuilt_AVE,totalBuilt_LIST,totalFF_AVE,totalFF_LIST,totalGotHit_AVE,totalGotHit_LIST,totalHarvest_AVE,totalHarvest_LIST,totalShots_AVE,totalShots_LIST,totalStructFF_AVE,totalStructFF_LIST,totalStructGotHit_AVE,totalStructGotHit_LIST,totalStructHit_AVE,totalStructHit_LIST,totalSuccessfulShots_AVE,totalSuccessfulShots_LIST,totalSwitch_AVE,totalSwitch_LIST
0,0,98,100.000000,"[100.000000]",1,5000,3.001000,3.001000,"[3.001000]",0.000000,"[0.000000]",3.001000,"[3.001000]",-1,6.000000,"[6]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",1.000000,"[1]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",1.000000,"[1]",2.000000,"[2]"
100,0,30330,66.666667,"[66.666667]",1,3436,6.004000,24.004000,"[24.004000]",36.000000,"[36.000000]",6.004000,"[6.004000]",100,0.000000,"[0]",0.000000,"[0]",12.000000,"[12]",0.000000,"[0]",12.000000,"[12]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",8.000000,"[8]",2.000000,"[2]"
200,0,60352,91.666667,"[91.666667]",1,2121,27.000000,33.000000,"[33.000000]",12.000000,"[12.000000]",27.000000,"[27.000000]",200,0.000000,"[0]",0.000000,"[0]",4.000000,"[4]",0.000000,"[0]",12.000000,"[12]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",11.000000,"[11]",2.000000,"[2]"
300,0,90393,11.111111,"[11.111111]",1,1612,39.511000,43.011000,"[43.011000]",7.000000,"[7.000000]",39.511000,"[39.511000]",300,14.000000,"[14]",2.000000,"[2]",3.000000,"[3]",0.000000,"[0]",9.000000,"[9]",1.000000,"[1]",9.000000,"[9]",0.000000,"[0]",1.000000,"[1]",10.000000,"[10]"
400,0,120350,83.333333,"[83.333333]",1,2611,27.510000,35.010000,"[35.010000]",15.000000,"[15.000000]",27.510000,"[27.510000]",400,1.000000,"[1]",0.000000,"[0]",5.000000,"[5]",0.000000,"[0]",12.000000,"[12]",0.000000,"[0]",1.000000,"[1]",0.000000,"[0]",10.000000,"[10]",4.000000,"[4]"
500,0,150320,40.000000,"[40.000000]",1,3881,6.090000,6.090000,"[6.090000]",0.000000,"[0.000000]",6.090000,"[6.090000]",500,2.000000,"[2]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",5.000000,"[5]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",2.000000,"[2]",61.000000,"[61]"
600,0,180386,58.823529,"[58.823529]",1,6192,69.478000,78.478000,"[78.478000]",18.000000,"[18.000000]",69.478000,"[69.478000]",600,9.000000,"[9]",0.000000,"[0]",6.000000,"[6]",9.000000,"[9]",17.000000,"[17]",0.000000,"[0]",8.000000,"[8]",5.000000,"[5]",5.000000,"[5]",450.000000,"[450]"
700,0,210317,43.333333,"[43.333333]",1,7435,103.458000,104.458000,"[104.458000]",2.000000,"[2.000000]",103.458000,"[103.458000]",700,8.000000,"[8]",1.000000,"[1]",1.000000,"[1]",26.000000,"[26]",30.000000,"[30]",4.000000,"[4]",7.000000,"[7]",1.000000,"[1]",12.000000,"[12]",551.000000,"[551]"
800,0,240301,28.260870,"[28.260870]",1,8404,124.381000,132.381000,"[132.381000]",16.000000,"[16.000000]",124.381000,"[124.381000]",800,9.000000,"[9]",5.000000,"[5]",7.000000,"[7]",48.000000,"[48]",46.000000,"[46]",8.000000,"[8]",9.000000,"[9]",4.000000,"[4]",9.000000,"[9]",508.000000,"[508]"
900,0,270335,17.105263,"[17.105263]",1,9194,184.308000,209.308000,"[209.308000]",50.000000,"[50.000000]",184.308000,"[184.308000]",900,0.000000,"[0]",16.000000,"[16]",22.000000,"[22]",85.000000,"[85]",76.000000,"[76]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",13.000000,"[13]",844.000000,"[844]"
