update,timeToCoalescence,ID,accuracy_AVE,accuracy_LIST,alive,genomeLength,optimizeValue,sGained_AVE,sGained_LIST,sLost_AVE,sLost_LIST,score_AVE,score_LIST,timeOfBirth,totalBuilt_AVE,totalBuilt_LIST,totalFF_AVE,totalFF_LIST,totalGotHit_AVE,totalGotHit_LIST,totalHarvest_AVE,totalHarvest_LIST,totalShots_AVE,totalShots_LIST,totalStructFF_AVE,totalStructFF_LIST,totalStructGotHit_AVE,totalStructGotHit_LIST,totalStructHit_AVE,totalStructHit_LIST,totalSuccessfulShots_AVE,totalSuccessfulShots_LIST,totalSwitch_AVE,totalSwitch_LIST
0,0,55,100.000000,"[100.000000]",1,5000,36.004000,36.004000,"[36.004000]",0.000000,"[0.000000]",36.004000,"[36.004000]",-1,0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",12.000000,"[12]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",12.000000,"[12]",1.000000,"[1]"
100,0,30365,50.000000,"[50.000000]",1,3391,11.090000,12.090000,"[12.090000]",2.000000,"[2.000000]",11.090000,"[11.090000]",100,0.000000,"[0]",1.000000,"[1]",1.000000,"[1]",0.000000,"[0]",12.000000,"[12]",0.000000,"[0]",0.000000,"[0]",3.000000,"[3]",3.000000,"[3]",3.000000,"[3]"
200,0,60382,58.333333,"[58.333333]",1,2347,19.025000,19.025000,"[19.025000]",0.000000,"[0.000000]",19.025000,"[19.025000]",200,0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",12.000000,"[12]",0.000000,"[0]",0.000000,"[0]",1.000000,"[1]",6.000000,"[6]",2.000000,"[2]"
300,0,90319,30.000000,"[30.000000]",1,2550,29.095000,38.095000,"[38.095000]",18.000000,"[18.000000]",29.095000,"[29.095000]",300,0.000000,"[0]",6.000000,"[6]",8.000000,"[8]",10.000000,"[10]",20.000000,"[20]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",6.000000,"[6]",814.000000,"[814]"
400,0,120399,28.571429,"[28.571429]",1,4611,110.035000,116.535000,"[116.535000]",13.000000,"[13.000000]",110.035000,"[110.035000]",400,0.000000,"[0]",5.000000,"[5]",6.000000,"[6]",40.000000,"[40]",42.000000,"[42]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",12.000000,"[12]",130.000000,"[130]"
500,0,150341,33.695652,"[33.695652]",1,2610,294.467000,319.467000,"[319.467000]",50.000000,"[50.000000]",294.467000,"[294.467000]",500,0.000000,"[0]",13.000000,"[13]",21.000000,"[21]",113.000000,"[113]",92.000000,"[92]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",31.000000,"[31]",347.000000,"[347]"
600,0,180389,16.521739,"[16.521739]",1,3468,289.019000,331.519000,"[331.519000]",85.000000,"[85.000000]",289.019000,"[289.019000]",600,0.000000,"[0]",29.000000,"[29]",38.000000,"[38]",137.000000,"[137]",115.000000,"[115]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",19.000000,"[19]",675.000000,"[675]"
700,0,210310,0.000000,"[0.000000]",1,2308,11.352000,12.852000,"[12.852000]",3.000000,"[3.000000]",11.352000,"[11.352000]",700,0.000000,"[0]",0.000000,"[0]",1.000000,"[1]",6.000000,"[6]",2.000000,"[2]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",8.000000,"[8]"
800,0,240381,31.707317,"[31.707317]",1,3512,361.106000,371.606000,"[371.606000]",21.000000,"[21.000000]",361.106000,"[361.106000]",800,0.000000,"[0]",6.000000,"[6]",9.000000,"[9]",166.000000,"[166]",41.000000,"[41]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",13.000000,"[13]",110.000000,"[110]"
900,0,270317,16.528926,"[16.528926]",1,3084,317.366000,352.366000,"[352.366000]",70.000000,"[70.000000]",317.366000,"[317.366000]",900,0.000000,"[0]",23.000000,"[23]",31.000000,"[31]",146.000000,"[146]",121.000000,"[121]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",20.000000,"[20]",870.000000,"[870]"
1000,0,300373,41.250000,"[41.250000]",1,3258,257.838000,293.338000,"[293.338000]",71.000000,"[71.000000]",257.838000,"[257.838000]",1000,0.000000,"[0]",10.000000,"[10]",27.000000,"[27]",97.000000,"[97]",80.000000,"[80]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",33.000000,"[33]",251.000000,"[251]"
