16
0:2,1 0.001 1 -1 1,3 0.003 0 1 1,1 0.002 1 1 0.002 50 1,13 0.001 1 1 2,12 0.003 0 -1 3,14 0.002 1 0 0.002 50 13,2 0.001 1 -1 15,1 0.003 1 -1 13,0 0.002 0 -1 0.001 50 15,12 0.001 1 0 12,15 0.003 0 1 15,14 0.002 1 1 0.002 50 ::f,0,3 f,0,15 f,13,1 f,13,15 
1:2,1 0.001 1 -1 1,3 0.003 -1 1 1,1 0.001 1 1 0.002 50 1,13 0.001 1 1 2,12 0.003 1 -1 3,14 0.002 1 1 0.002 50 13,2 0.001 1 -1 15,1 0.003 1 0 13,0 0.002 1 -1 0.001 50 15,12 0.001 1 1 12,15 0.003 -1 1 15,14 0.002 0 1 0.002 50 ::f,0,3 f,0,15 f,13,1 f,13,15 
2:2,1 0.001 1 0 1,3 0.003 -1 1 2,2 0.001 1 1 0.003 50 1,13 0.001 0 1 2,12 0.003 1 -1 3,14 0.002 1 1 0.002 50 13,2 0.001 1 0 15,1 0.003 1 0 13,0 0.002 1 -1 0.001 50 15,12 0.001 1 1 12,15 0.003 -1 1 15,15 0.002 0 1 0.003 50 ::f,0,3 f,0,15 f,13,1 f,13,15 
3:2,1 0.001 1 0 1,3 0.003 -1 0 2,2 0.001 1 1 0.003 50 1,13 0.001 0 1 2,12 0.003 1 0 3,14 0.002 0 1 0.002 50 13,2 0.001 1 0 15,1 0.003 1 1 13,0 0.002 1 0 0.001 50 15,12 0.001 0 1 12,15 0.003 -1 0 15,15 0.002 -1 1 0.003 50 ::f,0,3 f,0,15 f,13,1 f,13,15 
4:2,1 0.001 1 1 1,3 0.003 -1 0 3,3 0.001 1 1 0.004 50 1,13 0.001 -1 1 3,12 0.003 1 0 3,15 0.002 0 1 0.004 50 13,2 0.001 1 1 15,1 0.003 1 1 14,0 0.002 1 0 0.002 50 15,13 0.001 0 1 12,15 0.003 -1 0 15,15 0.002 -1 1 0.004 50 ::f,0,3 f,0,15 f,13,1 f,13,15 
5:2,1 0.001 1 1 1,3 0.003 -1 -1 3,3 0.001 0 1 0.004 50 1,13 0.001 -1 1 3,12 0.003 1 1 3,15 0.002 -1 1 0.004 50 13,2 0.001 1 1 15,1 0.003 0 1 14,0 0.001 1 0 0.002 50 15,13 0.001 0 1 12,15 0.003 -1 -1 15,15 0.002 -1 0 0.004 50 ::f,0,3 f,0,15 f,13,1 f,13,15 
6:2,1 0.001 0 1 0,2 0.003 -1 -1 3,3 0.001 0 1 0.005 50 1,13 0.001 -1 0 3,12 0.003 1 1 3,15 0.002 -1 1 0.004 50 13,2 0.001 0 1 15,2 0.003 0 1 15,0 0.001 1 0 0.004 50 15,14 0.001 0 1 12,15 0.003 -1 -1 14,15 0.002 -1 0 0.006 50 ::f,0,3 f,0,15 f,13,1 f,13,15 
7:2,1 0.001 0 1 0,2 0.003 0 -1 3,3 0.001 -1 1 0.005 50 1,13 0.001 -1 0 3,12 0.003 0 1 3,15 0.002 -1 0 0.004 50 13,2 0.001 0 1 15,2 0.001 0 1 15,0 0.001 1 1 0.004 50 15,14 0.001 0 1 12,15 0.003 0 -1 14,15 0.001 -1 0 0.0061 65 ::f,0,3 f,0,15 f,13,1 f,13,13 
8:2,1 0.001 -1 1 0,1 0.003 0 -1 3,3 0.001 -1 1 0.006 50 1,13 0.001 -1 -1 3,13 0.003 0 1 2,15 0.002 -1 0 0.006 50 13,2 0.001 -1 1 15,3 0.001 0 1 15,0 0.001 1 1 0.005 50 15,15 0.001 0 1 12,14 0.003 0 -1 13,15 0.001 -1 0 0.0091 65 ::f,0,3 f,0,15 f,13,1 f,13,13 
9:2,1 0.001 -1 1 0,1 0.001 0 -1 3,3 0.001 -1 0 0.006 50 1,13 0.001 -1 -1 3,13 0.001 0 1 2,15 0.001 -1 0 0.006 50 13,2 0.001 -1 1 15,3 0.001 -1 1 15,0 0.001 0 1 0.005 50 15,15 0.001 -1 1 12,14 0.001 0 -1 13,15 0.001 -1 0 0.0091 65 ::f,0,3 f,0,15 f,13,1 f,13,13 
