16
0:3,3 0.001 1 0 2,2 0.003 -1 1 1,1 0.002 -1 1 0.003 50 1,15 0.001 1 1 3,14 0.003 1 0 2,15 0.002 0 1 0.001 50 12,3 0.001 0 1 13,3 0.003 0 1 14,2 0.002 -1 -1 0.001 50 15,13 0.001 1 1 14,12 0.003 1 -1 12,13 0.002 -1 1 0.002 50 ::f,3,0 f,3,15 f,13,12 f,14,1 
1:3,3 0.001 1 0 2,2 0.001 -1 1 1,1 0.001 -1 1 0.003 50 1,15 0.001 1 1 3,14 0.001 1 0 2,15 0.001 0 1 0.001 50 12,3 0.001 0 1 13,3 0.001 0 1 14,2 0.001 -1 -1 0.001 50 15,13 0.001 1 1 14,12 0.001 1 -1 12,13 0.001 -1 1 0.002 50 ::f,3,0 f,3,15 f,13,12 f,14,1 
2:3,3 0.001 1 1 2,2 0.001 -1 0 1,1 0.001 -1 0 0.003 50 1,15 0.001 0 1 3,14 0.001 1 1 2,15 0.001 -1 1 0.001 50 12,3 0.001 -1 1 13,3 0.001 -1 1 14,2 0.001 0 -1 0.001 50 15,13 0.001 0 1 14,12 0.001 1 0 12,13 0.001 -1 0 0.002 50 ::f,3,0 f,3,15 f,13,12 f,14,1 
3:3,3 0.001 1 1 2,2 0.001 -1 0 1,1 0.001 -1 0 0.003 50 1,15 0.001 0 1 3,14 0.001 1 1 2,15 0.001 -1 1 0.001 50 12,3 0.001 -1 1 13,3 0.001 -1 1 14,2 0.001 0 -1 0.0011 65 15,13 0.001 0 1 14,12 0.001 1 0 12,13 0.001 -1 0 0.002 50 ::f,3,0 f,3,15 f,13,2 f,13,12 
4:3,3 0.001 0 1 2,2 0.001 -1 -1 1,1 0.001 -1 -1 0.003 50 1,15 0.001 -1 1 3,14 0.001 0 1 2,15 0.001 -1 0 0.001 50 12,3 0.001 -1 0 13,3 0.001 -1 0 14,2 0.001 1 -1 0.0011 65 15,13 0.001 -1 1 14,12 0.001 1 1 12,13 0.001 -1 -1 0.002 50 ::f,3,0 f,3,15 f,13,2 f,13,12 
5:3,3 0.001 0 1 2,2 0.001 -1 -1 1,1 0.001 -1 -1 0.003 50 1,15 0.001 -1 1 3,14 0.001 0 1 2,15 0.001 -1 0 0.0011 65 12,3 0.001 -1 0 13,3 0.001 -1 0 14,2 0.001 1 -1 0.0011 65 15,13 0.001 -1 1 14,12 0.001 1 1 12,13 0.001 -1 -1 0.002 50 ::f,2,12 f,3,0 f,13,2 f,13,12 
6:3,3 0.001 -1 1 2,2 0.001 0 -1 1,1 0.001 0 -1 0.003 50 1,15 0.001 -1 0 3,14 0.001 -1 1 2,15 0.001 -1 -1 0.0011 65 12,3 0.001 -1 -1 13,3 0.001 -1 -1 14,2 0.001 1 0 0.0011 65 15,13 0.001 -1 0 14,12 0.001 0 1 12,13 0.001 0 -1 0.002 50 ::f,2,12 f,3,0 f,13,2 f,13,12 
7:3,3 0.001 -1 1 2,2 0.001 0 -1 1,1 0.001 0 -1 0.003 50 1,15 0.001 -1 0 3,14 0.001 -1 1 2,15 0.001 -1 -1 0.0011 65 12,3 0.001 -1 -1 13,3 0.001 -1 -1 14,2 0.001 1 0 0.0011 65 15,13 0.001 -1 0 14,12 0.001 0 1 12,13 0.001 0 -1 0.002 50 ::f,2,12 f,3,0 f,13,2 f,13,12 
8:3,3 0.001 -1 0 2,2 0.001 1 -1 1,1 0.001 1 -1 0.003 50 1,15 0.001 -1 -1 3,14 0.001 -1 0 2,15 0.001 0 -1 0.0011 65 12,3 0.001 0 -1 13,3 0.001 0 -1 14,2 0.001 1 1 0.0011 65 15,13 0.001 -1 -1 14,12 0.001 -1 1 12,13 0.001 1 -1 0.002 50 ::f,2,12 f,3,0 f,13,2 f,13,12 
9:3,3 0.001 -1 0 2,2 0.001 1 -1 1,1 0.001 1 -1 0.003 50 1,15 0.001 -1 -1 3,14 0.001 -1 0 2,15 0.001 0 -1 0.0011 65 12,3 0.001 0 -1 13,3 0.001 0 -1 14,2 0.001 1 1 0.0012 80 15,13 0.001 -1 -1 14,12 0.001 -1 1 12,13 0.001 1 -1 0.0021 65 ::f,2,12 f,3,0 f,12,0 f,12,15 
