16
0:0,3 0.001 -1 1 1,0 0.003 -1 0 2,3 0.002 0 1 0.003 50 3,15 0.001 -1 -1 2,13 0.003 -1 0 0,12 0.002 1 -1 0.001 50 13,2 0.001 -1 0 14,1 0.003 1 1 13,1 0.002 1 -1 0.002 50 14,12 0.001 1 -1 14,15 0.003 -1 1 13,12 0.002 1 0 0.001 50 ::f,0,2 f,2,14 f,15,2 f,15,13 
1:0,3 0.001 -1 0 1,0 0.001 -1 0 2,3 0.002 -1 1 0.003 50 3,15 0.001 -1 -1 2,13 0.001 -1 0 0,12 0.002 1 0 0.0011 65 13,2 0.001 -1 0 14,1 0.001 1 1 13,1 0.001 1 -1 0.0021 65 14,12 0.001 1 0 14,15 0.003 -1 0 13,12 0.001 1 0 0.001 50 ::f,0,2 f,1,14 f,13,0 f,15,13 
2:0,3 0.001 -1 -1 0,0 0.001 -1 0 2,3 0.002 -1 0 0.004 50 2,14 0.001 -1 -1 1,13 0.001 -1 0 1,12 0.002 1 0 0.0041 65 13,2 0.001 -1 -1 15,2 0.001 1 1 14,0 0.001 1 -1 0.0041 65 15,12 0.001 1 0 13,15 0.003 -1 0 14,12 0.001 1 0 0.004 50 ::f,0,2 f,1,14 f,13,0 f,15,13 
3:0,3 0.001 0 -1 0,0 0.001 -1 -1 1,3 0.002 -1 0 0.005 50 2,14 0.001 -1 -1 0,13 0.001 -1 0 2,12 0.002 1 0 0.0061 65 13,2 0.001 0 -1 15,2 0.001 0 1 14,0 0.001 1 0 0.0041 65 15,12 0.001 1 1 12,15 0.003 -1 0 14,12 0.001 1 0 0.005 50 ::f,0,2 f,1,14 f,13,0 f,15,13 
4:0,3 0.001 0 -1 0,0 0.001 0 -1 1,3 0.001 -1 0 0.005 50 1,13 0.001 -1 -1 0,13 0.001 -1 -1 3,12 0.002 1 0 0.0081 65 13,1 0.001 0 -1 15,3 0.001 0 1 15,0 0.001 1 0 0.0071 65 15,12 0.001 0 1 12,15 0.003 -1 -1 14,12 0.001 1 1 0.005 50 ::f,0,2 f,1,14 f,13,0 f,15,13 
5:0,3 0.001 0 -1 0,0 0.001 1 -1 1,3 0.001 -1 -1 0.005 50 1,13 0.001 -1 -1 0,13 0.001 0 -1 3,12 0.002 1 1 0.0081 65 13,1 0.001 0 -1 15,3 0.001 -1 1 15,0 0.001 1 1 0.0072 80 15,12 0.001 0 1 12,15 0.003 0 -1 14,12 0.001 1 1 0.005 50 ::f,0,2 f,1,14 f,14,1 f,15,13 
6:0,3 0.001 0 -1 0,0 0.001 1 0 0,2 0.001 -1 -1 0.0061 65 1,13 0.001 -1 -1 0,12 0.001 0 -1 3,12 0.002 0 1 0.0091 65 13,1 0.001 1 -1 15,3 0.001 -1 0 15,0 0.001 0 1 0.0072 80 15,12 0.001 0 1 12,14 0.003 0 -1 14,12 0.001 1 1 0.006 50 ::f,1,14 f,3,1 f,14,1 f,15,13 
7:0,3 0.001 0 -1 1,0 0.001 1 0 0,2 0.001 0 -1 0.0071 65 1,13 0.001 -1 -1 0,12 0.001 1 -1 3,13 0.002 0 1 0.0101 65 13,1 0.001 1 0 14,3 0.001 -1 0 15,1 0.001 0 1 0.0092 80 15,12 0.001 0 1 12,13 0.003 0 -1 14,12 0.001 1 1 0.0071 65 ::f,1,14 f,3,1 f,14,1 f,15,13 
8:0,3 0.001 1 -1 2,0 0.001 1 0 0,1 0.001 0 -1 0.0091 65 1,13 0.001 0 -1 0,12 0.001 1 0 3,14 0.002 0 1 0.0111 65 13,1 0.001 1 0 13,3 0.001 -1 0 15,2 0.001 0 1 0.0112 80 15,12 0.001 0 1 12,12 0.003 0 -1 15,13 0.001 1 1 0.0092 80 ::f,1,14 f,3,1 f,14,1 f,15,14 
9:1,2 0.001 1 -1 3,0 0.001 1 0 0,0 0.001 0 -1 0.0121 65 1,12 0.001 0 -1 0,12 0.001 1 1 3,15 0.002 0 1 0.0131 65 13,1 0.001 1 0 13,3 0.001 -1 0 15,3 0.001 0 1 2.0124 110 15,12 0.001 0 1 12,12 0.003 1 -1 15,13 0.001 0 1 0.0092 80 ::f,1,14 f,3,1 f,12,2 f,15,14 
