16
0:2,3 0.001 1 1 2,0 0.003 0 -1 0,2 0.002 0 1 0.002 50 3,14 0.001 0 -1 1,15 0.003 -1 0 0,13 0.002 0 1 0.003 50 14,3 0.001 -1 1 14,1 0.003 1 1 13,1 0.002 0 -1 0 50 12,13 0.001 1 0 15,13 0.003 -1 1 14,13 0.002 1 1 0.001 50 ::f,1,0 f,1,13 f,12,3 f,15,12 
1:2,3 0.001 0 1 2,0 0.003 1 -1 0,2 0.001 0 1 0.002 50 3,14 0.001 0 -1 1,15 0.001 -1 0 0,13 0.001 0 1 0.003 50 14,3 0.001 -1 0 14,1 0.003 0 1 13,1 0.002 1 -1 0 50 13,13 0.001 1 0 14,14 0.003 -1 1 15,14 0.002 1 1 0.004 50 ::f,1,0 f,1,13 f,12,3 f,15,12 
2:2,3 0.001 -1 1 2,0 0.003 1 0 0,2 0.001 0 1 0.002 50 3,14 0.001 0 -1 1,15 0.001 -1 0 0,14 0.001 0 1 0.004 50 13,3 0.001 -1 0 14,2 0.003 0 1 13,1 0.002 1 0 0.002 50 13,13 0.001 1 0 14,14 0.001 -1 1 15,14 0.002 0 1 0.004 50 ::f,1,0 f,1,13 f,12,3 f,15,12 
3:2,3 0.001 -1 0 3,0 0.003 1 0 0,3 0.001 0 1 0.004 50 3,13 0.001 0 -1 0,15 0.001 -1 0 0,14 0.001 0 1 0.006 50 13,3 0.001 -1 0 14,2 0.001 0 1 14,1 0.002 1 0 0.0031 65 14,13 0.001 1 0 14,14 0.001 -1 0 15,15 0.002 0 1 0.006 50 ::f,1,0 f,1,13 f,13,0 f,15,12 
4:1,3 0.001 -1 0 3,0 0.003 1 1 0,3 0.001 -1 1 0.005 50 3,13 0.001 0 -1 0,15 0.001 -1 -1 0,14 0.001 -1 1 0.006 50 12,3 0.001 -1 0 14,2 0.001 -1 1 14,1 0.001 1 0 0.0041 65 14,13 0.001 1 0 13,14 0.001 -1 0 15,15 0.002 -1 1 0.007 50 ::f,1,0 f,1,13 f,13,0 f,15,12 
5:1,3 0.001 -1 0 3,0 0.003 0 1 0,3 0.001 -1 0 0.005 50 3,13 0.001 1 -1 0,15 0.001 0 -1 0,14 0.001 -1 0 0.006 50 12,3 0.001 -1 -1 14,2 0.001 -1 0 14,1 0.001 1 1 0.0041 65 14,13 0.001 1 1 13,14 0.001 -1 0 15,15 0.002 -1 0 0.007 50 ::f,1,0 f,1,13 f,13,0 f,15,12 
6:1,3 0.001 -1 -1 3,1 0.003 0 1 0,3 0.001 -1 -1 0.006 50 3,13 0.001 1 0 0,15 0.001 1 -1 0,14 0.001 -1 -1 0.006 50 12,3 0.001 0 -1 13,2 0.001 -1 0 14,1 0.001 0 1 0.0051 65 14,13 0.001 0 1 13,14 0.001 -1 -1 14,15 0.002 -1 0 0.008 50 ::f,1,0 f,1,13 f,13,0 f,15,12 
7:0,2 0.001 -1 -1 3,2 0.003 0 1 0,3 0.001 0 -1 0.008 50 3,13 0.001 1 1 1,14 0.001 1 -1 0,14 0.001 0 -1 0.007 50 12,2 0.001 0 -1 13,2 0.001 -1 0 14,2 0.001 0 1 0.0071 65 14,14 0.001 0 1 13,14 0.001 0 -1 13,15 0.002 -1 0 0.01 50 ::f,1,0 f,1,13 f,13,0 f,15,12 
8:0,2 0.001 0 -1 3,2 0.001 0 1 0,3 0.001 1 -1 0.008 50 3,13 0.001 0 1 2,13 0.001 1 -1 0,14 0.001 1 -1 0.008 50 12,1 0.001 0 -1 13,2 0.001 -1 -1 14,2 0.001 0 1 0.0081 65 14,14 0.001 0 1 13,13 0.001 0 -1 12,15 0.002 -1 0 0.012 50 ::f,1,0 f,1,13 f,13,0 f,15,12 
9:0,1 0.001 0 -1 3,2 0.001 0 1 1,2 0.001 1 -1 0.01 50 3,13 0.001 -1 1 3,12 0.001 1 -1 0,14 0.001 1 -1 0.009 50 12,1 0.001 0 -1 13,2 0.001 0 -1 14,2 0.001 -1 1 0.0081 65 14,14 0.001 -1 1 13,13 0.001 0 -1 12,15 0.002 -1 -1 0.012 50 ::f,1,0 f,1,13 f,13,0 f,15,12 
