16
0:3,3 0.001 -1 0 1,3 0.003 0 1 2,1 0.002 1 1 0.001 50 1,12 0.001 -1 -1 2,14 0.003 1 1 2,13 0.002 -1 -1 0.003 50 13,1 0.001 1 0 15,1 0.003 1 1 12,2 0.002 -1 0 0.002 50 15,14 0.001 1 -1 12,13 0.003 1 0 15,13 0.002 1 0 0 50 ::f,2,3 f,3,12 f,13,13 f,14,1 
1:3,3 0.001 -1 1 1,3 0.001 0 1 2,1 0.001 1 1 0.001 50 1,12 0.001 -1 -1 2,14 0.001 1 1 2,13 0.001 -1 -1 0.003 50 13,1 0.001 1 0 15,1 0.003 1 0 12,2 0.001 -1 0 0.0021 65 15,14 0.001 1 -1 12,13 0.001 1 0 15,13 0.001 1 0 0.0001 65 ::f,2,3 f,3,12 f,12,15 f,15,3 
2:3,3 0.001 0 1 1,3 0.001 -1 1 2,1 0.001 0 1 0.001 50 1,12 0.001 0 -1 2,14 0.001 0 1 2,13 0.001 0 -1 0.003 50 13,1 0.001 1 1 15,1 0.003 1 -1 12,2 0.001 -1 -1 0.0021 65 15,14 0.001 1 0 12,13 0.001 1 1 15,13 0.001 1 1 0.0001 65 ::f,2,3 f,3,12 f,12,15 f,15,3 
3:3,3 0.001 1 1 1,3 0.001 -1 1 2,2 0.001 0 1 0.002 50 1,12 0.001 0 -1 2,15 0.001 0 1 2,12 0.001 0 -1 0.005 50 14,2 0.001 1 1 15,1 0.003 1 -1 12,2 0.001 -1 -1 0.0031 65 15,14 0.001 1 0 13,14 0.001 1 1 15,13 0.001 1 1 0.0011 65 ::f,2,3 f,3,12 f,12,15 f,15,3 
4:3,3 0.001 1 0 1,3 0.001 -1 1 2,2 0.001 0 1 0.0021 65 1,12 0.001 0 -1 2,15 0.001 0 1 2,12 0.001 0 -1 0.005 50 14,2 0.001 1 1 15,1 0.001 1 -1 12,2 0.001 -1 -1 1.0032 80 15,14 0.001 1 0 13,14 0.001 1 1 15,13 0.001 1 1 0.0011 65 ::f,3,0 f,3,12 f,12,15 f,15,3 
5:3,3 0.001 1 -1 1,3 0.001 -1 1 2,3 0.001 0 1 0.0031 65 1,12 0.001 0 -1 2,15 0.001 0 1 2,12 0.001 0 -1 0.005 50 14,2 0.001 1 1 15,1 0.001 1 -1 12,2 0.001 -1 -1 1.0032 80 15,14 0.001 1 0 14,15 0.001 1 1 15,13 0.001 1 1 0.0021 65 ::f,3,0 f,3,12 f,12,15 f,15,3 
6:3,3 0.001 0 -1 1,3 0.001 -1 1 2,3 0.001 0 1 0.0031 65 1,12 0.001 0 -1 2,15 0.001 0 1 2,12 0.001 0 -1 0.005 50 14,2 0.001 1 1 15,1 0.001 1 -1 12,2 0.001 -1 -1 3.0033 95 15,14 0.001 1 0 14,15 0.001 1 1 15,13 0.001 1 1 0.0021 65 ::f,3,0 f,3,12 f,12,15 f,14,0 
7:3,3 0.001 -1 -1 1,3 0.001 -1 0 2,3 0.001 -1 1 0.0031 65 1,12 0.001 1 -1 2,15 0.001 -1 1 2,12 0.001 1 -1 0.005 50 14,2 0.001 0 1 15,1 0.001 1 0 12,2 0.001 0 -1 3.0033 95 15,14 0.001 1 1 14,15 0.001 0 1 15,13 0.002 1 1 0.0021 65 ::f,3,0 f,3,12 f,12,15 f,14,0 
8:3,3 0.001 -1 0 0,3 0.001 -1 0 2,3 0.001 -1 1 0.0041 65 1,12 0.001 1 -1 2,15 0.001 -1 1 2,12 0.001 1 -1 0.005 50 14,3 0.001 0 1 15,1 0.001 1 0 12,1 0.001 0 -1 3.0053 95 15,14 0.001 1 1 14,15 0.001 0 1 15,13 0.002 1 1 0.0021 65 ::f,3,0 f,3,12 f,12,15 f,14,0 
9:3,3 0.001 -1 1 0,3 0.001 -1 0 2,3 0.001 -1 1 0.0041 65 1,12 0.001 1 -1 2,15 0.001 -1 1 2,12 0.001 1 -1 0.005 50 14,3 0.001 0 1 15,1 0.001 1 0 12,1 0.001 0 -1 3.0053 95 15,14 0.001 1 1 14,15 0.001 0 1 15,13 0.001 1 1 0.0021 65 ::f,3,0 f,3,12 f,12,15 f,14,0 
10:3,3 0.001 0 1 0,3 0.001 -1 -1 2,3 0.001 -1 0 0.0041 65 1,12 0.001 1 0 2,15 0.001 -1 0 2,12 0.001 1 0 0.005 50 14,3 0.001 -1 1 15,1 0.001 1 1 12,1 0.001 1 -1 3.0053 95 15,14 0.001 0 1 14,15 0.001 -1 1 15,13 0.001 0 1 0.0021 65 ::f,3,0 f,3,12 f,12,15 f,14,0 
11:3,3 0.001 1 1 0,3 0.001 -1 -1 1,3 0.001 -1 0 0.0051 65 1,12 0.001 1 0 1,15 0.001 -1 0 2,12 0.001 1 0 0.006 50 14,3 0.001 -1 1 15,1 0.001 1 1 13,0 0.001 1 -1 3.0063 95 15,15 0.001 0 1 14,15 0.001 -1 1 15,14 0.001 0 1 0.0041 65 ::f,3,0 f,3,12 f,12,15 f,14,0 
12:3,3 0.001 1 0 0,3 0.001 -1 -1 1,3 0.001 -1 0 0.0051 65 1,12 0.001 1 0 1,15 0.001 -1 0 2,12 0.001 1 0 0.0061 65 14,3 0.001 -1 1 15,1 0.001 1 1 13,0 0.001 1 -1 3.0063 95 15,15 0.001 0 1 14,15 0.001 -1 1 15,14 0.001 0 1 0.0041 65 ::f,2,14 f,3,0 f,12,15 f,14,0 
13:3,3 0.001 1 0 0,3 0.001 0 -1 1,3 0.001 -1 -1 0.0051 65 1,12 0.001 1 1 1,15 0.001 -1 -1 2,12 0.001 1 1 0.0061 65 14,3 0.001 -1 0 15,1 0.001 0 1 13,0 0.001 1 0 3.0063 95 15,15 0.001 -1 1 14,15 0.001 -1 0 15,14 0.001 -1 1 0.0041 65 ::f,2,14 f,3,0 f,12,15 f,14,0 
14:3,3 0.001 1 0 0,2 0.001 0 -1 1,3 0.001 -1 -1 0.0061 65 2,13 0.001 1 1 0,14 0.001 -1 -1 3,13 0.001 1 1 0.0091 65 13,3 0.001 -1 0 15,2 0.001 0 1 13,0 0.001 1 0 3.0083 95 15,15 0.001 -1 1 13,15 0.001 -1 0 14,15 0.001 -1 1 0.0061 65 ::f,2,14 f,3,0 f,12,15 f,14,0 
15:3,3 0.001 1 0 0,2 0.001 0 -1 1,3 0.001 -1 -1 0.0061 65 2,13 0.001 1 1 0,14 0.001 -1 -1 3,13 0.001 1 1 0.0091 65 13,3 0.001 -1 0 15,2 0.001 0 1 13,0 0.001 1 0 3.0084 110 15,15 0.001 -1 1 13,15 0.001 -1 0 14,15 0.001 -1 1 1.0062 80 ::f,2,14 f,3,0 f,14,1 f,15,12 
16:3,3 0.001 1 0 0,2 0.001 1 -1 1,3 0.001 0 -1 0.0061 65 2,13 0.001 0 1 0,14 0.001 0 -1 3,13 0.001 0 1 0.0091 65 13,3 0.001 -1 -1 15,2 0.001 -1 1 13,0 0.001 1 1 3.0084 110 15,15 0.001 -1 0 13,15 0.001 -1 -1 14,15 0.001 -1 0 1.0062 80 ::f,2,14 f,3,0 f,14,1 f,15,12 
17:3,3 0.001 1 0 1,1 0.001 1 -1 1,2 0.001 0 -1 0.0081 65 2,13 0.001 0 1 0,13 0.001 0 -1 3,14 0.001 0 1 0.0111 65 12,2 0.001 -1 -1 14,3 0.001 -1 1 13,0 0.001 1 1 3.0104 110 15,15 0.001 -1 0 12,14 0.001 -1 -1 13,15 0.001 -1 0 1.0082 80 ::f,2,14 f,3,0 f,14,1 f,15,12 
18:3,3 0.001 1 0 1,1 0.001 1 -1 1,2 0.001 0 -1 0.0081 65 2,13 0.001 0 1 0,13 0.001 0 -1 3,14 0.001 0 1 0.0112 80 12,2 0.001 -1 -1 14,3 0.001 -1 1 13,0 0.001 1 1 4.0105 125 15,15 0.001 -1 0 12,14 0.001 -1 -1 13,15 0.001 -1 0 1.0082 80 ::f,2,14 f,3,0 f,15,0 f,15,12 
19:3,3 0.001 1 0 1,1 0.001 1 0 1,2 0.001 1 -1 0.0081 65 2,13 0.001 -1 1 0,13 0.001 1 -1 3,14 0.001 -1 1 0.0112 80 12,2 0.001 0 -1 14,3 0.001 -1 0 13,0 0.001 0 1 4.0105 125 15,15 0.001 -1 -1 12,14 0.001 0 -1 13,15 0.001 -1 -1 1.0082 80 ::f,2,14 f,3,0 f,15,0 f,15,12 
20:3,3 0.001 1 0 2,1 0.001 1 0 1,2 0.001 1 -1 0.0091 65 1,14 0.001 -1 1 1,12 0.001 1 -1 2,15 0.001 -1 1 0.0142 80 12,1 0.001 0 -1 13,3 0.001 -1 0 13,1 0.001 0 1 4.0135 125 14,14 0.001 -1 -1 12,13 0.001 0 -1 12,14 0.001 -1 -1 1.0112 80 ::f,2,14 f,3,0 f,15,0 f,15,12 
21:3,3 0.001 1 0 2,1 0.001 1 0 1,2 0.001 1 -1 0.0091 65 1,14 0.001 -1 1 1,12 0.001 1 -1 2,15 0.001 -1 1 0.0142 80 12,1 0.001 0 -1 13,3 0.001 -1 0 13,1 0.001 0 1 4.0135 125 14,14 0.001 -1 -1 12,13 0.001 0 -1 12,14 0.001 -1 -1 1.0112 80 ::f,2,14 f,3,0 f,15,0 f,15,12 
22:3,3 0.001 1 0 2,1 0.001 1 1 1,2 0.001 1 0 0.0091 65 1,14 0.001 -1 0 1,12 0.001 1 0 2,15 0.001 -1 0 0.0142 80 12,1 0.003 0 -1 13,3 0.001 -1 -1 13,1 0.001 -1 1 4.0135 120 14,14 0.001 0 -1 12,13 0.001 1 -1 12,14 0.001 0 -1 1.0112 80 ::f,2,14 f,3,0 s,12,0 f,15,0 f,15,12 
23:3,3 0.001 1 0 3,2 0.001 1 1 2,2 0.001 1 0 0.0111 65 0,14 0.001 -1 0 2,12 0.001 1 0 1,15 0.001 -1 0 0.0172 80 12,1 0.003 0 -1 12,2 0.001 -1 -1 13,1 0.001 -1 1 4.0145 120 14,13 0.001 0 -1 13,12 0.001 1 -1 12,13 0.001 0 -1 1.0142 80 ::f,2,14 f,3,0 s,12,0 f,15,0 f,15,12 
24:3,3 0.001 1 0 3,2 0.001 1 1 2,2 0.001 1 0 0.0111 65 0,14 0.001 -1 0 2,12 0.001 1 0 1,15 0.001 -1 0 0.0172 80 12,1 0.003 0 -1 12,2 0.001 -1 -1 13,1 0.001 -1 1 4.0145 120 14,13 0.001 0 -1 13,12 0.001 1 -1 12,13 0.001 0 -1 1.0142 80 ::f,2,14 f,3,0 s,12,0 f,15,0 f,15,12 
25:3,3 0.001 1 0 3,2 0.001 0 1 2,2 0.001 1 1 0.0111 65 0,14 0.001 -1 -1 2,12 0.001 1 1 1,15 0.001 -1 -1 0.0172 80 12,1 0.003 0 -1 12,2 0.001 0 -1 13,1 0.001 -1 0 4.0145 120 14,13 0.001 1 -1 13,12 0.001 1 0 12,13 0.001 1 -1 1.0142 80 ::f,2,14 f,3,0 s,12,0 f,15,0 f,15,12 
26:3,3 0.001 1 0 3,2 0.001 0 1 2,2 0.001 1 1 0.0111 65 0,14 0.001 -1 -1 3,13 0.001 1 1 1,15 0.001 -1 -1 0.0182 80 12,1 0.003 0 -1 12,2 0.001 0 -1 13,1 0.001 -1 0 4.0145 120 14,13 0.001 1 -1 14,12 0.001 1 0 13,12 0.001 1 -1 1.0162 80 ::f,2,14 f,3,0 s,12,0 f,15,0 f,15,12 
27:3,3 0.001 1 0 3,2 0.001 0 1 2,2 0.001 1 1 0.0111 65 0,14 0.001 -1 -1 3,13 0.001 1 1 1,15 0.001 -1 -1 0.0182 80 12,1 0.003 0 -1 12,2 0.001 0 -1 13,1 0.001 -1 0 4.0145 120 14,13 0.001 1 -1 14,12 0.001 1 0 13,12 0.001 1 -1 1.0163 95 ::f,2,14 f,3,0 s,12,0 f,15,0 f,15,14 
28:3,3 0.001 1 0 3,2 0.001 -1 1 2,2 0.001 0 1 0.0111 65 0,14 0.001 0 -1 3,13 0.001 0 1 1,15 0.001 0 -1 0.0182 80 12,1 0.003 0 -1 12,2 0.001 1 -1 13,1 0.001 -1 -1 4.0145 120 14,13 0.001 1 0 14,12 0.001 1 1 13,12 0.001 1 0 1.0163 95 ::f,2,14 f,3,0 s,12,0 f,15,0 f,15,14 
29:3,3 0.001 1 0 2,3 0.001 -1 1 2,2 0.001 0 1 0.0121 65 0,13 0.001 0 -1 3,14 0.001 0 1 1,14 0.001 0 -1 0.0212 80 12,1 0.003 0 -1 12,2 0.001 1 -1 13,1 0.001 -1 -1 4.0145 120 15,13 0.001 1 0 14,12 0.001 1 1 13,12 0.001 1 0 1.0173 95 ::f,2,14 f,3,0 s,12,0 f,15,0 f,15,14 
30:3,3 0.001 1 0 2,3 0.001 -1 1 2,2 0.001 0 1 0.0121 65 0,13 0.001 0 -1 3,14 0.001 0 1 1,14 0.001 0 -1 0.0212 80 12,1 0.003 0 -1 12,2 0.001 1 -1 13,1 0.001 -1 -1 4.0145 120 15,13 0.001 1 0 14,12 0.001 1 1 13,12 0.001 1 0 1.0173 95 ::f,2,14 f,3,0 s,12,0 f,15,0 f,15,14 
31:3,3 0.001 1 0 2,3 0.001 -1 0 2,2 0.001 -1 1 0.0121 65 0,13 0.001 1 -1 3,14 0.001 -1 1 1,14 0.001 1 -1 0.0212 80 12,1 0.003 0 -1 12,2 0.001 1 0 13,1 0.001 0 -1 4.0145 120 15,13 0.001 1 1 14,12 0.001 0 1 13,12 0.001 1 1 1.0173 95 ::f,2,14 f,3,0 s,12,0 f,15,0 f,15,14 
32:3,3 0.001 1 0 1,3 0.001 -1 0 2,2 0.001 -1 1 0.0131 65 1,12 0.001 1 -1 2,15 0.001 -1 1 2,13 0.001 1 -1 0.0242 80 12,1 0.003 0 -1 13,2 0.001 1 0 13,0 0.001 0 -1 4.0165 120 15,13 0.001 1 1 14,13 0.001 0 1 13,12 0.001 1 1 1.0183 95 ::f,2,14 f,3,0 s,12,0 f,15,0 f,15,14 
33:3,3 0.001 1 0 1,3 0.001 -1 0 2,2 0.001 -1 1 0.0131 65 1,12 0.001 1 -1 2,15 0.001 -1 1 2,13 0.001 1 -1 0.0242 80 12,1 0.003 0 -1 13,2 0.001 1 0 13,0 0.001 0 -1 4.0165 120 15,13 0.001 1 1 14,13 0.001 0 1 13,12 0.001 1 1 1.0183 95 ::f,2,14 f,3,0 s,12,0 f,15,0 f,15,14 
34:3,3 0.001 1 0 1,3 0.001 -1 -1 2,2 0.001 -1 0 0.0131 65 1,12 0.001 1 0 2,15 0.001 -1 0 2,13 0.001 1 0 0.0242 80 12,1 0.003 0 -1 13,2 0.001 1 1 13,0 0.001 1 -1 4.0165 120 15,13 0.001 0 1 14,13 0.001 -1 1 13,12 0.001 0 1 1.0183 95 ::f,2,14 f,3,0 s,12,0 f,15,0 f,15,14 
35:3,3 0.001 1 0 0,2 0.001 -1 -1 1,2 0.001 -1 0 0.0151 65 2,12 0.001 1 0 1,15 0.001 -1 0 3,13 0.001 1 0 0.0272 80 12,1 0.003 0 -1 14,3 0.001 1 1 13,0 0.001 1 -1 4.0175 120 15,13 0.001 0 1 13,14 0.001 -1 1 13,13 0.001 0 1 1.0203 95 ::f,2,14 f,3,0 s,12,0 f,15,0 f,15,14 
36:3,3 0.001 1 0 0,2 0.001 -1 -1 1,2 0.001 -1 0 0.0151 65 2,12 0.001 1 0 1,15 0.001 -1 0 3,13 0.001 1 0 0.0272 80 12,1 0.001 0 -1 14,3 0.001 1 1 13,0 0.001 1 -1 4.0175 120 15,13 0.001 0 1 13,14 0.001 -1 1 13,13 0.001 0 1 2.0204 110 ::f,2,14 f,3,0 s,12,0 f,14,12 f,15,0 
37:3,3 0.001 1 0 0,2 0.001 0 -1 1,2 0.001 -1 -1 0.0151 65 2,12 0.001 1 1 1,15 0.001 -1 -1 3,13 0.001 1 1 0.0272 80 12,1 0.001 1 -1 14,3 0.001 0 1 13,0 0.001 1 0 4.0175 120 15,13 0.001 -1 1 13,14 0.001 -1 0 13,13 0.001 -1 1 2.0204 110 ::f,2,14 f,3,0 s,12,0 f,14,12 f,15,0 
38:3,3 0.001 1 0 0,1 0.001 0 -1 1,2 0.001 -1 -1 0.0161 65 2,12 0.001 1 1 0,14 0.001 -1 -1 3,13 0.001 1 1 0.0282 80 12,1 0.001 1 -1 14,3 0.001 0 1 14,0 0.001 1 0 4.0185 120 14,14 0.001 -1 1 12,14 0.001 -1 0 13,13 0.001 -1 1 2.0224 110 ::f,2,14 f,3,0 s,12,0 f,14,12 f,15,0 
39:3,3 0.001 1 0 0,1 0.001 0 -1 1,2 0.001 -1 -1 0.0161 65 2,12 0.001 1 1 0,14 0.001 -1 -1 3,13 0.001 1 1 0.0282 80 12,1 0.001 1 -1 14,3 0.001 0 1 14,0 0.001 1 0 6.0186 135 14,14 0.001 -1 1 12,14 0.001 -1 0 13,13 0.001 -1 1 2.0224 110 ::f,2,14 f,3,0 s,12,0 f,13,3 f,14,12 
40:3,3 0.001 1 0 0,1 0.001 1 -1 1,2 0.001 0 -1 0.0161 65 2,12 0.001 0 1 0,14 0.001 0 -1 3,13 0.001 0 1 0.0282 80 12,1 0.001 1 0 14,3 0.001 -1 1 14,0 0.001 1 1 6.0186 135 14,14 0.001 -1 0 12,14 0.001 -1 -1 13,13 0.001 -1 0 2.0224 110 ::f,2,14 f,3,0 s,12,0 f,13,3 f,14,12 
41:3,3 0.001 1 0 1,0 0.001 1 -1 1,1 0.001 0 -1 0.0181 65 2,13 0.001 0 1 0,13 0.001 0 -1 3,14 0.001 0 1 0.0312 80 13,1 0.001 1 0 14,3 0.001 -1 1 15,1 0.001 1 1 6.0206 135 13,14 0.001 -1 0 12,14 0.001 -1 -1 12,13 0.001 -1 0 2.0244 110 ::f,2,14 f,3,0 s,12,0 f,13,3 f,14,12 
42:3,3 0.001 1 0 1,0 0.001 1 -1 1,1 0.001 0 -1 0.0181 65 2,13 0.001 0 1 0,13 0.001 0 -1 3,14 0.001 0 1 1.0313 95 13,1 0.001 1 0 14,3 0.001 -1 1 15,1 0.001 1 1 6.0206 135 13,14 0.001 -1 0 12,14 0.001 -1 -1 12,13 0.001 -1 0 2.0244 110 ::f,2,15 f,3,0 s,12,0 f,13,3 f,14,12 
