16
0:0,2 0.001 -1 0 2,2 0.003 -1 -1 2,3 0.002 0 1 0.001 50 3,13 0.001 1 0 0,15 0.003 0 1 2,12 0.002 1 -1 0.001 50 15,0 0.001 1 -1 13,3 0.003 -1 -1 14,0 0.002 0 -1 0.001 50 13,14 0.001 0 1 15,15 0.003 -1 1 15,14 0.002 1 0 0.002 50 ::f,1,1 f,1,14 f,12,2 f,12,13 
1:0,2 0.001 -1 0 2,2 0.001 -1 -1 2,3 0.001 0 1 0.0011 65 3,13 0.001 1 0 0,15 0.001 0 1 2,12 0.001 1 -1 0.001 50 15,0 0.001 1 -1 13,3 0.001 -1 -1 14,0 0.001 0 -1 0.0011 65 13,14 0.001 0 1 15,15 0.001 -1 1 15,14 0.001 1 0 0.002 50 ::f,0,3 f,1,14 f,12,13 f,13,0 
2:0,2 0.001 -1 -1 2,2 0.001 0 -1 2,3 0.001 1 1 0.0011 65 3,13 0.001 1 1 0,15 0.001 1 1 2,12 0.001 1 0 0.001 50 15,0 0.001 1 0 13,3 0.001 0 -1 14,0 0.001 -1 -1 0.0011 65 13,14 0.001 1 1 15,15 0.001 0 1 15,14 0.001 1 -1 0.002 50 ::f,0,3 f,1,14 f,12,13 f,13,0 
3:0,2 0.001 -1 -1 2,2 0.001 0 -1 2,3 0.001 1 1 0.0011 65 3,13 0.001 1 1 0,15 0.001 1 1 2,12 0.003 1 0 0.001 45 15,0 0.001 1 0 13,3 0.003 0 -1 14,0 0.001 -1 -1 0.0011 60 13,14 0.001 1 1 15,15 0.001 0 1 15,14 0.001 1 -1 0.002 50 ::f,0,3 f,1,14 s,3,12 f,12,13 f,13,0 s,13,2 
4:0,2 0.001 0 -1 2,2 0.001 1 -1 2,3 0.001 1 0 0.0011 65 3,13 0.001 0 1 0,15 0.001 1 0 2,12 0.003 1 1 0.001 45 15,0 0.001 1 1 13,3 0.003 1 -1 14,0 0.001 -1 0 0.0011 60 13,14 0.001 1 0 15,15 0.001 1 1 15,14 0.001 0 -1 0.002 50 ::f,0,3 f,1,14 s,3,12 f,12,13 f,13,0 s,13,2 
5:0,2 0.001 0 -1 2,2 0.001 1 -1 2,3 0.001 1 0 0.0011 65 3,13 0.001 0 1 0,15 0.001 1 0 2,12 0.001 1 1 0.001 45 15,0 0.001 1 1 13,3 0.001 1 -1 14,0 0.001 -1 0 0.0012 75 14,14 0.001 1 0 15,15 0.001 1 1 15,14 0.001 0 -1 0.003 50 ::f,0,3 f,1,14 s,3,12 f,12,13 s,13,2 f,14,3 
6:0,2 0.001 1 -1 2,2 0.001 1 0 2,3 0.001 1 -1 0.0011 65 3,13 0.001 -1 1 0,15 0.001 1 -1 2,12 0.001 0 1 0.001 45 15,0 0.001 0 1 13,3 0.001 1 0 14,0 0.001 -1 1 0.0012 75 14,14 0.001 1 0 15,15 0.001 1 0 15,14 0.001 -1 -1 0.003 50 ::f,0,3 f,1,14 s,3,12 f,12,13 s,13,2 f,14,3 
7:0,2 0.001 1 -1 2,2 0.001 1 0 2,3 0.001 1 -1 0.0011 65 3,13 0.001 -1 1 0,15 0.001 1 -1 2,13 0.001 0 1 0.0021 60 15,1 0.001 0 1 13,3 0.001 1 0 14,0 0.001 -1 1 0.0023 90 14,14 0.001 1 -1 15,15 0.001 1 0 15,14 0.001 -1 -1 0.003 50 ::f,0,3 f,0,14 s,3,12 f,12,0 f,12,13 s,13,2 
8:0,2 0.001 1 0 2,2 0.001 1 1 2,3 0.001 0 -1 0.0011 65 3,13 0.001 -1 0 1,14 0.001 1 -1 2,13 0.001 0 1 0.0031 60 15,1 0.001 0 1 13,3 0.001 1 1 14,0 0.001 0 1 0.0023 90 14,14 0.001 1 -1 15,15 0.001 1 -1 15,14 0.001 -1 0 0.003 50 ::f,0,3 f,0,14 s,3,12 f,12,0 f,12,13 s,13,2 
9:1,2 0.001 1 0 2,2 0.001 1 1 2,3 0.001 0 -1 0.0021 65 3,13 0.001 -1 0 1,14 0.001 1 -1 2,13 0.001 -1 1 0.0031 60 15,1 0.001 -1 1 13,3 0.001 1 1 14,0 0.001 0 1 0.0023 90 14,14 0.001 0 -1 15,15 0.001 1 -1 15,14 0.001 -1 0 0.003 50 ::f,0,3 f,0,14 s,3,12 f,12,0 f,12,13 s,13,2 
10:1,2 0.001 1 0 2,2 0.001 0 1 2,3 0.001 0 -1 0.0021 65 3,13 0.001 -1 -1 1,14 0.001 0 -1 2,13 0.001 -1 1 0.0031 60 14,2 0.001 -1 1 13,3 0.001 0 1 14,1 0.001 0 1 0.0043 90 14,13 0.001 0 -1 15,15 0.001 0 -1 15,14 0.001 -1 1 0.004 50 ::f,0,3 f,0,14 s,3,12 f,12,0 f,12,13 s,13,2 
11:1,2 0.001 1 1 2,2 0.001 0 1 2,3 0.001 -1 -1 0.0021 65 3,13 0.001 -1 -1 1,14 0.001 0 -1 2,13 0.001 -1 0 0.0031 60 14,2 0.001 -1 1 13,3 0.001 0 1 14,1 0.001 0 1 0.0043 90 14,13 0.001 0 -1 15,15 0.001 0 -1 15,14 0.001 -1 1 0.004 50 ::f,0,3 f,0,14 s,3,12 f,12,0 f,12,13 s,13,2 
12:1,2 0.001 1 1 2,2 0.001 -1 1 2,3 0.001 -1 -1 0.0021 65 3,13 0.001 0 -1 1,14 0.001 -1 -1 2,13 0.001 -1 0 0.0031 60 14,2 0.001 -1 0 13,3 0.001 -1 1 14,1 0.001 1 1 0.0043 90 14,13 0.001 -1 -1 15,15 0.001 0 -1 15,14 0.001 0 1 0.004 50 ::f,0,3 f,0,14 s,3,12 f,12,0 f,12,13 s,13,2 
