16
0:2,1 0.001 1 -1 1,2 0.003 1 0 0,1 0.002 -1 1 0.002 50 3,12 0.001 1 1 2,13 0.003 0 1 0,13 0.002 -1 1 0.001 50 12,1 0.001 0 -1 13,1 0.003 -1 0 14,0 0.002 -1 -1 0.002 50 15,13 0.001 1 0 13,13 0.003 -1 1 12,12 0.002 0 -1 0.002 50 ::f,0,3 f,3,14 f,15,2 f,15,12 
1:2,1 0.001 1 -1 1,2 0.001 1 0 0,1 0.001 -1 1 0.002 50 3,12 0.001 1 1 2,13 0.001 0 1 0,13 0.001 -1 1 0.001 50 12,1 0.001 0 -1 13,1 0.001 -1 0 14,0 0.003 -1 -1 0.002 50 15,13 0.001 1 0 13,13 0.003 -1 1 12,12 0.001 0 -1 0.002 45 ::f,0,3 f,3,14 s,12,14 f,15,2 f,15,12 
2:3,0 0.001 1 -1 2,2 0.001 1 0 0,1 0.001 -1 1 0.004 50 3,12 0.001 1 0 2,14 0.001 0 1 0,13 0.001 -1 1 0.002 50 12,0 0.001 0 -1 12,1 0.001 -1 0 14,0 0.003 -1 -1 0.004 50 15,13 0.001 1 0 13,13 0.003 0 1 12,12 0.001 0 -1 0.002 45 ::f,0,3 f,3,14 s,12,14 f,15,2 f,15,12 
3:3,0 0.001 1 -1 2,2 0.001 1 0 0,1 0.001 -1 1 0.004 50 3,12 0.001 1 0 2,14 0.001 0 1 0,13 0.001 -1 1 0.002 50 12,0 0.001 0 -1 12,1 0.001 -1 0 14,0 0.003 -1 -1 0.004 50 15,13 0.001 1 0 13,14 0.003 0 1 12,12 0.001 0 -1 0.003 45 ::f,0,3 f,3,14 s,12,14 f,15,2 f,15,12 
4:3,0 0.001 1 0 2,2 0.001 1 1 0,1 0.001 -1 0 0.004 50 3,12 0.001 1 -1 2,14 0.001 -1 1 0,13 0.001 -1 0 0.002 50 12,0 0.001 1 -1 12,1 0.001 -1 -1 14,0 0.003 -1 -1 0.004 50 15,13 0.001 1 1 13,14 0.003 0 1 12,12 0.001 1 -1 1.003 40 ::f,0,3 f,3,14 s,12,14 s,13,15 f,15,2 f,15,12 
5:3,0 0.001 1 0 2,2 0.001 1 1 0,1 0.001 -1 0 0.004 50 3,12 0.001 1 -1 2,14 0.001 -1 1 0,13 0.001 -1 0 0.002 50 12,0 0.001 1 -1 12,1 0.001 -1 -1 14,0 0.003 -1 -1 0.004 50 15,13 0.001 1 1 13,14 0.003 1 1 12,12 0.001 1 -1 1.003 40 ::f,0,3 f,3,14 s,12,14 s,13,15 f,15,2 f,15,12 
6:3,0 0.001 1 1 2,2 0.001 0 1 0,1 0.001 -1 -1 0.004 50 3,12 0.001 0 -1 2,14 0.001 -1 0 0,13 0.001 -1 -1 0.002 50 12,0 0.001 1 0 12,1 0.001 0 -1 14,0 0.003 -1 -1 0.004 50 15,13 0.001 0 1 13,14 0.003 1 1 12,12 0.001 1 0 3.003 35 ::f,0,3 f,3,14 s,12,14 s,13,15 s,14,15 f,15,2 f,15,12 
7:3,0 0.001 1 1 2,2 0.001 0 1 0,1 0.001 -1 -1 0.004 50 3,12 0.001 0 -1 1,14 0.001 -1 0 0,13 0.001 -1 -1 0.003 50 13,0 0.001 1 0 12,1 0.001 0 -1 14,0 0.003 -1 -1 0.005 50 15,14 0.001 0 1 13,14 0.003 1 1 13,12 0.001 1 0 3.005 35 ::f,0,3 f,3,14 s,12,14 s,13,15 s,14,15 f,15,2 f,15,12 
8:3,0 0.001 0 1 2,2 0.001 -1 1 0,1 0.001 0 -1 0.004 50 3,12 0.001 -1 -1 1,14 0.001 -1 0 0,13 0.001 0 -1 0.003 50 13,0 0.001 1 0 12,1 0.001 1 -1 14,0 0.003 -1 -1 0.005 50 15,14 0.001 0 1 13,14 0.003 1 1 14,12 0.001 1 0 3.006 35 ::f,0,3 f,3,14 s,12,14 s,13,15 s,14,15 f,15,2 f,15,12 
9:3,1 0.001 0 1 2,2 0.001 -1 1 0,1 0.001 0 -1 0.005 50 3,12 0.001 -1 -1 1,14 0.001 -1 -1 0,13 0.001 0 -1 0.003 50 13,0 0.001 1 1 12,1 0.001 1 -1 14,0 0.003 -1 -1 0.005 50 15,14 0.001 -1 1 13,14 0.003 1 1 14,12 0.001 1 0 3.0061 50 ::f,0,3 f,3,14 s,12,14 s,13,15 f,14,13 s,14,15 f,15,2 
10:3,1 0.001 0 1 2,2 0.001 -1 0 0,1 0.001 1 -1 0.005 50 3,12 0.001 -1 0 1,14 0.001 -1 -1 0,13 0.001 1 -1 0.003 50 14,1 0.001 1 1 12,1 0.001 1 0 14,0 0.003 -1 -1 0.006 50 15,14 0.001 -1 1 13,14 0.003 1 1 14,12 0.001 1 1 3.0061 50 ::f,0,3 f,3,14 s,12,14 s,13,15 f,14,13 s,14,15 f,15,2 
11:3,1 0.001 -1 1 1,2 0.001 -1 0 0,1 0.001 1 -1 0.006 50 2,12 0.001 -1 0 1,14 0.001 0 -1 0,13 0.001 1 -1 0.004 50 14,1 0.001 1 1 13,1 0.001 1 0 14,0 0.003 -1 -1 0.0071 65 15,14 0.001 -1 0 13,14 0.003 1 1 14,12 0.001 1 1 3.0061 50 ::f,0,3 f,3,14 s,12,14 s,13,15 f,14,3 f,14,13 s,14,15 
12:3,1 0.001 -1 1 1,2 0.001 -1 0 0,1 0.001 1 0 0.006 50 2,12 0.001 -1 0 1,13 0.001 0 -1 0,13 0.001 1 0 0.005 50 14,1 0.001 0 1 13,1 0.001 1 0 14,0 0.003 -1 -1 0.0071 65 14,14 0.001 -1 0 13,14 0.003 1 1 14,12 0.001 0 1 3.0071 50 ::f,0,3 f,3,14 s,12,14 s,13,15 f,14,3 f,14,13 s,14,15 
13:3,1 0.001 -1 0 1,2 0.001 -1 -1 1,1 0.001 1 0 0.007 50 2,12 0.001 -1 1 1,13 0.001 0 -1 0,13 0.001 1 0 0.005 50 14,2 0.001 0 1 13,1 0.001 1 1 14,0 0.003 -1 -1 0.0081 65 14,14 0.001 -1 0 13,14 0.003 1 1 14,12 0.001 0 1 3.0071 50 ::f,0,3 f,3,14 s,12,14 s,13,15 f,14,3 f,14,13 s,14,15 
14:2,1 0.001 -1 0 1,2 0.001 -1 -1 1,1 0.001 1 0 0.008 50 2,12 0.001 -1 1 1,13 0.001 1 -1 0,13 0.001 1 0 0.005 50 14,2 0.001 0 1 13,1 0.001 1 1 14,0 0.003 -1 -1 1.0082 80 14,14 0.001 -1 -1 13,14 0.003 1 1 14,12 0.001 0 1 4.0072 65 ::f,0,3 f,3,14 s,12,14 f,13,3 s,13,15 s,14,15 f,15,14 
15:2,1 0.001 -1 0 1,2 0.001 0 -1 1,1 0.001 1 1 0.008 50 2,12 0.001 0 1 1,13 0.001 1 -1 0,13 0.001 1 1 0.005 50 14,2 0.001 -1 1 13,1 0.001 0 1 14,0 0.003 -1 -1 1.0082 80 14,14 0.001 -1 -1 13,14 0.003 1 1 14,12 0.001 -1 1 4.0072 65 ::f,0,3 f,3,14 s,12,14 f,13,3 s,13,15 s,14,15 f,15,14 
16:2,1 0.001 -1 -1 1,2 0.001 0 -1 1,1 0.001 1 1 0.008 50 2,12 0.001 0 1 1,13 0.001 1 0 0,13 0.001 1 1 0.005 50 14,2 0.001 -1 1 13,1 0.001 0 1 14,0 0.003 -1 -1 3.0083 95 14,14 0.001 0 -1 13,14 0.003 1 1 13,13 0.001 -1 1 4.0082 65 ::f,0,3 f,3,14 s,12,14 s,13,15 f,14,3 s,14,15 f,15,14 
17:2,1 0.001 -1 -1 1,2 0.001 0 -1 1,1 0.001 0 1 0.008 50 2,12 0.001 1 1 2,13 0.001 1 0 0,13 0.001 0 1 0.006 50 14,2 0.001 -1 0 13,1 0.001 -1 1 14,0 0.003 -1 -1 3.0083 95 14,14 0.001 0 -1 13,14 0.003 1 1 13,13 0.001 -1 1 4.0082 65 ::f,0,3 f,3,14 s,12,14 s,13,15 f,14,3 s,14,15 f,15,14 
18:2,1 0.001 0 -1 1,2 0.001 1 -1 1,1 0.001 0 1 0.008 50 2,12 0.001 1 1 2,13 0.001 1 0 0,13 0.001 0 1 0.006 50 13,2 0.001 -1 0 13,1 0.001 -1 1 14,0 0.003 -1 -1 3.0093 95 14,14 0.001 1 -1 13,14 0.003 1 1 13,13 0.001 -1 0 4.0082 65 ::f,0,3 f,3,14 s,12,14 s,13,15 f,14,3 s,14,15 f,15,14 
19:2,1 0.001 0 -1 1,2 0.001 1 -1 1,1 0.001 -1 1 0.008 50 2,12 0.001 1 0 2,13 0.001 1 1 0,13 0.001 -1 1 0.006 50 13,2 0.001 -1 0 13,1 0.001 -1 0 14,0 0.003 -1 -1 3.0093 95 14,14 0.001 1 -1 13,14 0.003 1 1 13,13 0.001 -1 0 4.0082 65 ::f,0,3 f,3,14 s,12,14 s,13,15 f,14,3 s,14,15 f,15,14 
20:2,1 0.001 1 -1 1,2 0.001 1 0 1,1 0.001 -1 1 0.008 50 2,12 0.001 1 0 2,13 0.001 1 1 0,13 0.001 -1 1 0.0061 65 13,2 0.001 -1 -1 13,1 0.001 -1 0 14,0 0.003 -1 -1 3.0093 95 14,14 0.001 1 0 13,14 0.003 1 1 13,13 0.001 -1 -1 4.0082 65 ::f,0,3 f,3,13 s,12,14 s,13,15 f,14,3 s,14,15 f,15,14 
