16
0:1,3 0.001 1 0 2,1 0.003 -1 1 2,2 0.002 1 0 0.002 50 0,13 0.001 -1 0 2,12 0.003 -1 -1 2,13 0.002 0 -1 0.002 50 12,0 0.001 0 -1 12,3 0.003 0 1 15,3 0.002 0 1 0.003 50 14,13 0.001 1 0 12,13 0.003 0 1 12,14 0.002 0 -1 0.003 50 ::f,1,1 f,1,12 f,14,2 f,14,14 
1:1,3 0.001 1 0 2,1 0.003 -1 0 2,2 0.001 1 0 0.002 50 0,13 0.001 -1 0 2,12 0.003 0 -1 2,13 0.001 0 -1 0.002 50 12,0 0.001 1 -1 12,3 0.003 -1 1 15,3 0.001 0 1 0.003 50 14,13 0.001 1 0 12,13 0.001 0 1 12,14 0.001 0 -1 0.003 50 ::f,1,1 f,1,12 f,14,2 f,14,14 
2:1,3 0.001 1 1 2,1 0.003 -1 -1 3,2 0.001 1 0 0.003 50 0,13 0.001 -1 -1 2,12 0.003 0 -1 2,13 0.001 0 -1 0.002 50 12,0 0.002 1 -1 12,3 0.003 -1 1 15,3 0.001 -1 1 0.003 50 14,13 0.001 1 1 12,13 0.001 -1 1 12,14 0.001 0 -1 0.003 50 ::f,1,1 f,1,12 f,14,2 f,14,14 
3:1,3 0.001 1 1 2,1 0.003 0 -1 3,2 0.001 1 1 0.003 50 0,13 0.001 -1 -1 2,12 0.003 1 -1 2,13 0.001 1 -1 0.002 50 12,0 0.002 1 -1 12,3 0.003 -1 0 15,3 0.001 -1 1 0.003 50 14,13 0.001 0 1 12,13 0.001 -1 1 12,14 0.001 0 -1 0.003 50 ::f,1,1 f,1,12 f,14,2 f,14,14 
4:1,3 0.001 0 1 2,1 0.003 1 -1 3,2 0.001 1 1 0.003 50 0,13 0.001 0 -1 2,12 0.003 1 -1 3,12 0.001 1 -1 0.003 50 12,0 0.002 1 -1 12,3 0.003 -1 0 15,3 0.001 -1 0 0.003 50 14,13 0.001 -1 1 12,13 0.001 -1 0 12,14 0.001 0 -1 0.003 50 ::f,1,1 f,1,12 f,14,2 f,14,14 
5:1,3 0.001 0 1 2,1 0.003 1 0 3,2 0.001 0 1 0.003 50 0,13 0.001 0 -1 2,12 0.003 1 0 3,12 0.001 1 0 0.003 50 12,0 0.002 1 -1 12,3 0.003 -1 -1 15,3 0.001 -1 0 0.003 50 14,13 0.001 -1 0 12,13 0.001 -1 0 12,14 0.001 0 -1 0.003 50 ::f,1,1 f,1,12 f,14,2 f,14,14 
6:1,3 0.001 -1 1 2,1 0.003 1 1 3,3 0.001 0 1 0.004 50 0,13 0.001 1 -1 2,12 0.003 1 0 3,12 0.001 1 0 0.003 50 12,0 0.002 1 -1 12,3 0.003 -1 -1 15,3 0.001 -1 -1 0.003 50 14,13 0.001 -1 -1 12,13 0.001 -1 -1 12,14 0.001 0 -1 0.003 50 ::f,1,1 f,1,12 f,14,2 f,14,14 
7:1,3 0.001 -1 1 2,1 0.003 0 1 3,3 0.001 -1 1 0.004 50 0,13 0.001 1 -1 2,12 0.003 1 1 3,12 0.001 1 1 0.0031 65 12,0 0.002 1 0 12,3 0.003 0 -1 15,3 0.001 -1 -1 0.0031 65 14,13 0.001 0 -1 12,13 0.001 -1 -1 12,14 0.001 0 -1 0.003 50 ::f,1,1 f,1,14 f,12,2 f,14,14 
8:1,3 0.001 -1 0 2,1 0.003 -1 1 3,3 0.001 -1 1 0.004 50 0,13 0.001 1 0 3,13 0.003 1 1 3,12 0.001 1 1 0.0041 65 13,0 0.002 1 0 12,3 0.003 0 -1 15,3 0.001 0 -1 0.0041 65 14,13 0.001 1 -1 12,13 0.001 0 -1 12,14 0.001 0 -1 0.003 50 ::f,1,1 f,1,14 f,12,2 f,14,14 
9:1,3 0.001 -1 0 2,1 0.003 -1 0 3,3 0.001 -1 0 0.004 50 0,13 0.001 1 0 3,13 0.003 0 1 3,12 0.001 0 1 0.0041 65 13,0 0.001 1 0 12,3 0.001 0 -1 15,3 0.001 0 -1 0.0042 80 14,13 0.001 1 0 12,13 0.001 0 -1 12,14 0.001 0 -1 0.003 50 ::f,1,1 f,1,14 f,13,1 f,14,14 
10:1,3 0.001 -1 -1 2,1 0.003 -1 -1 2,3 0.001 -1 0 0.005 50 0,13 0.001 1 1 3,14 0.003 0 1 3,13 0.001 0 1 0.0061 65 14,0 0.001 1 0 12,2 0.001 0 -1 15,3 0.001 1 -1 0.0062 80 14,13 0.001 1 1 12,13 0.001 1 -1 12,14 0.001 0 -1 0.003 50 ::f,1,1 f,1,14 f,13,1 f,14,14 
11:1,3 0.001 -1 -1 2,1 0.003 0 -1 2,3 0.001 -1 0 0.005 50 0,13 0.001 1 1 3,14 0.001 0 1 3,13 0.001 0 1 1.0062 80 14,0 0.001 1 0 12,2 0.001 0 -1 15,3 0.001 1 -1 0.0062 80 14,13 0.001 0 1 12,13 0.001 1 -1 12,14 0.001 0 -1 0.003 50 ::f,1,1 f,2,15 f,13,1 f,14,14 
12:1,3 0.001 0 -1 2,1 0.003 1 -1 2,3 0.001 -1 0 0.005 50 1,14 0.001 1 1 3,15 0.001 0 1 3,14 0.001 0 1 1.0092 80 15,0 0.001 1 0 12,1 0.001 0 -1 15,3 0.001 1 0 0.0082 80 14,13 0.001 -1 1 12,13 0.001 1 0 12,14 0.001 0 -1 0.003 50 ::f,1,1 f,2,15 f,13,1 f,14,14 
13:1,2 0.001 0 -1 2,1 0.003 1 0 2,3 0.001 -1 0 0.006 50 1,14 0.001 1 1 3,15 0.001 -1 1 3,14 0.001 0 1 3.0093 95 15,0 0.001 1 1 12,1 0.001 0 -1 15,3 0.001 1 0 0.0082 80 14,13 0.001 -1 0 13,13 0.001 1 0 12,14 0.001 0 -1 0.004 50 ::f,1,1 f,3,13 f,13,1 f,14,14 
