16
0:3,2 0.001 1 1 2,2 0.003 1 -1 0,1 0.002 -1 0 0.002 50 1,15 0.001 1 1 2,14 0.003 1 0 3,15 0.002 1 0 0.002 50 15,3 0.001 -1 1 12,1 0.003 -1 0 15,2 0.002 0 1 0.001 50 15,12 0.001 -1 -1 12,15 0.003 0 1 12,12 0.002 0 -1 0.001 50 ::f,0,13 f,3,0 f,14,1 f,14,14 
1:3,2 0.001 1 1 2,2 0.001 1 -1 0,1 0.001 -1 0 0.002 50 1,15 0.001 1 1 2,14 0.001 1 0 3,15 0.001 1 0 0.002 50 15,3 0.001 -1 1 12,1 0.001 -1 0 15,2 0.001 0 1 0.001 50 15,12 0.001 -1 -1 12,15 0.001 0 1 12,12 0.001 0 -1 0.001 50 ::f,0,13 f,3,0 f,14,1 f,14,14 
2:3,2 0.001 0 1 2,2 0.001 1 0 0,1 0.001 -1 -1 0.002 50 1,15 0.001 0 1 2,14 0.001 1 1 3,15 0.001 1 1 0.002 50 15,3 0.001 -1 0 12,1 0.001 -1 -1 15,2 0.001 -1 1 0.001 50 15,12 0.001 0 -1 12,15 0.001 -1 1 12,12 0.001 1 -1 0.001 50 ::f,0,13 f,3,0 f,14,1 f,14,14 
3:3,2 0.001 0 1 2,2 0.001 1 0 0,1 0.001 -1 -1 0.002 50 1,15 0.001 0 1 2,14 0.001 1 1 3,15 0.001 1 1 0.002 50 15,3 0.001 -1 0 12,1 0.001 -1 -1 15,2 0.001 -1 1 0.001 50 15,12 0.001 0 -1 12,15 0.001 -1 1 12,12 0.001 1 -1 0.001 50 ::f,0,13 f,3,0 f,14,1 f,14,14 
4:3,2 0.001 -1 1 2,2 0.001 1 1 0,1 0.001 0 -1 0.002 50 1,15 0.001 -1 1 2,14 0.001 0 1 3,15 0.001 0 1 0.002 50 15,3 0.001 -1 -1 12,1 0.001 0 -1 15,2 0.001 -1 0 0.001 50 15,12 0.001 1 -1 12,15 0.001 -1 0 12,12 0.001 1 0 0.001 50 ::f,0,13 f,3,0 f,14,1 f,14,14 
5:3,2 0.001 -1 1 2,2 0.001 1 1 0,1 0.001 0 -1 0.002 50 1,15 0.001 -1 1 2,14 0.001 0 1 3,15 0.001 0 1 0.002 50 15,3 0.001 -1 -1 12,1 0.001 0 -1 15,2 0.001 -1 0 0.001 50 15,12 0.001 1 -1 12,15 0.001 -1 0 12,12 0.001 1 0 0.001 50 ::f,0,13 f,3,0 f,14,1 f,14,14 
6:3,2 0.001 -1 0 2,2 0.001 0 1 0,1 0.001 1 -1 0.002 50 1,15 0.001 -1 0 2,14 0.001 -1 1 3,15 0.001 -1 1 0.002 50 15,3 0.001 0 -1 12,1 0.001 1 -1 15,2 0.001 -1 -1 0.001 50 15,12 0.001 1 0 12,15 0.001 -1 -1 12,12 0.001 1 1 0.001 50 ::f,0,13 f,3,0 f,14,1 f,14,14 
7:3,2 0.001 -1 0 2,2 0.001 0 1 0,1 0.001 1 -1 0.002 50 1,15 0.001 -1 0 2,14 0.001 -1 1 3,15 0.001 -1 1 0.002 50 15,3 0.001 0 -1 12,1 0.001 1 -1 15,2 0.001 -1 -1 0.0011 65 15,12 0.001 1 0 12,15 0.001 -1 -1 13,13 0.001 1 1 0.002 50 ::f,0,13 f,3,0 f,12,0 f,14,14 
8:3,2 0.001 -1 0 2,2 0.001 -1 1 0,1 0.001 1 0 0.002 50 1,15 0.001 -1 -1 2,14 0.001 -1 0 3,15 0.001 -1 0 0.002 50 15,3 0.001 1 -1 12,1 0.001 1 0 15,2 0.001 0 -1 0.0011 65 15,12 0.001 1 1 12,15 0.001 0 -1 13,13 0.001 1 1 0.0021 65 ::f,0,13 f,3,0 f,12,0 f,14,14 
9:3,2 0.001 -1 -1 2,2 0.001 -1 1 1,1 0.001 1 0 0.003 50 1,15 0.001 -1 -1 1,14 0.001 -1 0 2,15 0.001 -1 0 0.004 50 15,3 0.001 1 -1 13,1 0.001 1 0 15,2 0.001 0 -1 0.0021 65 15,12 0.001 1 1 12,14 0.001 0 -1 13,13 0.001 0 1 0.0031 65 ::f,0,13 f,3,0 f,12,0 f,14,14 
