16
0:0,0 0.001 1 -1 3,0 0.003 -1 -1 2,1 0.002 1 -1 0 50 2,15 0.001 -1 0 1,14 0.003 1 1 0,13 0.002 1 1 0.001 50 15,2 0.001 1 1 14,0 0.003 1 -1 12,1 0.002 0 1 0.002 50 15,12 0.001 1 -1 15,14 0.003 1 1 12,15 0.002 0 1 0.002 50 ::f,1,2 f,2,12 f,13,3 f,13,13 
1:0,0 0.001 1 -1 3,0 0.003 -1 -1 2,1 0.001 1 -1 0 50 2,15 0.001 -1 0 1,14 0.001 1 1 0,13 0.001 1 1 0.001 50 15,2 0.001 1 1 14,0 0.001 1 -1 12,1 0.001 0 1 0.002 50 15,12 0.001 1 -1 15,14 0.001 1 1 12,15 0.001 0 1 0.002 50 ::f,1,2 f,2,12 f,13,3 f,13,13 
2:0,0 0.001 1 0 3,0 0.003 -1 -1 2,1 0.001 0 -1 0 50 2,15 0.001 -1 -1 1,14 0.001 1 0 0,13 0.001 0 1 0.001 50 15,2 0.001 1 0 14,0 0.001 1 0 12,1 0.001 -1 1 0.002 50 15,12 0.001 1 0 15,14 0.001 0 1 12,15 0.001 -1 1 0.002 50 ::f,1,2 f,2,12 f,13,3 f,13,13 
3:0,0 0.001 1 0 3,0 0.003 -1 -1 2,1 0.001 0 -1 0 50 2,15 0.003 -1 -1 1,14 0.001 1 0 0,13 0.001 0 1 0.001 50 15,2 0.001 1 0 14,0 0.001 1 0 12,1 0.001 -1 1 0.002 50 15,12 0.001 1 0 15,14 0.001 0 1 12,15 0.001 -1 1 0.002 50 ::f,1,2 f,2,12 f,13,3 f,13,13 
4:0,0 0.001 1 1 3,0 0.003 -1 -1 2,1 0.001 -1 -1 0 50 2,15 0.003 0 -1 1,14 0.001 1 -1 0,13 0.001 -1 1 0.001 50 15,2 0.001 1 -1 14,0 0.001 1 1 12,1 0.001 -1 0 0.002 50 15,12 0.001 1 1 15,14 0.001 -1 1 12,15 0.001 -1 0 0.002 50 ::f,1,2 f,2,12 f,13,3 f,13,13 
5:0,0 0.001 1 1 3,0 0.003 -1 -1 2,1 0.001 -1 -1 0 50 2,15 0.003 0 -1 1,14 0.001 1 -1 0,13 0.001 -1 1 0.001 45 15,2 0.001 1 -1 14,0 0.001 1 1 12,1 0.001 -1 0 0.002 50 15,12 0.001 1 1 15,14 0.001 -1 1 12,15 0.001 -1 0 0.002 50 ::f,1,2 f,2,12 s,2,14 f,13,3 f,13,13 
6:0,0 0.001 0 1 3,0 0.003 -1 -1 2,1 0.001 -1 0 0 50 2,15 0.003 1 -1 1,14 0.001 0 -1 0,13 0.001 -1 0 0.001 45 15,2 0.001 0 -1 14,0 0.001 0 1 12,1 0.001 -1 -1 0.002 50 15,12 0.001 0 1 15,14 0.001 -1 0 12,15 0.001 -1 -1 0.002 50 ::f,1,2 f,2,12 s,2,14 f,13,3 f,13,13 
7:0,0 0.001 0 1 3,0 0.003 -1 -1 1,1 0.001 -1 0 0.001 50 2,15 0.003 1 -1 1,14 0.001 0 -1 0,13 0.001 -1 0 1.001 40 15,1 0.001 0 -1 14,1 0.001 0 1 12,1 0.001 -1 -1 0.004 50 15,13 0.001 0 1 14,14 0.001 -1 0 12,15 0.001 -1 -1 0.004 50 ::f,1,2 f,2,12 s,2,14 s,3,14 f,13,3 f,13,13 
8:0,0 0.001 -1 1 3,0 0.003 -1 -1 1,1 0.001 -1 0 0.001 50 2,15 0.003 1 0 1,14 0.001 -1 -1 0,13 0.001 -1 -1 1.001 40 15,1 0.001 0 -1 14,1 0.001 0 1 12,1 0.001 0 -1 0.004 50 15,13 0.001 0 1 14,14 0.001 -1 0 12,15 0.001 0 -1 0.004 50 ::f,1,2 f,2,12 s,2,14 s,3,14 f,13,3 f,13,13 
9:0,0 0.001 -1 1 3,0 0.003 -1 -1 1,1 0.001 -1 1 0.001 50 2,15 0.003 1 0 1,14 0.001 -1 -1 0,13 0.001 -1 -1 3.001 35 15,1 0.001 -1 -1 14,1 0.001 -1 1 12,1 0.001 0 -1 0.004 50 15,13 0.001 -1 1 14,14 0.001 -1 -1 12,14 0.001 0 -1 0.005 50 ::f,1,2 f,2,12 s,2,14 s,3,14 s,3,15 f,13,3 f,13,13 
10:0,0 0.001 -1 0 3,0 0.003 -1 -1 1,1 0.001 -1 1 0.001 50 2,15 0.003 1 1 1,14 0.001 -1 0 0,13 0.001 0 -1 3.001 35 15,1 0.001 -1 -1 14,1 0.001 -1 1 12,1 0.001 1 -1 0.004 50 15,13 0.001 -1 1 14,14 0.001 -1 -1 12,14 0.001 0 -1 0.0051 65 ::f,1,2 f,2,12 s,2,14 s,3,14 s,3,15 f,13,3 f,13,13 
11:0,0 0.001 -1 0 3,0 0.003 -1 -1 1,1 0.001 0 1 0.001 50 2,15 0.003 1 1 1,14 0.001 -1 0 0,13 0.001 0 -1 3.001 35 15,1 0.001 -1 0 14,1 0.001 -1 0 12,1 0.001 1 -1 0.004 50 15,13 0.001 -1 0 14,14 0.001 0 -1 12,14 0.001 1 -1 0.0051 65 ::f,1,2 f,2,12 s,2,14 s,3,14 s,3,15 f,13,3 f,13,13 
12:0,0 0.001 -1 -1 3,0 0.003 -1 -1 1,1 0.001 0 1 0.001 50 2,15 0.003 0 1 1,14 0.001 -1 1 0,13 0.001 1 -1 3.001 35 15,1 0.001 -1 0 13,1 0.001 -1 0 12,1 0.001 1 0 0.005 50 14,13 0.001 -1 0 14,14 0.001 0 -1 12,14 0.001 1 -1 0.0062 80 ::f,1,2 f,2,12 s,2,14 s,3,14 s,3,15 f,12,12 f,13,3 
13:0,0 0.001 -1 -1 3,0 0.003 -1 -1 1,1 0.001 0 1 0.0011 65 2,15 0.003 0 1 1,14 0.001 -1 1 0,13 0.001 1 -1 3.001 35 14,1 0.001 -1 0 13,1 0.001 -1 0 12,1 0.001 1 0 0.006 50 14,13 0.001 -1 0 14,14 0.001 1 -1 12,14 0.001 1 0 0.0062 80 ::f,0,1 f,2,12 s,2,14 s,3,14 s,3,15 f,12,12 f,13,3 
14:0,0 0.001 0 -1 3,0 0.003 -1 -1 1,1 0.001 1 1 0.0011 65 2,15 0.003 -1 1 1,14 0.001 0 1 0,13 0.001 1 0 3.001 35 14,1 0.001 -1 0 13,1 0.001 -1 -1 12,1 0.001 1 0 0.006 50 14,13 0.001 -1 -1 14,14 0.001 1 -1 13,14 0.001 1 0 0.0072 80 ::f,0,1 f,2,12 s,2,14 s,3,14 s,3,15 f,12,12 f,13,3 
15:0,0 0.001 0 -1 3,0 0.003 -1 -1 1,1 0.001 1 1 0.0011 65 2,15 0.003 -1 1 1,14 0.001 0 1 1,13 0.001 1 0 3.002 35 14,1 0.001 -1 1 13,1 0.001 -1 -1 12,1 0.001 1 1 0.006 50 14,13 0.001 -1 -1 14,14 0.001 1 0 13,14 0.001 1 0 0.0072 80 ::f,0,1 f,2,12 s,2,14 s,3,14 s,3,15 f,12,12 f,13,3 
16:0,0 0.001 1 -1 3,0 0.003 -1 -1 1,1 0.001 1 0 0.0011 65 2,15 0.003 -1 0 1,14 0.001 1 1 1,13 0.001 1 0 3.002 35 14,1 0.001 -1 1 13,1 0.001 0 -1 12,1 0.001 1 1 0.006 50 14,13 0.001 0 -1 14,14 0.001 1 0 13,14 0.001 1 1 0.0072 80 ::f,0,1 f,2,12 s,2,14 s,3,14 s,3,15 f,12,12 f,13,3 
17:0,0 0.001 1 -1 3,0 0.003 -1 -1 1,1 0.001 1 0 0.0011 65 1,15 0.003 -1 0 1,14 0.001 1 1 1,13 0.001 1 1 3.003 35 14,1 0.001 0 1 13,1 0.001 0 -1 12,1 0.001 0 1 0.006 50 14,13 0.001 0 -1 14,14 0.001 1 1 13,14 0.001 1 1 0.0072 80 ::f,0,1 f,2,12 s,2,14 s,3,14 s,3,15 f,12,12 f,13,3 
18:0,0 0.001 1 0 3,0 0.003 -1 -1 1,1 0.001 1 -1 0.0011 65 1,15 0.001 -1 0 1,14 0.001 1 0 1,13 0.001 1 1 3.003 35 14,1 0.001 0 1 13,1 0.001 1 -1 12,1 0.001 0 1 0.006 50 14,13 0.001 1 -1 14,14 0.001 1 1 13,14 0.001 0 1 0.0072 80 ::f,0,1 f,2,12 s,2,14 s,3,14 s,3,15 f,12,12 f,13,3 
19:1,0 0.001 1 0 3,0 0.003 -1 -1 1,1 0.001 1 -1 0.0021 65 1,15 0.001 -1 -1 1,14 0.001 1 0 1,13 0.001 1 1 3.003 35 14,1 0.001 1 1 13,1 0.001 1 -1 12,1 0.001 -1 1 0.006 50 14,13 0.001 1 -1 14,14 0.001 0 1 13,14 0.001 0 1 0.0072 80 ::f,0,1 f,2,12 s,2,14 s,3,14 s,3,15 f,12,12 f,13,3 
20:2,0 0.001 1 0 3,0 0.003 -1 -1 1,1 0.001 0 -1 0.0031 65 1,15 0.003 -1 -1 1,14 0.001 1 0 1,13 0.001 0 1 3.003 30 14,1 0.001 1 1 13,1 0.001 1 0 12,1 0.001 -1 1 0.006 50 14,13 0.001 1 0 14,14 0.001 0 1 13,14 0.001 -1 1 0.0072 80 ::f,0,1 s,0,14 f,2,12 s,2,14 s,3,14 s,3,15 f,12,12 f,13,3 
21:2,0 0.001 1 0 3,0 0.003 -1 -1 1,1 0.001 0 -1 0.0031 65 1,15 0.003 0 -1 1,14 0.001 1 -1 1,13 0.001 0 1 3.003 30 14,1 0.001 1 0 13,1 0.001 1 0 12,1 0.001 -1 0 0.006 50 14,13 0.001 1 0 14,14 0.001 -1 1 13,14 0.001 -1 1 0.0072 80 ::f,0,1 s,0,14 f,2,12 s,2,14 s,3,14 s,3,15 f,12,12 f,13,3 
22:2,0 0.001 1 1 3,0 0.003 -1 -1 1,1 0.001 -1 -1 0.0031 65 1,15 0.003 0 -1 1,14 0.001 1 -1 1,13 0.001 -1 1 3.003 30 14,1 0.001 1 0 13,1 0.001 1 0 12,1 0.001 -1 0 0.006 50 14,13 0.001 1 1 14,14 0.001 -1 1 13,14 0.001 -1 0 0.0072 80 ::f,0,1 s,0,14 f,2,12 s,2,14 s,3,14 s,3,15 f,12,12 f,13,3 
23:2,0 0.001 1 1 3,0 0.003 -1 -1 1,1 0.001 -1 -1 0.0031 65 1,15 0.001 0 -1 1,14 0.001 0 -1 1,13 0.001 -1 1 3.003 30 14,1 0.001 1 -1 13,1 0.001 1 1 12,1 0.001 -1 -1 0.006 50 14,13 0.001 1 1 14,14 0.001 -1 0 13,14 0.001 -1 0 0.0072 80 ::f,0,1 s,0,14 f,2,12 s,2,14 s,3,14 s,3,15 f,12,12 f,13,3 
24:2,0 0.001 0 1 3,0 0.003 -1 -1 1,1 0.001 -1 0 0.0031 65 1,15 0.001 1 -1 1,14 0.001 0 -1 1,13 0.001 -1 0 3.003 30 14,1 0.001 1 -1 13,1 0.001 1 1 12,1 0.001 -1 -1 0.006 50 14,13 0.001 0 1 14,14 0.001 -1 0 13,14 0.001 -1 -1 0.0072 80 ::f,0,1 s,0,14 f,2,12 s,2,14 s,3,14 s,3,15 f,12,12 f,13,3 
25:2,1 0.001 0 1 3,0 0.003 -1 -1 1,1 0.001 -1 0 1.0042 80 1,15 0.003 1 -1 1,14 0.001 -1 -1 1,13 0.001 -1 0 3.003 30 14,1 0.001 0 -1 13,1 0.001 0 1 12,1 0.001 0 -1 0.006 50 14,13 0.001 0 1 14,14 0.001 -1 0 13,14 0.001 -1 -1 0.0072 80 ::f,0,3 s,0,14 f,2,12 s,2,14 s,3,14 s,3,15 f,12,12 f,13,3 
26:2,1 0.001 0 1 3,0 0.003 -1 -1 1,1 0.001 -1 1 1.0042 80 1,15 0.003 1 -1 1,14 0.001 -1 -1 1,13 0.001 -1 -1 3.003 30 14,1 0.001 0 -1 13,2 0.001 0 1 12,1 0.001 0 -1 0.007 50 14,13 0.001 0 1 14,14 0.001 -1 -1 13,14 0.001 0 -1 0.0072 80 ::f,0,3 s,0,14 f,2,12 s,2,14 s,3,14 s,3,15 f,12,12 f,13,3 
27:2,1 0.001 -1 1 3,0 0.003 -1 -1 1,1 0.001 -1 1 1.0042 80 1,15 0.003 1 -1 1,14 0.001 -1 0 1,13 0.001 -1 -1 3.003 30 14,1 0.001 -1 -1 13,2 0.001 0 1 12,1 0.001 1 -1 0.0071 65 14,13 0.001 -1 1 13,13 0.001 -1 -1 13,14 0.001 0 -1 0.0082 80 ::f,0,3 s,0,14 f,2,12 s,2,14 s,3,14 s,3,15 f,12,3 f,12,12 
28:1,2 0.001 -1 1 3,0 0.003 -1 -1 1,1 0.001 0 1 1.0052 80 1,15 0.003 1 -1 1,14 0.001 -1 0 1,13 0.001 0 -1 3.003 30 14,1 0.001 -1 -1 13,2 0.001 -1 1 12,1 0.001 1 -1 0.0071 65 14,13 0.001 -1 1 13,13 0.001 -1 -1 13,14 0.001 0 -1 1.0083 95 ::f,0,3 s,0,14 f,2,12 s,2,14 s,3,14 s,3,15 f,12,3 f,15,13 
29:1,2 0.001 -1 1 3,0 0.003 -1 -1 1,1 0.001 0 1 1.0053 95 1,15 0.003 1 -1 1,14 0.001 -1 1 1,13 0.001 0 -1 3.003 30 14,1 0.001 -1 0 13,2 0.001 -1 1 12,1 0.001 1 0 1.0072 80 14,13 0.001 -1 0 13,13 0.001 0 -1 13,14 0.001 1 -1 1.0083 95 ::s,0,14 f,2,12 s,2,14 f,3,2 s,3,14 s,3,15 f,13,1 f,15,13 
30:1,2 0.001 -1 0 3,0 0.003 -1 -1 1,1 0.001 0 1 1.0053 95 1,15 0.003 1 -1 1,14 0.001 -1 1 1,13 0.001 1 -1 3.003 30 14,1 0.001 -1 0 13,2 0.001 -1 0 12,1 0.001 1 0 1.0072 80 14,13 0.001 -1 0 13,13 0.001 0 -1 13,14 0.001 1 -1 1.0083 95 ::s,0,14 f,2,12 s,2,14 f,3,2 s,3,14 s,3,15 f,13,1 f,15,13 
31:1,2 0.001 -1 0 3,0 0.003 -1 -1 1,1 0.001 1 1 1.0053 95 1,15 0.003 1 -1 1,14 0.001 0 1 1,13 0.001 1 -1 3.0031 45 14,1 0.001 -1 0 13,2 0.001 -1 0 12,1 0.001 1 0 1.0073 95 14,13 0.001 -1 -1 13,13 0.001 1 -1 13,14 0.001 1 0 1.0083 95 ::s,0,14 s,2,14 f,3,2 f,3,13 s,3,14 s,3,15 f,12,0 f,15,13 
32:1,2 0.001 -1 -1 3,0 0.003 -1 -1 1,1 0.001 1 1 1.0053 95 1,15 0.003 1 -1 1,14 0.001 0 1 1,13 0.001 1 0 3.0031 45 14,1 0.001 -1 1 13,2 0.001 -1 -1 12,1 0.001 1 1 1.0073 95 14,13 0.001 -1 -1 13,13 0.001 1 -1 13,14 0.001 1 0 1.0083 95 ::s,0,14 s,2,14 f,3,2 f,3,13 s,3,14 s,3,15 f,12,0 f,15,13 
33:1,2 0.001 -1 -1 3,0 0.003 -1 -1 1,1 0.001 1 0 1.0053 95 1,15 0.003 1 -1 1,14 0.001 1 1 2,13 0.001 1 0 3.0041 45 14,1 0.001 -1 1 13,2 0.001 -1 -1 12,1 0.001 1 1 1.0073 95 14,13 0.001 0 -1 13,13 0.001 1 0 13,14 0.001 1 1 1.0083 95 ::s,0,14 s,2,14 f,3,2 f,3,13 s,3,14 s,3,15 f,12,0 f,15,13 
34:1,2 0.001 0 -1 3,0 0.003 -1 -1 1,1 0.001 1 0 1.0053 95 1,15 0.003 1 -1 1,14 0.001 1 1 2,13 0.001 1 0 4.0042 60 14,1 0.001 0 1 13,2 0.001 0 -1 12,1 0.001 0 1 1.0073 95 14,13 0.001 0 -1 13,13 0.001 1 0 13,14 0.001 1 1 1.0083 95 ::s,0,14 f,2,12 s,2,14 f,3,2 s,3,14 s,3,15 f,12,0 f,15,13 
35:1,2 0.001 0 -1 3,0 0.003 -1 -1 1,1 0.001 1 -1 1.0053 95 1,15 0.003 1 -1 1,14 0.001 1 0 2,13 0.001 1 1 4.0042 60 14,1 0.001 0 1 13,1 0.001 0 -1 12,1 0.001 0 1 1.0083 95 14,13 0.001 1 -1 13,13 0.001 1 0 13,14 0.001 0 1 1.0083 95 ::s,0,14 f,2,12 s,2,14 f,3,2 s,3,14 s,3,15 f,12,0 f,15,13 
36:1,2 0.001 0 -1 3,0 0.003 -1 -1 1,1 0.001 1 -1 1.0053 95 1,15 0.003 1 -1 1,14 0.001 1 0 2,13 0.001 1 1 4.0042 60 14,1 0.001 1 1 13,1 0.001 0 -1 12,1 0.001 -1 1 1.0083 95 14,13 0.001 1 -1 13,13 0.001 1 1 13,14 0.001 0 1 1.0083 95 ::s,0,14 f,2,12 s,2,14 f,3,2 s,3,14 s,3,15 f,12,0 f,15,13 
37:1,2 0.001 1 -1 3,0 0.003 -1 -1 1,1 0.001 0 -1 1.0053 95 1,15 0.003 1 -1 1,14 0.001 1 0 2,13 0.001 0 1 4.0042 60 14,1 0.001 1 1 13,1 0.001 1 -1 12,1 0.001 -1 1 1.0083 95 14,13 0.001 1 0 13,13 0.001 1 1 13,14 0.001 -1 1 1.0083 95 ::s,0,14 f,2,12 s,2,14 f,3,2 s,3,14 s,3,15 f,12,0 f,15,13 
