16
0:3,1 0.001 0 -1 1,3 0.003 1 1 1,0 0.002 0 -1 0 50 3,14 0.001 1 0 1,13 0.003 1 0 3,15 0.002 1 0 0 50 15,1 0.001 1 1 13,0 0.003 -1 -1 13,1 0.002 1 0 0.001 50 15,14 0.001 1 -1 13,14 0.003 1 -1 14,13 0.002 -1 -1 0.001 50 ::f,0,1 f,0,12 f,14,3 f,15,12 
1:3,0 0.001 0 -1 1,3 0.003 1 0 1,0 0.002 -1 -1 0.001 50 3,14 0.001 1 -1 1,13 0.003 1 -1 3,15 0.002 1 -1 0 50 15,1 0.001 1 1 13,0 0.003 -1 0 13,1 0.002 1 -1 0.001 50 15,14 0.001 1 -1 13,14 0.003 0 -1 14,13 0.002 -1 0 0.001 50 ::f,0,1 f,0,12 f,14,3 f,15,12 
2:3,0 0.001 0 -1 1,3 0.003 1 -1 1,0 0.002 -1 0 0.001 50 3,14 0.001 1 -1 1,13 0.003 0 -1 3,15 0.002 0 -1 0 50 15,1 0.001 1 0 13,0 0.003 -1 1 13,1 0.002 0 -1 0.001 50 15,14 0.001 1 0 13,14 0.003 -1 -1 14,13 0.002 -1 1 0.001 50 ::f,0,1 f,0,12 f,14,3 f,15,12 
3:3,0 0.002 0 -1 2,2 0.003 1 -1 1,0 0.002 -1 1 0.002 50 3,14 0.001 0 -1 1,13 0.003 -1 -1 3,15 0.002 -1 -1 0 50 15,1 0.002 1 0 12,1 0.003 -1 1 13,1 0.002 -1 -1 0.002 50 15,14 0.001 1 0 13,14 0.003 -1 0 14,13 0.002 0 1 0.001 50 ::f,0,1 f,0,12 f,14,3 f,15,12 
4:3,0 0.002 0 -1 2,2 0.001 1 -1 1,0 0.002 0 1 0.002 50 3,13 0.001 0 -1 1,13 0.003 -1 0 3,15 0.002 -1 0 0.001 50 15,1 0.001 1 0 12,1 0.001 -1 1 13,1 0.002 -1 0 0.002 50 15,14 0.001 1 0 13,14 0.003 -1 1 14,13 0.002 1 1 0.001 50 ::f,0,1 f,0,12 f,14,3 f,15,12 
5:3,0 0.002 0 -1 2,2 0.001 1 0 1,0 0.002 1 1 0.002 50 3,13 0.001 -1 -1 0,13 0.003 -1 0 2,15 0.002 -1 0 0.003 50 15,1 0.001 1 1 12,1 0.001 -1 0 13,1 0.002 -1 0 0.002 50 15,14 0.001 1 0 13,14 0.003 0 1 14,13 0.002 1 0 0.001 50 ::f,0,1 f,0,12 f,14,3 f,15,12 
6:3,0 0.002 0 -1 3,2 0.001 1 0 1,0 0.002 1 0 0.003 50 3,13 0.001 -1 0 0,13 0.001 -1 0 2,15 0.001 -1 0 0.003 50 15,1 0.002 1 1 12,1 0.001 -1 0 13,1 0.001 -1 0 0.002 50 15,14 0.001 1 0 13,14 0.003 1 1 15,13 0.002 1 0 0.002 50 ::f,0,1 f,0,12 f,14,3 f,15,12 
7:3,0 0.002 0 -1 3,2 0.001 1 0 1,0 0.002 1 -1 0.003 50 3,13 0.001 -1 1 0,13 0.001 -1 -1 2,15 0.001 -1 -1 0.003 50 15,1 0.001 1 1 12,1 0.001 -1 0 13,1 0.001 -1 -1 0.002 50 15,14 0.001 1 1 13,14 0.003 1 0 15,13 0.001 1 0 0.002 50 ::f,0,1 f,0,12 f,14,3 f,15,12 
8:3,0 0.002 0 -1 3,2 0.001 1 0 1,0 0.002 1 -1 0.003 50 3,13 0.001 0 1 0,13 0.001 -1 -1 1,14 0.001 -1 -1 0.004 50 15,1 0.002 1 1 12,1 0.001 -1 -1 12,0 0.001 -1 -1 0.003 50 15,14 0.001 1 1 14,14 0.003 1 0 15,13 0.001 1 1 0.003 50 ::f,0,1 f,0,12 f,14,3 f,15,12 
9:3,0 0.002 0 -1 3,2 0.001 1 0 1,0 0.001 1 -1 0.003 50 3,13 0.001 1 1 0,13 0.001 -1 -1 1,14 0.001 -1 -1 0.004 50 15,1 0.002 1 1 12,1 0.001 -1 -1 12,0 0.001 -1 -1 0.003 50 15,14 0.001 1 1 14,14 0.001 1 0 15,13 0.001 1 1 0.003 50 ::f,0,1 f,0,12 f,14,3 f,15,12 
