16
0:2,2 0.001 0 1 3,3 0.003 1 0 2,0 0.002 -1 1 0.002 50 2,13 0.001 1 -1 2,15 0.003 -1 1 1,14 0.002 1 1 0.002 50 14,3 0.001 1 1 15,3 0.003 1 -1 12,0 0.002 1 -1 0 50 13,15 0.001 1 0 12,15 0.003 0 1 15,12 0.003 1 -1 0.002 50 ::f,1,1 f,3,14 f,12,12 f,13,1 
1:2,2 0.001 0 1 3,3 0.001 1 0 2,0 0.001 -1 1 0.0021 65 2,13 0.001 1 -1 2,15 0.001 -1 1 1,14 0.001 1 1 0.002 50 14,3 0.001 1 1 15,3 0.001 1 -1 12,0 0.001 1 -1 0 50 13,15 0.001 1 0 12,15 0.001 0 1 15,12 0.003 1 -1 0.002 50 ::f,0,2 f,3,14 f,12,12 f,13,1 
2:2,2 0.001 -1 1 3,3 0.001 1 1 2,0 0.001 -1 0 0.0021 65 2,13 0.001 1 0 2,15 0.001 -1 0 1,14 0.001 0 1 0.002 50 14,3 0.001 0 1 15,3 0.001 1 0 12,0 0.001 1 0 0 50 13,15 0.001 1 1 12,15 0.001 -1 1 15,12 0.003 1 -1 0.002 50 ::f,0,2 f,3,14 f,12,12 f,13,1 
3:2,2 0.001 -1 1 3,3 0.001 1 1 2,0 0.001 -1 0 0.0021 65 2,13 0.001 1 0 2,15 0.001 -1 0 1,14 0.001 0 1 0.002 50 14,3 0.001 0 1 15,3 0.001 1 0 12,0 0.001 1 0 0 50 13,15 0.001 1 1 12,15 0.001 -1 1 15,12 0.003 1 -1 0.002 50 ::f,0,2 f,3,14 f,12,12 f,13,1 
4:2,2 0.001 -1 0 3,3 0.001 0 1 2,0 0.001 -1 -1 0.0021 65 2,13 0.001 1 1 2,15 0.001 -1 -1 1,14 0.001 -1 1 0.002 50 14,3 0.001 -1 1 15,3 0.001 1 1 12,0 0.001 1 1 0 50 13,15 0.001 0 1 12,15 0.001 -1 0 15,12 0.003 1 -1 0.002 50 ::f,0,2 f,3,14 f,12,12 f,13,1 
5:2,2 0.001 -1 0 3,3 0.001 0 1 2,0 0.001 -1 -1 0.0021 65 2,13 0.001 1 1 2,15 0.001 -1 -1 1,14 0.001 -1 1 0.0021 65 14,3 0.001 -1 1 15,3 0.001 1 1 12,0 0.001 1 1 0.0001 65 13,15 0.001 0 1 12,15 0.001 -1 0 15,12 0.003 1 -1 0.002 50 ::f,0,2 f,1,13 f,12,2 f,12,12 
6:2,2 0.001 -1 -1 3,3 0.001 -1 1 2,0 0.001 0 -1 0.0021 65 2,13 0.001 0 1 2,15 0.001 0 -1 1,14 0.001 -1 0 0.0021 65 14,3 0.001 -1 0 15,3 0.001 0 1 12,0 0.001 0 1 0.0001 65 13,15 0.001 -1 1 12,15 0.001 -1 -1 15,12 0.003 1 -1 0.002 50 ::f,0,2 f,1,13 f,12,2 f,12,12 
7:2,2 0.001 -1 -1 3,3 0.001 -1 1 2,0 0.001 0 -1 0.0021 65 2,14 0.001 0 1 2,15 0.001 0 -1 1,14 0.001 -1 0 0.0031 65 13,3 0.001 -1 0 15,3 0.001 0 1 12,0 0.001 0 1 0.0011 65 13,15 0.001 -1 1 12,15 0.001 -1 -1 15,12 0.003 1 -1 0.002 50 ::f,0,2 f,1,13 f,12,2 f,12,12 
8:2,2 0.001 0 -1 3,3 0.001 -1 0 2,0 0.001 1 -1 0.0021 65 2,14 0.001 0 1 2,15 0.001 1 -1 1,14 0.001 -1 -1 0.0031 65 13,3 0.001 -1 0 15,3 0.001 -1 1 12,0 0.001 -1 1 0.0011 65 13,15 0.001 -1 0 12,15 0.001 0 -1 15,12 0.003 1 -1 0.002 50 ::f,0,2 f,1,13 f,12,2 f,12,12 
9:2,1 0.001 0 -1 2,3 0.001 -1 0 2,0 0.001 1 -1 0.0041 65 2,14 0.001 -1 1 2,15 0.001 1 -1 1,14 0.001 -1 -1 0.0031 65 13,3 0.001 -1 -1 15,3 0.001 -1 1 12,0 0.001 -1 1 0.0011 65 13,15 0.001 -1 0 12,14 0.001 0 -1 15,12 0.003 1 -1 0.003 50 ::f,0,2 f,1,13 f,12,2 f,12,12 
