16
0:3,3 0.001 1 0 2,0 0.003 0 1 0,1 0.002 1 -1 0.001 50 0,13 0.001 -1 1 3,15 0.003 -1 -1 3,13 0.002 0 -1 0.001 50 14,2 0.001 0 1 15,2 0.003 0 1 14,1 0.002 0 1 0.001 50 13,15 0.001 1 0 15,13 0.003 1 -1 14,15 0.002 -1 0 0.001 50 ::f,0,0 f,2,14 f,12,1 f,12,14 
1:3,3 0.001 1 1 2,1 0.003 0 1 0,1 0.002 1 0 0.002 50 0,13 0.001 0 1 3,15 0.003 -1 -1 3,13 0.001 0 -1 0.001 50 14,2 0.001 -1 1 15,2 0.001 0 1 14,1 0.001 0 1 0.001 50 13,15 0.001 1 0 15,13 0.001 1 -1 14,15 0.002 -1 -1 0.001 50 ::f,0,0 f,2,14 f,12,1 f,12,14 
2:3,3 0.001 0 1 2,2 0.003 0 1 1,1 0.002 1 0 0.004 50 0,13 0.001 0 1 3,15 0.003 -1 -1 3,13 0.001 0 -1 0.001 50 14,2 0.001 -1 0 15,3 0.001 0 1 14,1 0.001 0 1 0.002 50 13,15 0.001 1 0 15,13 0.001 1 0 13,14 0.002 -1 -1 0.002 50 ::f,0,0 f,2,14 f,12,1 f,12,14 
3:3,3 0.001 -1 1 2,2 0.003 -1 1 1,1 0.001 1 0 0.004 50 0,13 0.001 0 1 3,15 0.003 -1 -1 3,12 0.001 0 -1 0.002 50 14,2 0.001 -1 -1 15,3 0.001 -1 1 14,1 0.001 0 1 0.002 50 14,15 0.001 1 0 15,13 0.001 1 1 13,14 0.001 -1 -1 0.003 50 ::f,0,0 f,2,14 f,12,1 f,12,14 
4:3,3 0.001 -1 0 2,2 0.003 -1 0 2,1 0.001 1 0 0.005 50 0,13 0.001 0 1 3,15 0.003 -1 -1 3,12 0.001 1 -1 0.002 50 14,2 0.001 0 -1 15,3 0.001 -1 0 14,1 0.001 0 1 0.002 50 14,15 0.001 1 0 15,13 0.001 0 1 13,14 0.001 -1 -1 0.003 50 ::f,0,0 f,2,14 f,12,1 f,12,14 
5:2,3 0.001 -1 0 1,2 0.003 -1 0 2,1 0.001 1 0 0.007 50 0,13 0.001 1 1 3,15 0.003 -1 -1 3,12 0.001 1 0 0.002 50 14,2 0.001 1 -1 14,3 0.001 -1 0 14,1 0.001 0 1 0.003 50 14,15 0.001 1 1 15,13 0.001 -1 1 12,13 0.001 -1 -1 0.004 50 ::f,0,0 f,2,14 f,12,1 f,12,14 
6:1,3 0.001 -1 0 1,2 0.003 -1 -1 2,1 0.001 1 1 0.008 50 0,13 0.001 1 1 3,15 0.003 -1 -1 3,12 0.001 1 1 0.002 50 14,2 0.003 1 -1 13,3 0.001 -1 0 14,1 0.001 0 1 0.004 45 14,15 0.001 0 1 14,14 0.001 -1 1 12,13 0.001 0 -1 0.005 50 ::f,0,0 f,2,14 f,12,1 f,12,14 s,15,1 
7:0,3 0.001 -1 0 1,2 0.003 0 -1 2,1 0.001 0 1 0.009 50 0,13 0.001 1 1 3,15 0.003 -1 -1 3,12 0.001 0 1 0.002 50 14,2 0.003 1 0 12,3 0.001 -1 0 14,1 0.001 0 1 0.005 45 14,15 0.001 -1 1 14,14 0.001 -1 1 12,12 0.001 0 -1 0.006 50 ::f,0,0 f,2,14 f,12,1 f,12,14 s,15,1 
8:0,3 0.001 -1 -1 1,1 0.003 0 -1 2,2 0.001 0 1 0.011 50 0,13 0.001 1 1 3,15 0.003 -1 -1 3,13 0.001 0 1 0.003 50 14,2 0.003 1 1 12,3 0.001 -1 -1 14,1 0.001 0 1 0.005 45 14,15 0.001 -1 0 14,14 0.001 -1 0 12,12 0.001 1 -1 0.006 50 ::f,0,0 f,2,14 f,12,1 f,12,14 s,15,1 
9:0,3 0.001 0 -1 1,1 0.003 1 -1 2,2 0.001 0 1 0.011 50 0,13 0.001 1 0 3,15 0.003 -1 -1 3,14 0.001 0 1 0.004 50 14,2 0.003 0 1 12,3 0.001 0 -1 14,1 0.001 0 1 0.005 45 14,15 0.001 -1 -1 13,14 0.001 -1 0 12,12 0.001 1 0 0.007 50 ::f,0,0 f,2,14 f,12,1 f,12,14 s,15,1 
10:0,2 0.001 0 -1 1,1 0.003 1 0 2,2 0.001 -1 1 0.012 50 0,13 0.001 1 0 3,15 0.003 -1 -1 3,14 0.001 0 1 0.004 50 14,2 0.003 -1 1 12,2 0.001 0 -1 14,1 0.001 0 1 0.006 45 14,15 0.001 -1 -1 13,14 0.001 -1 0 13,12 0.001 1 0 0.0081 65 ::f,0,0 f,2,14 f,12,1 f,14,12 s,15,1 
11:0,1 0.001 0 -1 2,1 0.003 1 0 2,2 0.001 -1 0 0.014 50 0,13 0.003 1 0 3,15 0.003 -1 -1 3,14 0.001 -1 1 0.004 45 14,2 0.003 -1 0 12,2 0.001 0 -1 14,1 0.001 0 1 0.0061 60 14,15 0.001 -1 -1 13,14 0.001 -1 -1 13,12 0.001 1 0 0.0082 80 ::f,0,0 s,1,13 f,2,14 f,13,15 f,14,3 s,15,1 
12:0,1 0.001 0 -1 2,1 0.003 1 1 1,2 0.001 -1 0 0.0151 65 0,13 0.003 1 0 3,15 0.001 -1 -1 2,15 0.001 -1 1 0.0051 60 14,2 0.003 -1 -1 12,1 0.001 0 -1 14,1 0.001 0 1 0.0071 60 14,15 0.001 -1 -1 13,14 0.001 0 -1 14,12 0.001 1 0 0.0092 80 ::s,1,13 f,3,1 f,3,12 f,13,15 f,14,3 s,15,1 
13:0,0 0.001 0 -1 2,1 0.003 0 1 1,2 0.001 -1 0 0.0161 65 0,13 0.003 1 0 2,14 0.001 -1 -1 2,15 0.001 -1 0 0.0061 60 14,2 0.003 0 -1 12,0 0.001 0 -1 14,1 0.001 0 1 0.0081 60 14,15 0.001 -1 -1 13,13 0.001 0 -1 14,12 0.001 1 0 0.0102 80 ::s,1,13 f,3,1 f,3,12 f,13,15 f,14,3 s,15,1 
14:0,0 0.001 1 -1 2,2 0.003 0 1 1,2 0.001 -1 -1 0.0171 65 0,13 0.003 1 -1 2,14 0.001 -1 -1 1,15 0.001 -1 0 0.0071 60 14,2 0.003 1 -1 12,0 0.001 1 -1 14,1 0.001 0 1 0.0081 60 13,14 0.001 -1 -1 13,13 0.001 0 -1 15,12 0.001 1 0 0.0122 80 ::s,1,13 f,3,1 f,3,12 f,13,15 f,14,3 s,15,1 
15:0,0 0.001 1 0 2,2 0.003 -1 1 1,2 0.001 0 -1 0.0171 65 0,13 0.003 1 -1 2,14 0.001 -1 -1 0,15 0.001 -1 0 0.0081 60 14,2 0.003 1 0 12,0 0.001 1 0 14,1 0.001 0 1 0.0081 60 13,14 0.001 -1 -1 13,13 0.001 1 -1 15,12 0.001 1 1 0.0122 80 ::s,1,13 f,3,1 f,3,12 f,13,15 f,14,3 s,15,1 
16:1,0 0.001 1 0 2,2 0.003 -1 0 1,1 0.001 0 -1 0.0191 65 0,13 0.003 1 -1 2,14 0.001 -1 -1 0,15 0.001 -1 -1 1.0081 55 14,2 0.003 1 1 13,0 0.001 1 0 14,1 0.001 0 1 0.0091 60 13,14 0.001 0 -1 13,13 0.001 1 0 15,12 0.001 0 1 0.0122 80 ::s,1,12 s,1,13 f,3,1 f,3,12 f,13,15 f,14,3 s,15,1 
17:2,0 0.001 1 0 1,2 0.003 -1 0 1,1 0.001 0 -1 0.0211 65 0,13 0.003 1 -1 2,14 0.001 -1 -1 0,15 0.001 0 -1 1.0081 55 14,2 0.003 0 1 14,0 0.001 1 0 14,1 0.001 0 1 0.0101 60 13,14 0.001 0 -1 14,13 0.001 1 0 15,13 0.001 0 1 0.0142 80 ::s,1,12 s,1,13 f,3,1 f,3,12 f,13,15 f,14,3 s,15,1 
18:3,0 0.001 1 0 1,2 0.003 -1 -1 1,1 0.001 1 -1 0.0221 65 0,13 0.003 1 -1 2,14 0.001 -1 -1 0,14 0.001 0 -1 1.0091 55 14,2 0.003 -1 1 15,0 0.001 1 0 14,1 0.001 0 1 0.0111 60 13,14 0.001 0 -1 14,13 0.001 1 0 15,14 0.001 0 1 0.0152 80 ::s,1,12 s,1,13 f,3,1 f,3,12 f,13,15 f,14,3 s,15,1 
19:3,0 0.001 1 1 1,2 0.003 0 -1 1,1 0.001 1 0 0.0221 65 0,13 0.003 1 -1 2,14 0.001 -1 -1 0,14 0.001 0 -1 1.0091 55 14,2 0.003 -1 0 15,0 0.001 1 1 14,1 0.001 0 1 0.0111 60 13,13 0.001 0 -1 14,13 0.001 1 1 15,15 0.001 0 1 0.0172 80 ::s,1,12 s,1,13 f,3,1 f,3,12 f,13,15 f,14,3 s,15,1 
20:3,0 0.001 0 1 1,2 0.003 0 -1 2,1 0.001 1 0 0.0231 65 0,13 0.003 1 -1 2,14 0.001 -1 -1 0,14 0.001 1 -1 1.0091 55 14,2 0.003 -1 -1 15,0 0.001 0 1 14,1 0.001 0 1 0.0111 60 13,13 0.001 0 -1 14,13 0.001 0 1 15,15 0.001 -1 1 0.0172 80 ::s,1,12 s,1,13 f,3,1 f,3,12 f,13,15 f,14,3 s,15,1 
21:3,0 0.001 0 1 1,1 0.003 0 -1 2,1 0.001 1 0 0.0242 80 0,13 0.003 1 -1 2,14 0.001 -1 -1 0,14 0.001 1 0 1.0091 55 14,2 0.003 0 -1 15,0 0.001 -1 1 14,1 0.001 0 1 0.0111 60 13,13 0.001 1 -1 14,14 0.001 0 1 15,15 0.001 -1 0 0.0182 80 ::f,1,3 s,1,12 s,1,13 f,3,12 f,13,15 f,14,3 s,15,1 
22:3,1 0.001 0 1 1,1 0.003 1 -1 2,1 0.001 1 1 0.0252 80 0,13 0.003 1 -1 2,14 0.001 -1 -1 1,14 0.001 1 0 1.0101 55 14,2 0.003 0 -1 15,0 0.001 -1 0 14,1 0.001 0 1 0.0111 60 13,13 0.001 1 0 14,14 0.001 0 1 14,15 0.001 -1 0 0.0192 80 ::f,1,3 s,1,12 s,1,13 f,3,12 f,13,15 f,14,3 s,15,1 
23:3,1 0.001 0 1 1,1 0.003 1 0 2,1 0.001 0 1 0.0252 80 0,13 0.003 1 -1 2,14 0.001 -1 -1 1,14 0.001 1 0 1.0101 55 14,2 0.003 1 -1 14,0 0.001 -1 0 14,1 0.001 0 1 0.0121 60 14,13 0.001 1 0 14,14 0.001 -1 1 14,15 0.001 -1 0 1.0203 95 ::f,1,3 s,1,12 s,1,13 f,3,12 f,13,15 f,14,3 s,15,1 
24:3,2 0.001 0 1 1,1 0.003 1 0 2,2 0.001 0 1 0.0272 80 0,13 0.003 1 -1 2,14 0.001 -1 -1 1,14 0.001 1 1 1.0101 55 14,2 0.003 1 0 14,0 0.001 -1 0 14,1 0.001 0 1 0.0121 60 14,13 0.001 1 0 14,14 0.001 -1 0 14,15 0.001 -1 0 1.0203 95 ::f,1,3 s,1,12 s,1,13 f,3,12 f,13,15 f,14,3 s,15,1 
25:3,2 0.001 0 1 2,1 0.003 1 0 2,2 0.001 0 1 0.0282 80 0,13 0.003 1 -1 2,14 0.001 -1 -1 2,15 0.001 1 1 1.0111 55 14,2 0.003 1 1 14,0 0.001 -1 0 14,1 0.001 0 1 0.0121 60 14,13 0.001 1 1 13,14 0.001 -1 0 14,15 0.001 -1 0 3.0214 110 ::f,1,3 s,1,12 s,1,13 f,3,12 f,14,3 s,15,1 f,15,14 
26:3,2 0.001 0 1 2,1 0.003 1 1 2,2 0.001 -1 1 0.0282 80 0,13 0.003 1 -1 2,14 0.001 -1 -1 2,15 0.001 0 1 1.0111 55 14,2 0.003 0 1 13,0 0.001 -1 0 14,1 0.001 0 1 0.0131 60 14,13 0.001 0 1 13,14 0.001 -1 0 13,15 0.001 -1 0 3.0224 110 ::f,1,3 s,1,12 s,1,13 f,3,12 f,14,3 s,15,1 f,15,14 
27:3,3 0.001 0 1 2,1 0.003 0 1 2,2 0.001 -1 0 0.0292 80 0,13 0.003 1 -1 2,14 0.001 -1 -1 2,15 0.001 -1 1 1.0111 55 14,2 0.003 -1 1 13,0 0.001 -1 0 14,1 0.001 0 1 0.0131 60 14,14 0.001 0 1 13,14 0.001 -1 -1 12,15 0.001 -1 0 3.0244 110 ::f,1,3 s,1,12 s,1,13 f,3,12 f,14,3 s,15,1 f,15,14 
28:3,3 0.001 -1 1 2,1 0.003 0 1 1,2 0.001 -1 0 0.0302 80 0,13 0.003 1 -1 2,14 0.001 -1 -1 2,15 0.001 -1 0 1.0111 55 14,2 0.003 -1 0 13,0 0.001 -1 0 14,1 0.001 0 1 0.0131 60 14,14 0.001 0 1 13,14 0.001 0 -1 12,15 0.001 -1 -1 3.0244 110 ::f,1,3 s,1,12 s,1,13 f,3,12 f,14,3 s,15,1 f,15,14 
29:3,3 0.001 -1 0 2,2 0.003 0 1 1,2 0.001 -1 0 0.0312 80 0,13 0.003 1 -1 2,14 0.001 -1 -1 1,15 0.001 -1 0 1.0121 55 14,2 0.003 -1 -1 12,0 0.001 -1 0 14,1 0.001 0 1 0.0141 60 14,14 0.001 -1 1 13,13 0.001 0 -1 12,15 0.001 0 -1 3.0254 110 ::f,1,3 s,1,12 s,1,13 f,3,12 f,14,3 s,15,1 f,15,14 
