16
0:2,3 0.001 1 1 2,0 0.003 -1 -1 0,3 0.002 0 1 0.001 50 1,14 0.001 0 1 3,14 0.003 1 0 1,15 0.002 1 0 0.001 50 14,1 0.001 0 -1 13,1 0.003 -1 1 15,3 0.002 1 -1 0.002 50 14,14 0.001 -1 -1 13,13 0.003 -1 0 12,14 0.002 1 -1 0.002 50 ::f,1,1 f,2,15 f,15,2 f,15,13 
1:2,3 0.001 1 1 2,0 0.003 -1 -1 0,3 0.001 0 1 0.001 50 1,14 0.001 0 1 3,14 0.001 1 0 1,15 0.001 1 0 0.0011 65 14,1 0.001 0 -1 13,1 0.001 -1 1 15,3 0.001 1 -1 0.002 50 14,14 0.001 -1 -1 13,13 0.001 -1 0 12,14 0.001 1 -1 0.002 50 ::f,0,15 f,1,1 f,15,2 f,15,13 
2:2,3 0.001 0 1 2,0 0.003 -1 -1 0,3 0.001 -1 1 0.001 50 1,14 0.001 -1 1 3,14 0.001 1 1 1,15 0.001 1 1 0.0011 65 14,1 0.001 1 -1 13,1 0.001 -1 0 15,3 0.001 1 0 0.002 50 14,14 0.001 0 -1 13,13 0.001 -1 -1 12,14 0.001 1 0 0.002 50 ::f,0,15 f,1,1 f,15,2 f,15,13 
3:2,3 0.001 0 1 2,0 0.003 -1 -1 0,3 0.001 -1 1 0.001 50 1,14 0.001 -1 1 3,14 0.001 1 1 1,15 0.001 1 1 0.0012 80 14,1 0.001 1 -1 13,1 0.001 -1 0 15,3 0.001 1 0 0.002 50 14,14 0.001 0 -1 13,13 0.001 -1 -1 12,14 0.001 1 0 0.002 50 ::f,1,1 f,3,15 f,15,2 f,15,13 
4:2,3 0.001 -1 1 2,0 0.003 -1 -1 0,3 0.001 -1 0 0.001 50 1,14 0.003 -1 1 3,14 0.001 0 1 1,15 0.001 0 1 0.0012 75 14,1 0.001 1 0 13,1 0.001 -1 -1 15,3 0.001 1 1 0.002 50 14,14 0.001 1 -1 13,13 0.001 0 -1 12,14 0.001 1 1 0.002 50 ::s,0,15 f,1,1 f,3,15 f,15,2 f,15,13 
5:2,3 0.001 -1 1 2,0 0.003 -1 -1 0,3 0.001 -1 0 0.001 50 1,14 0.001 -1 1 3,14 0.001 0 1 1,15 0.001 0 1 0.0013 90 14,1 0.001 1 0 13,1 0.001 -1 -1 15,3 0.001 1 1 0.002 50 14,14 0.001 1 -1 13,13 0.001 0 -1 12,14 0.001 1 1 0.0021 65 ::s,0,15 f,1,1 f,3,13 f,15,2 f,15,13 
6:2,3 0.001 -1 0 2,0 0.003 -1 -1 0,3 0.001 -1 -1 0.001 50 1,14 0.001 -1 0 3,14 0.001 -1 1 1,15 0.001 -1 1 0.0013 90 14,1 0.001 1 1 13,1 0.001 0 -1 15,3 0.001 0 1 0.002 50 14,14 0.001 1 0 13,13 0.001 1 -1 12,14 0.001 0 1 0.0021 65 ::s,0,15 f,1,1 f,3,13 f,15,2 f,15,13 
7:1,3 0.001 -1 0 2,0 0.003 -1 -1 0,3 0.001 -1 -1 0.002 50 1,14 0.003 -1 0 3,14 0.001 -1 1 1,15 0.001 -1 1 0.0013 85 14,1 0.001 1 1 13,1 0.001 0 -1 15,3 0.001 0 1 0.0021 65 14,14 0.001 1 0 14,12 0.001 1 -1 12,14 0.001 0 1 0.0031 65 ::s,0,14 s,0,15 f,1,1 f,3,13 f,13,2 f,15,13 
8:1,3 0.001 -1 0 2,0 0.003 -1 -1 0,3 0.001 0 -1 0.002 50 1,14 0.003 -1 -1 3,14 0.001 -1 0 1,15 0.001 -1 0 0.0013 85 14,1 0.001 0 1 13,1 0.001 1 -1 15,3 0.001 -1 1 0.0021 65 14,14 0.001 1 1 14,12 0.001 1 -1 12,14 0.001 -1 1 0.0031 65 ::s,0,14 s,0,15 f,1,1 f,3,13 f,13,2 f,15,13 
9:1,3 0.001 -1 -1 2,0 0.003 -1 -1 0,2 0.001 0 -1 0.003 50 1,14 0.003 -1 -1 2,14 0.001 -1 0 1,15 0.001 -1 0 1.0023 80 14,2 0.001 0 1 13,1 0.001 1 -1 15,3 0.001 -1 1 0.0031 65 14,14 0.001 1 1 14,12 0.001 1 0 12,14 0.001 -1 1 0.0031 65 ::s,0,13 s,0,14 s,0,15 f,1,1 f,3,13 f,13,2 f,15,13 
10:1,3 0.001 -1 -1 2,0 0.003 -1 -1 0,2 0.001 0 -1 0.003 50 1,14 0.003 0 -1 2,14 0.001 -1 0 1,15 0.001 -1 -1 1.0023 80 14,2 0.001 0 1 13,1 0.001 1 0 15,3 0.001 -1 0 0.0031 65 14,14 0.001 0 1 14,12 0.001 1 0 12,14 0.001 -1 0 0.0031 65 ::s,0,13 s,0,14 s,0,15 f,1,1 f,3,13 f,13,2 f,15,13 
11:1,3 0.001 0 -1 2,0 0.003 -1 -1 0,2 0.001 1 -1 0.003 50 1,14 0.003 0 -1 2,14 0.001 -1 -1 1,15 0.001 -1 -1 3.0023 75 14,2 0.001 -1 1 14,1 0.001 1 0 14,3 0.001 -1 0 0.0051 65 14,14 0.001 0 1 14,12 0.001 1 1 12,14 0.001 -1 0 0.0031 65 ::s,0,13 s,0,14 s,0,15 f,1,1 s,1,13 f,3,13 f,13,2 f,15,13 
12:1,2 0.001 0 -1 2,0 0.003 -1 -1 0,2 0.001 1 -1 0.004 50 1,14 0.001 0 -1 2,14 0.001 -1 -1 1,15 0.001 0 -1 3.0023 75 14,2 0.001 -1 1 14,1 0.001 1 0 14,3 0.001 -1 0 0.0051 65 14,14 0.001 -1 1 14,12 0.001 1 1 12,14 0.001 -1 -1 0.0031 65 ::s,0,13 s,0,14 s,0,15 f,1,1 s,1,13 f,3,13 f,13,2 f,15,13 
13:1,2 0.001 0 -1 2,0 0.003 -1 -1 0,2 0.001 1 -1 0.0041 65 1,14 0.001 1 -1 2,14 0.001 0 -1 1,15 0.001 0 -1 3.0023 75 14,2 0.001 -1 0 14,1 0.001 1 1 14,3 0.001 -1 -1 0.0051 65 13,15 0.001 -1 1 14,12 0.001 1 1 12,14 0.001 -1 -1 0.0042 80 ::s,0,13 s,0,14 s,0,15 s,1,13 f,3,0 f,3,13 f,13,2 f,14,15 
14:1,2 0.001 1 -1 2,0 0.003 -1 -1 0,2 0.001 1 0 0.0041 65 1,14 0.003 1 -1 2,14 0.001 0 -1 1,15 0.001 0 -1 3.0023 70 14,2 0.001 -1 0 14,1 0.001 1 1 14,3 0.001 -1 -1 0.0052 80 13,15 0.001 -1 1 14,12 0.001 0 1 12,14 0.001 0 -1 0.0042 80 ::s,0,13 s,0,14 s,0,15 s,1,13 s,2,13 f,3,0 f,3,13 f,14,15 f,15,2 
15:2,1 0.001 1 -1 2,0 0.003 -1 -1 0,2 0.001 1 0 0.0051 65 1,14 0.003 1 0 2,14 0.001 1 -1 1,15 0.001 1 -1 3.0023 70 14,2 0.001 -1 0 14,1 0.001 0 1 14,3 0.001 0 -1 0.0052 80 13,15 0.001 -1 0 14,12 0.001 0 1 12,13 0.001 0 -1 0.0052 80 ::s,0,13 s,0,14 s,0,15 s,1,13 s,2,13 f,3,0 f,3,13 f,14,15 f,15,2 
16:2,1 0.001 1 -1 2,0 0.003 -1 -1 0,2 0.001 1 1 1.0052 80 1,14 0.001 1 0 2,14 0.001 1 -1 1,15 0.001 1 -1 4.0024 85 14,2 0.001 -1 -1 14,1 0.001 0 1 14,3 0.001 0 -1 0.0052 80 13,15 0.001 -1 0 14,12 0.001 -1 1 12,13 0.001 0 -1 0.0052 80 ::s,0,13 s,0,14 s,0,15 s,1,13 s,2,13 f,3,0 f,3,15 f,14,15 f,15,2 
17:2,1 0.001 1 0 2,0 0.003 -1 -1 0,2 0.001 1 1 1.0052 80 1,14 0.001 1 1 2,14 0.001 1 0 1,15 0.001 1 0 4.0024 85 14,2 0.001 -1 -1 14,1 0.001 0 1 14,3 0.001 1 -1 0.0052 80 13,15 0.001 -1 -1 13,13 0.001 -1 1 12,13 0.001 1 -1 0.0062 80 ::s,0,13 s,0,14 s,0,15 s,1,13 s,2,13 f,3,0 f,3,15 f,14,15 f,15,2 
18:2,1 0.001 1 0 2,0 0.003 -1 -1 0,2 0.001 0 1 1.0052 80 1,14 0.003 1 1 2,14 0.001 1 0 1,15 0.001 1 0 4.0024 80 14,2 0.001 0 -1 14,1 0.001 -1 1 14,3 0.001 1 -1 1.0053 95 12,14 0.001 -1 -1 13,13 0.001 -1 1 13,12 0.001 1 -1 0.0082 80 ::s,0,13 s,0,14 s,0,15 s,1,13 s,2,13 s,2,15 f,3,0 f,3,15 f,14,15 f,15,0 
19:2,1 0.001 1 1 2,0 0.003 -1 -1 0,2 0.001 0 1 1.0052 80 1,14 0.003 0 1 2,14 0.001 1 1 1,15 0.001 1 0 4.0024 80 14,2 0.001 0 -1 14,1 0.001 -1 1 14,3 0.001 1 0 1.0053 95 12,14 0.001 -1 -1 13,13 0.001 -1 0 13,12 0.001 1 -1 0.0082 80 ::s,0,13 s,0,14 s,0,15 s,1,13 s,2,13 s,2,15 f,3,0 f,3,15 f,14,15 f,15,0 
20:2,1 0.001 1 1 2,0 0.003 -1 -1 0,2 0.001 -1 1 1.0052 80 1,14 0.001 0 1 2,14 0.001 1 1 1,15 0.001 1 1 6.0025 95 14,2 0.001 1 -1 14,1 0.001 -1 0 14,3 0.001 1 0 1.0053 95 12,14 0.001 0 -1 13,13 0.001 -1 0 13,12 0.001 1 0 0.0082 80 ::s,0,13 s,0,14 s,0,15 s,1,13 s,2,13 s,2,15 f,3,0 f,3,13 f,14,15 f,15,0 
21:2,1 0.001 0 1 2,0 0.003 -1 -1 0,2 0.001 -1 1 1.0052 80 1,14 0.001 -1 1 2,14 0.001 0 1 1,15 0.001 0 1 6.0025 95 14,2 0.001 1 -1 14,1 0.001 -1 0 14,3 0.001 1 1 1.0053 95 12,13 0.001 0 -1 13,13 0.001 -1 -1 14,12 0.001 1 0 0.0102 80 ::s,0,13 s,0,14 s,0,15 s,1,13 s,2,13 s,2,15 f,3,0 f,3,13 f,14,15 f,15,0 
22:2,2 0.001 0 1 2,0 0.003 -1 -1 0,2 0.001 -1 0 1.0062 80 1,14 0.001 -1 1 2,14 0.001 0 1 1,15 0.001 -1 1 6.0025 95 14,2 0.001 1 0 14,1 0.001 -1 -1 14,3 0.001 1 1 1.0053 95 12,13 0.001 0 -1 13,13 0.001 -1 -1 14,12 0.001 1 0 0.0102 80 ::s,0,13 s,0,14 s,0,15 s,1,13 s,2,13 s,2,15 f,3,0 f,3,13 f,14,15 f,15,0 
23:2,2 0.001 0 1 2,0 0.003 -1 -1 0,2 0.001 -1 0 1.0062 80 1,14 0.001 -1 0 2,14 0.001 -1 1 1,15 0.001 -1 1 6.0025 95 14,2 0.001 1 0 14,1 0.001 -1 -1 14,3 0.001 0 1 1.0053 95 12,13 0.001 1 -1 13,13 0.001 0 -1 14,12 0.001 1 1 0.0102 80 ::s,0,13 s,0,14 s,0,15 s,1,13 s,2,13 s,2,15 f,3,0 f,3,13 f,14,15 f,15,0 
24:2,2 0.001 -1 1 2,0 0.003 -1 -1 0,2 0.001 -1 -1 1.0062 80 1,14 0.001 -1 0 2,14 0.001 -1 1 1,15 0.001 -1 0 6.0025 95 14,2 0.001 1 1 14,1 0.001 0 -1 14,3 0.001 0 1 1.0053 95 13,12 0.001 1 -1 13,13 0.001 0 -1 15,13 0.001 1 1 0.0122 80 ::s,0,13 s,0,14 s,0,15 s,1,13 s,2,13 s,2,15 f,3,0 f,3,13 f,14,15 f,15,0 
25:2,2 0.001 -1 1 2,0 0.003 -1 -1 0,2 0.001 -1 -1 1.0062 80 1,14 0.001 -1 -1 2,14 0.001 -1 0 1,15 0.001 -1 0 6.0025 95 14,2 0.001 1 1 14,1 0.001 0 -1 14,3 0.001 -1 1 1.0053 95 13,12 0.001 1 -1 13,13 0.001 1 -1 15,13 0.001 1 1 0.0122 80 ::s,0,13 s,0,14 s,0,15 s,1,13 s,2,13 s,2,15 f,3,0 f,3,13 f,14,15 f,15,0 
26:2,2 0.001 -1 0 2,0 0.003 -1 -1 0,2 0.001 0 -1 1.0062 80 1,14 0.001 -1 -1 2,14 0.001 -1 0 1,15 0.001 -1 -1 6.0025 95 14,2 0.001 0 1 14,1 0.001 1 -1 14,3 0.001 -1 1 1.0053 95 13,12 0.001 1 0 14,12 0.001 1 -1 15,13 0.001 0 1 0.0132 80 ::s,0,13 s,0,14 s,0,15 s,1,13 s,2,13 s,2,15 f,3,0 f,3,13 f,14,15 f,15,0 
27:1,2 0.001 -1 0 2,0 0.003 -1 -1 0,1 0.001 0 -1 1.0082 80 1,14 0.001 0 -1 2,14 0.001 -1 0 1,15 0.001 -1 -1 6.0025 95 14,2 0.001 0 1 14,1 0.001 1 -1 14,3 0.001 -1 0 1.0054 110 13,12 0.001 1 0 14,12 0.001 1 -1 15,14 0.001 0 1 0.0142 80 ::s,0,13 s,0,14 s,0,15 s,1,13 s,2,13 s,2,15 f,3,0 f,3,13 f,13,1 f,14,15 
28:1,2 0.001 -1 0 2,0 0.003 -1 -1 0,1 0.001 0 -1 1.0082 80 1,14 0.001 0 -1 2,14 0.001 -1 -1 1,15 0.001 0 -1 6.0025 95 14,2 0.001 -1 1 14,1 0.001 1 0 13,3 0.001 -1 0 1.0064 110 13,12 0.001 1 0 14,12 0.001 1 0 15,14 0.001 0 1 0.0142 80 ::s,0,13 s,0,14 s,0,15 s,1,13 s,2,13 s,2,15 f,3,0 f,3,13 f,13,1 f,14,15 
29:1,2 0.001 -1 -1 2,0 0.003 -1 -1 0,1 0.001 1 -1 1.0082 80 1,14 0.001 0 -1 2,14 0.001 -1 -1 1,15 0.001 0 -1 6.0025 95 14,2 0.001 -1 1 14,1 0.001 1 0 13,3 0.001 -1 0 1.0064 110 13,12 0.001 1 1 14,12 0.001 1 0 15,14 0.001 -1 1 0.0142 80 ::s,0,13 s,0,14 s,0,15 s,1,13 s,2,13 s,2,15 f,3,0 f,3,13 f,13,1 f,14,15 
30:1,2 0.001 -1 -1 2,0 0.003 -1 -1 0,1 0.001 1 -1 1.0082 80 1,14 0.001 1 -1 2,14 0.001 0 -1 1,15 0.001 0 -1 6.0025 95 14,2 0.001 -1 0 14,1 0.001 1 1 13,3 0.001 -1 -1 1.0064 110 13,12 0.001 1 1 14,12 0.001 1 1 15,14 0.001 -1 1 0.0142 80 ::s,0,13 s,0,14 s,0,15 s,1,13 s,2,13 s,2,15 f,3,0 f,3,13 f,13,1 f,14,15 
31:1,2 0.001 0 -1 2,0 0.003 -1 -1 0,1 0.001 1 0 1.0082 80 1,14 0.001 1 -1 2,14 0.001 0 -1 1,15 0.001 1 -1 6.0025 95 13,2 0.001 -1 0 14,1 0.001 1 1 12,2 0.001 -1 -1 1.0084 110 13,12 0.001 0 1 15,13 0.001 1 1 15,14 0.001 -1 1 0.0153 95 ::s,0,13 s,0,14 s,0,15 s,1,13 s,2,13 s,2,15 f,3,0 f,3,13 f,12,14 f,13,1 
32:1,1 0.001 0 -1 2,0 0.003 -1 -1 0,1 0.001 1 0 1.0092 80 1,14 0.001 1 0 2,14 0.001 1 -1 1,15 0.001 1 -1 6.0025 95 13,2 0.001 -1 0 14,1 0.001 0 1 12,2 0.001 -1 -1 1.0084 110 13,13 0.001 0 1 15,13 0.001 1 1 15,14 0.001 -1 0 0.0163 95 ::s,0,13 s,0,14 s,0,15 s,1,13 s,2,13 s,2,15 f,3,0 f,3,13 f,12,14 f,13,1 
33:1,1 0.001 0 -1 2,0 0.003 -1 -1 0,1 0.001 1 0 1.0092 80 1,14 0.001 1 0 2,14 0.001 1 -1 1,15 0.001 1 0 9.0026 110 13,2 0.001 -1 -1 14,2 0.001 0 1 12,2 0.001 0 -1 1.0094 110 13,13 0.001 0 1 15,13 0.001 0 1 14,14 0.001 -1 0 0.0173 95 ::s,0,13 s,0,14 s,0,15 s,1,13 s,2,13 s,2,15 f,3,0 f,3,14 f,12,14 f,13,1 
