16
0:1,0 0.001 1 -1 3,1 0.003 1 1 0,2 0.002 -1 0 0.002 50 3,14 0.001 0 -1 0,12 0.003 -1 -1 1,14 0.002 0 1 0.002 50 14,1 0.001 -1 0 13,0 0.003 0 -1 12,2 0.002 -1 1 0.001 50 12,15 0.001 1 1 12,14 0.003 -1 -1 15,14 0.002 0 -1 0.002 50 ::f,0,3 f,1,12 f,14,13 f,15,2 
1:1,0 0.001 1 -1 3,1 0.001 1 1 0,2 0.001 -1 0 0.002 50 3,14 0.001 0 -1 0,12 0.001 -1 -1 1,14 0.001 0 1 0.002 50 14,1 0.001 -1 0 13,0 0.001 0 -1 12,2 0.001 -1 1 0.001 50 12,15 0.001 1 1 12,14 0.001 -1 -1 15,14 0.001 0 -1 0.002 50 ::f,0,3 f,1,12 f,14,13 f,15,2 
2:1,0 0.001 1 0 3,1 0.001 0 1 0,2 0.001 -1 -1 0.002 50 3,14 0.001 1 -1 0,12 0.001 0 -1 1,14 0.001 -1 1 0.002 50 14,1 0.001 -1 -1 13,0 0.001 1 -1 12,2 0.001 -1 0 0.001 50 12,15 0.001 0 1 12,14 0.001 0 -1 15,14 0.001 1 -1 0.002 50 ::f,0,3 f,1,12 f,14,13 f,15,2 
3:1,0 0.001 1 0 3,1 0.001 0 1 0,2 0.001 -1 -1 0.002 50 3,14 0.001 1 -1 0,12 0.001 0 -1 1,14 0.001 -1 1 0.002 50 14,1 0.001 -1 -1 13,0 0.001 1 -1 12,2 0.001 -1 0 0.001 50 12,15 0.001 0 1 12,14 0.001 0 -1 15,14 0.001 1 -1 0.002 50 ::f,0,3 f,1,12 f,14,13 f,15,2 
4:1,0 0.001 1 1 3,1 0.001 -1 1 0,2 0.001 0 -1 0.002 50 3,14 0.001 1 0 0,12 0.001 1 -1 1,14 0.001 -1 0 0.002 50 14,1 0.001 0 -1 13,0 0.001 1 0 12,2 0.001 -1 -1 0.001 50 12,15 0.001 -1 1 12,14 0.001 1 -1 15,14 0.001 1 0 0.002 50 ::f,0,3 f,1,12 f,14,13 f,15,2 
5:1,0 0.001 1 1 3,1 0.001 -1 1 0,2 0.001 0 -1 0.002 50 3,14 0.001 1 0 0,12 0.001 1 -1 1,14 0.001 -1 0 0.002 50 14,1 0.001 0 -1 13,0 0.001 1 0 12,2 0.001 -1 -1 0.001 50 12,15 0.001 -1 1 12,14 0.001 1 -1 15,14 0.001 1 0 0.002 50 ::f,0,3 f,1,12 f,14,13 f,15,2 
6:1,0 0.001 0 1 3,1 0.001 -1 0 0,2 0.001 1 -1 0.002 50 3,14 0.001 1 1 0,12 0.001 1 0 1,14 0.001 -1 -1 0.002 50 14,1 0.001 1 -1 13,0 0.001 1 1 12,2 0.001 0 -1 0.001 50 12,15 0.001 -1 0 12,14 0.001 1 0 15,14 0.001 1 1 0.002 50 ::f,0,3 f,1,12 f,14,13 f,15,2 
7:1,0 0.001 0 1 3,1 0.001 -1 0 0,2 0.001 1 -1 0.002 50 3,14 0.001 1 1 0,12 0.001 1 0 1,14 0.001 -1 -1 0.0021 65 14,1 0.001 1 -1 13,0 0.001 1 1 12,2 0.001 0 -1 0.001 50 12,15 0.001 -1 0 12,14 0.001 1 0 15,14 0.001 1 1 0.002 50 ::f,0,3 f,3,15 f,14,13 f,15,2 
8:1,0 0.001 -1 1 3,1 0.001 -1 -1 0,2 0.001 1 0 0.002 50 3,14 0.001 0 1 0,12 0.001 1 1 1,14 0.001 0 -1 0.0021 65 14,1 0.001 1 0 13,0 0.001 0 1 12,2 0.001 1 -1 0.001 50 12,15 0.001 -1 -1 12,14 0.001 1 1 15,14 0.001 0 1 0.002 50 ::f,0,3 f,3,15 f,14,13 f,15,2 
9:1,0 0.001 -1 1 3,1 0.001 -1 -1 0,2 0.001 1 0 0.002 50 3,14 0.001 0 1 0,12 0.001 1 1 1,13 0.001 0 -1 0.0032 80 14,1 0.001 1 0 13,0 0.001 0 1 13,1 0.001 1 -1 0.002 50 12,15 0.001 -1 -1 12,14 0.001 1 1 15,14 0.001 0 1 0.002 50 ::f,0,3 f,2,12 f,14,13 f,15,2 
