16
40:1,2 0.001 1 0 1,1 0.001 0 1 3,1 0.001 0 -1 1.0303 95 3,12 0.001 -1 1 0,12 0.001 0 1 2,12 0.001 -1 -1 0.0502 80 15,3 0.003 0 1 14,0 0.001 -1 0 12,0 0.001 -1 0 13.0265 113 15,12 0.003 0 -1 15,13 0.001 -1 -1 14,15 0.001 1 0 9.034 34 :15,9 :f,0,0 f,1,14 f,12,2 f,13,14 
41:2,2 0.001 1 0 1,2 0.001 0 1 3,0 0.001 0 -1 1.0333 95 2,13 0.001 -1 1 0,13 0.001 0 1 2,12 0.001 -1 0 0.0522 80 15,3 0.003 0 1 13,0 0.001 -1 0 12,0 0.001 -1 1 13.0275 113 15,12 0.003 0 -1 14,12 0.001 -1 -1 15,15 0.001 1 0 9.036 34 :15,8 :f,0,0 f,1,14 f,12,2 f,13,14 
42:2,2 0.001 1 0 1,2 0.001 0 1 3,0 0.001 -1 -1 1.0333 95 2,13 0.001 -1 1 0,14 0.001 0 1 1,12 0.001 -1 0 1.0543 95 15,3 0.003 0 1 13,0 0.001 -1 0 12,0 0.001 0 1 13.0275 113 15,12 0.003 0 -1 14,12 0.001 -1 -1 15,15 0.001 1 -1 9.036 34 :15,7 :f,0,0 f,3,12 f,12,2 f,13,14 
43:2,2 0.001 1 -1 1,2 0.001 1 1 3,0 0.001 -1 0 1.0333 95 1,14 0.001 -1 1 0,14 0.001 0 1 0,12 0.001 -1 0 1.0563 95 15,3 0.003 0 1 13,0 0.001 -1 1 12,1 0.001 0 1 13.0285 113 15,12 0.003 0 -1 14,12 0.001 -1 0 15,15 0.001 0 -1 9.036 34 :15,6 :f,0,0 f,3,12 f,12,2 f,13,14 
44:2,2 0.001 0 -1 1,2 0.001 1 0 2,0 0.001 -1 0 1.0343 95 0,15 0.001 -1 1 0,14 0.001 0 1 0,12 0.001 -1 1 1.0573 95 15,3 0.003 0 1 13,0 0.001 0 1 12,1 0.001 0 1 15.0286 128 15,12 0.003 0 -1 13,12 0.001 -1 0 15,14 0.001 0 -1 9.038 34 :15,5 :f,0,0 f,3,12 f,12,3 f,13,14 
45:2,1 0.001 0 -1 2,2 0.001 1 0 2,0 0.001 -1 0 1.0363 95 0,15 0.001 0 1 0,14 0.001 1 1 0,12 0.001 0 1 1.0573 95 15,3 0.003 0 1 13,1 0.001 0 1 12,2 0.001 0 1 15.0306 128 15,12 0.003 0 -1 12,12 0.001 -1 0 15,13 0.001 0 -1 9.04 34 :15,4 :f,0,0 f,3,12 f,12,3 f,13,14 
46:2,1 0.001 0 -1 2,2 0.001 1 0 1,0 0.001 -1 0 1.0373 95 0,15 0.001 1 1 1,15 0.001 1 1 0,13 0.001 0 1 1.0593 95 15,3 0.003 0 1 13,2 0.001 0 1 12,2 0.001 0 1 18.0317 143 15,12 0.003 0 -1 12,12 0.001 -1 1 15,13 0.001 0 -1 9.04 34 :15,3 :f,0,0 f,3,12 f,13,1 f,13,14 
47:2,1 0.001 -1 -1 2,2 0.001 1 -1 1,0 0.001 -1 0 2.0374 110 0,15 0.001 1 0 1,15 0.001 1 1 0,14 0.001 0 1 1.0603 95 15,3 0.002 0 1 13,3 0.001 0 1 12,3 0.001 0 1 18.0337 139 15,12 0.003 0 -1 12,12 0.001 0 1 15,13 0.001 -1 -1 12.04 34 :15,4 :f,1,2 f,3,12 f,13,1 f,13,14 
48:2,1 0.001 -1 0 2,2 0.001 0 -1 0,0 0.001 -1 0 2.0384 110 0,15 0.001 1 -1 1,15 0.001 1 0 0,14 0.001 0 1 1.0603 95 15,3 0.003 0 1 13,3 0.001 1 1 12,3 0.001 1 1 18.0337 139 15,12 0.003 0 -1 12,13 0.001 0 1 14,12 0.001 -1 -1 12.042 34 :15,5 :f,1,2 f,3,12 f,13,1 f,13,14 
49:1,1 0.001 -1 0 2,1 0.001 0 -1 0,0 0.001 -1 1 2.0404 110 1,14 0.001 1 -1 2,15 0.001 1 0 0,15 0.001 0 1 1.0633 95 15,3 0.003 0 1 13,3 0.001 1 0 12,3 0.001 1 0 18.0337 139 15,12 0.003 0 -1 12,14 0.001 0 1 14,12 0.001 -1 -1 12.043 34 :15,6 :f,1,2 f,3,12 f,13,1 f,13,14 
50:1,1 0.001 -1 0 2,1 0.001 0 -1 0,0 0.001 0 1 2.0404 110 2,13 0.001 1 -1 2,15 0.001 1 0 0,15 0.001 1 1 1.0643 95 15,3 0.003 0 1 14,3 0.001 1 0 13,3 0.001 1 0 18.0357 139 15,12 0.003 0 -1 12,15 0.001 0 1 14,12 0.001 -1 0 12.044 34 :15,7 :f,1,2 f,3,12 f,13,1 f,13,14 
51:1,1 0.001 -1 1 2,1 0.001 -1 -1 0,1 0.001 0 1 2.0414 110 2,13 0.001 1 -1 2,15 0.001 1 0 0,15 0.001 1 0 3.0644 110 15,3 0.003 0 1 14,3 0.001 1 0 13,3 0.001 1 0 18.0357 139 15,12 0.003 0 -1 12,15 0.001 1 1 13,12 0.001 -1 0 12.045 34 :15,8 :f,1,2 f,1,12 f,13,1 f,13,14 
52:1,1 0.001 0 1 2,1 0.001 -1 0 0,2 0.001 0 1 2.0424 110 3,12 0.001 1 -1 3,15 0.001 1 0 1,15 0.001 1 0 3.0674 110 15,3 0.003 0 1 14,3 0.001 1 -1 13,3 0.001 1 -1 18.0357 139 15,12 0.003 0 -1 12,15 0.001 1 0 13,12 0.001 -1 0 12.045 34 :15,9 :f,1,2 f,1,12 f,13,1 f,13,14 
53:1,1 0.001 0 1 2,1 0.001 -1 0 0,2 0.001 0 1 2.0424 110 3,12 0.001 0 -1 3,15 0.001 1 -1 1,15 0.001 1 0 3.0674 110 15,3 0.003 0 1 15,2 0.001 1 -1 14,2 0.001 1 -1 18.0377 139 15,12 0.003 0 -1 13,15 0.001 1 0 12,12 0.001 -1 0 12.047 34 :15,10 :f,1,2 f,1,12 f,13,1 f,13,14 
54:1,1 0.001 0 1 2,1 0.001 -1 0 0,3 0.001 0 1 4.0435 125 3,12 0.001 -1 -1 3,15 0.001 0 -1 2,15 0.001 1 0 3.0684 110 15,3 0.003 0 1 15,2 0.001 1 -1 15,1 0.001 1 -1 18.0387 139 15,12 0.003 0 -1 14,15 0.001 1 0 12,12 0.001 -1 1 12.048 34 :15,11 :f,1,2 f,1,12 f,13,1 f,13,14 
55:1,1 0.001 0 1 2,1 0.001 -1 0 0,3 0.001 1 1 7.0436 140 3,12 0.001 -1 0 3,14 0.001 0 -1 3,15 0.001 1 0 3.0704 110 15,3 0.003 0 1 15,2 0.001 0 -1 15,1 0.001 1 -1 18.0387 139 15,12 0.003 0 -1 14,15 0.001 1 0 12,12 0.001 0 1 12.048 34 :15,12 :f,1,12 f,3,2 f,13,1 f,13,14 
56:1,1 0.001 0 1 2,1 0.001 -1 0 0,3 0.001 1 0 7.0436 140 2,12 0.001 -1 0 3,13 0.001 0 -1 3,15 0.001 1 -1 3.0724 110 15,3 0.003 0 1 15,2 0.001 -1 -1 15,1 0.001 0 -1 21.0387 139 15,12 0.002 0 -1 15,15 0.001 1 0 12,13 0.001 0 1 12.05 30 :15,11 :f,1,12 f,3,2 f,13,1 f,13,14 
57:1,2 0.001 0 1 2,1 0.001 -1 0 1,3 0.001 1 0 7.0456 140 2,12 0.001 -1 0 3,12 0.001 0 -1 3,15 0.001 0 -1 6.0735 125 15,3 0.003 0 1 14,1 0.001 -1 -1 15,0 0.001 0 -1 21.0407 139 15,12 0.003 0 -1 15,15 0.001 1 -1 12,14 0.001 0 1 12.051 30 :15,10 :f,2,13 f,3,2 f,13,1 f,13,14 
58:1,2 0.001 0 1 1,1 0.001 -1 0 2,3 0.001 1 0 7.0476 140 1,12 0.001 -1 0 3,12 0.001 -1 -1 3,14 0.001 0 -1 6.0755 125 15,3 0.003 0 1 14,1 0.001 -1 -1 15,0 0.001 -1 -1 21.0407 139 15,12 0.003 0 -1 15,15 0.001 0 -1 12,15 0.001 0 1 12.052 30 :15,9 :f,2,13 f,3,2 f,13,1 f,13,14 
59:1,2 0.001 1 1 1,1 0.001 -1 0 2,3 0.001 1 0 7.0476 140 1,12 0.001 -1 0 3,12 0.001 -1 0 3,14 0.001 0 -1 6.0755 125 15,3 0.003 0 1 13,0 0.001 -1 -1 15,0 0.001 -1 0 21.0417 139 15,12 0.003 0 -1 15,14 0.001 0 -1 12,15 0.001 1 1 12.053 30 :15,8 :f,2,13 f,3,2 f,13,1 f,13,14 
60:1,2 0.001 1 0 1,1 0.001 -1 1 3,3 0.001 1 0 7.0486 140 0,12 0.001 -1 0 2,12 0.001 -1 0 3,14 0.001 0 -1 6.0775 125 15,3 0.003 0 1 13,0 0.001 -1 -1 14,0 0.001 -1 0 21.0427 139 15,12 0.003 0 -1 15,14 0.001 0 -1 12,15 0.001 1 0 12.053 30 :15,7 :f,2,13 f,3,2 f,13,1 f,13,14 
61:2,2 0.001 1 0 1,1 0.001 0 1 3,3 0.001 1 -1 7.0496 140 0,12 0.001 -1 1 1,12 0.001 -1 0 3,14 0.001 0 -1 6.0785 125 15,3 0.003 0 1 13,0 0.001 -1 0 14,0 0.001 -1 0 21.0427 139 15,12 0.003 0 -1 15,13 0.001 0 -1 13,15 0.001 1 0 12.055 30 :15,6 :f,2,13 f,3,2 f,13,1 f,13,14 
62:2,2 0.001 1 0 1,2 0.001 0 1 3,3 0.001 0 -1 11.0507 155 0,12 0.001 0 1 1,12 0.001 -1 0 3,13 0.001 0 -1 6.0795 125 15,3 0.003 0 1 12,0 0.001 -1 0 13,0 0.001 -1 0 21.0447 139 15,12 0.003 0 -1 15,13 0.001 0 -1 13,15 0.001 1 0 12.055 30 :15,5 :f,2,13 f,3,0 f,13,1 f,13,14 
63:2,2 0.001 1 -1 1,2 0.001 0 1 3,2 0.001 0 -1 11.0517 155 0,13 0.001 0 1 0,12 0.001 -1 0 3,12 0.001 0 -1 6.0825 125 15,3 0.003 0 1 12,0 0.001 -1 1 13,0 0.001 -1 0 21.0447 139 15,12 0.003 0 -1 15,13 0.001 -1 -1 14,15 0.001 1 0 12.056 30 :15,4 :f,2,13 f,3,0 f,13,1 f,13,14 
64:2,2 0.001 0 -1 1,2 0.001 1 1 3,2 0.001 0 -1 11.0517 155 0,14 0.001 0 1 0,12 0.001 -1 1 3,12 0.001 -1 -1 6.0835 125 15,3 0.003 0 1 12,0 0.001 0 1 13,0 0.001 -1 1 21.0447 139 15,12 0.003 0 -1 14,12 0.001 -1 -1 14,15 0.001 1 0 12.057 30 :15,3 :f,2,13 f,3,0 f,13,1 f,13,14 
