16
0:1,3 0.001 -1 1 2,1 0.003 0 -1 3,1 0.002 -1 -1 0.001 50 1,14 0.001 1 1 3,12 0.003 -1 0 0,12 0.002 -1 -1 0.001 50 14,2 0.001 -1 -1 12,0 0.003 0 1 14,1 0.002 1 0 0.001 50 12,15 0.001 1 0 12,13 0.003 0 -1 14,14 0.002 0 1 0.002 50 ::f,2,12 f,3,2 f,12,2 f,15,12 
1:1,3 0.001 0 1 2,0 0.003 0 -1 3,1 0.002 -1 -1 0.002 50 1,14 0.001 1 1 3,12 0.003 -1 0 0,12 0.002 -1 -1 0.001 50 13,1 0.001 -1 -1 12,1 0.003 0 1 14,1 0.001 1 0 0.003 50 13,15 0.001 1 0 12,12 0.003 0 -1 14,15 0.002 0 1 0.005 50 ::f,2,12 f,3,2 f,12,2 f,15,12 
2:1,3 0.001 1 1 2,0 0.003 -1 -1 3,1 0.002 -1 0 0.002 50 2,15 0.001 1 1 3,12 0.003 -1 1 0,12 0.002 -1 0 0.002 50 12,0 0.001 -1 -1 12,1 0.003 1 1 15,1 0.001 1 0 0.005 50 13,15 0.001 1 -1 12,12 0.003 -1 -1 14,15 0.002 1 1 0.005 50 ::f,2,12 f,3,2 f,12,2 f,15,12 
3:1,3 0.001 1 0 2,0 0.003 -1 0 2,1 0.002 -1 0 0.003 50 2,15 0.001 1 1 2,13 0.003 -1 1 0,12 0.002 -1 1 0.003 50 12,0 0.001 -1 0 13,2 0.003 1 1 15,1 0.001 1 -1 0.006 50 14,14 0.001 1 -1 12,12 0.003 -1 0 14,15 0.002 1 0 0.006 50 ::f,2,12 f,3,2 f,12,2 f,15,12 
4:2,3 0.001 1 0 2,0 0.003 -1 1 2,1 0.001 -1 0 0.004 50 2,15 0.001 1 0 2,13 0.001 -1 1 0,12 0.002 0 1 0.003 50 12,0 0.001 -1 1 13,2 0.001 1 1 15,1 0.001 0 -1 0.006 50 14,14 0.001 1 -1 12,12 0.003 -1 1 14,15 0.002 1 -1 0.006 50 ::f,2,12 f,3,2 f,12,2 f,15,12 
5:2,3 0.001 1 0 1,1 0.003 -1 1 2,1 0.001 -1 0 0.005 50 3,15 0.001 1 0 1,14 0.001 -1 1 0,12 0.002 1 1 0.005 50 12,0 0.001 0 1 13,2 0.001 1 0 15,0 0.001 0 -1 0.007 50 14,14 0.001 0 -1 12,12 0.003 0 1 14,15 0.002 0 -1 0.006 50 ::f,2,12 f,3,2 f,12,2 f,15,12 
6:3,3 0.001 1 0 1,1 0.001 -1 1 2,1 0.001 -1 0 0.006 50 3,15 0.001 1 -1 1,14 0.001 -1 1 1,13 0.002 1 1 0.006 50 12,1 0.001 0 1 14,2 0.001 1 0 15,0 0.001 -1 -1 0.009 50 14,13 0.001 0 -1 12,13 0.003 0 1 14,14 0.002 0 -1 0.009 50 ::f,2,12 f,3,2 f,12,2 f,15,12 
7:3,3 0.001 1 -1 1,1 0.001 0 1 2,1 0.001 -1 0 0.006 50 3,15 0.001 0 -1 1,14 0.001 0 1 1,13 0.001 1 1 0.006 50 12,1 0.001 0 1 14,2 0.001 1 0 15,0 0.001 -1 0 0.0091 65 14,13 0.001 0 -1 12,13 0.001 0 1 14,14 0.002 0 -1 0.009 50 ::f,2,12 f,3,2 f,14,3 f,15,12 
8:3,3 0.001 0 -1 1,2 0.001 0 1 2,1 0.001 -1 0 0.007 50 3,14 0.001 0 -1 1,14 0.001 1 1 2,14 0.001 1 1 0.008 50 12,2 0.001 0 1 14,2 0.001 1 -1 14,0 0.001 -1 0 0.0111 65 14,13 0.001 -1 -1 12,14 0.001 0 1 14,14 0.001 0 -1 0.01 50 ::f,2,12 f,3,2 f,14,3 f,15,12 
9:3,3 0.001 0 -1 1,2 0.001 0 1 1,1 0.001 -1 0 0.008 50 3,14 0.001 0 -1 1,14 0.001 1 0 2,14 0.001 1 1 0.008 50 12,2 0.001 0 1 14,2 0.001 0 -1 14,0 0.001 -1 0 0.0111 65 14,13 0.001 -1 0 12,14 0.001 0 1 14,14 0.001 0 -1 0.01 50 ::f,2,12 f,3,2 f,14,3 f,15,12 
10:3,3 0.001 0 -1 1,2 0.001 1 1 1,1 0.001 -1 0 0.008 50 3,13 0.001 0 -1 1,14 0.001 1 0 2,14 0.001 1 0 0.009 50 12,3 0.001 0 1 14,1 0.001 0 -1 13,0 0.001 -1 0 0.0141 65 13,13 0.001 -1 0 12,15 0.001 0 1 14,14 0.001 0 -1 0.012 50 ::f,2,12 f,3,2 f,14,3 f,15,12 
11:3,3 0.001 0 -1 1,2 0.001 1 0 1,1 0.001 -1 1 0.0081 65 3,13 0.001 0 -1 1,14 0.001 1 0 2,14 0.001 1 -1 0.009 50 12,3 0.001 1 1 14,1 0.001 0 -1 13,0 0.001 -1 0 0.0141 65 13,13 0.001 -1 0 12,15 0.001 1 1 14,13 0.001 0 -1 0.013 50 ::f,2,12 f,3,0 f,14,3 f,15,12 
12:3,2 0.001 0 -1 2,2 0.001 1 0 1,1 0.001 0 1 0.0101 65 3,12 0.001 0 -1 1,14 0.001 1 0 2,14 0.001 0 -1 0.01 50 12,3 0.001 1 0 14,1 0.001 -1 -1 12,0 0.001 -1 0 0.0151 65 13,13 0.001 -1 1 12,15 0.001 1 0 14,13 0.001 0 -1 0.013 50 ::f,2,12 f,3,0 f,14,3 f,15,12 
13:3,2 0.001 0 -1 2,2 0.001 1 0 1,2 0.001 0 1 0.0111 65 3,12 0.001 -1 -1 1,14 0.001 1 0 2,13 0.001 0 -1 0.011 50 13,3 0.001 1 0 14,1 0.001 -1 0 12,0 0.001 -1 1 0.0161 65 13,13 0.001 0 1 13,15 0.001 1 0 14,13 0.001 -1 -1 0.014 50 ::f,2,12 f,3,0 f,14,3 f,15,12 
14:3,1 0.001 0 -1 2,2 0.001 1 -1 1,2 0.001 0 1 0.0121 65 3,12 0.001 -1 0 1,14 0.001 1 0 2,13 0.001 0 -1 0.0111 65 13,3 0.001 1 0 13,1 0.001 -1 0 12,0 0.001 0 1 1.0172 80 13,14 0.001 0 1 14,15 0.001 1 0 14,13 0.001 -1 0 0.016 50 ::f,3,0 f,3,14 f,14,3 f,15,12 
15:3,1 0.001 0 -1 2,2 0.001 0 -1 1,2 0.001 1 1 1.0122 80 2,12 0.001 -1 0 1,14 0.001 1 0 2,13 0.001 -1 -1 0.0121 65 13,3 0.001 1 0 13,1 0.001 -1 0 12,1 0.001 0 1 3.0183 95 13,14 0.001 0 1 14,15 0.001 1 0 13,13 0.001 -1 0 0.017 50 ::f,2,0 f,3,14 f,15,0 f,15,12 
16:3,0 0.001 0 -1 2,1 0.001 0 -1 1,2 0.001 1 0 1.0142 80 1,12 0.001 -1 0 1,14 0.001 1 0 2,13 0.001 -1 0 0.0131 65 14,3 0.001 1 0 13,1 0.001 -1 1 12,2 0.001 0 1 3.0203 95 13,14 0.001 1 1 15,15 0.001 1 0 13,13 0.001 -1 0 0.018 50 ::f,2,0 f,3,14 f,15,0 f,15,12 
17:3,0 0.001 -1 -1 2,1 0.001 0 -1 2,2 0.001 1 0 1.0153 95 1,12 0.001 -1 0 2,14 0.001 1 0 1,13 0.001 -1 0 0.0151 65 14,3 0.001 1 0 13,1 0.001 0 1 12,2 0.001 0 1 3.0203 95 13,14 0.001 1 0 15,15 0.001 1 -1 13,13 0.001 -1 1 0.018 50 ::f,3,1 f,3,14 f,15,0 f,15,12 
18:3,0 0.001 -1 0 2,1 0.001 -1 -1 2,2 0.001 1 0 1.0153 95 0,12 0.001 -1 0 2,14 0.001 1 0 1,13 0.001 -1 0 0.0162 80 15,3 0.001 1 0 13,2 0.001 0 1 12,3 0.001 0 1 3.0233 95 14,14 0.001 1 0 15,15 0.001 0 -1 13,13 0.001 0 1 0.019 50 ::f,2,12 f,3,1 f,15,0 f,15,12 
19:2,0 0.001 -1 0 2,1 0.001 -1 0 2,2 0.001 1 -1 1.0163 95 0,12 0.001 -1 1 2,14 0.001 1 -1 1,13 0.001 -1 1 0.0162 80 15,3 0.001 1 -1 13,2 0.001 0 1 12,3 0.001 1 1 3.0233 95 14,14 0.001 1 0 15,14 0.001 0 -1 13,14 0.001 0 1 0.021 50 ::f,2,12 f,3,1 f,15,0 f,15,12 
20:1,0 0.001 -1 0 1,1 0.001 -1 0 2,2 0.001 0 -1 1.0183 95 0,12 0.001 0 1 2,14 0.001 0 -1 1,13 0.001 0 1 0.0162 80 15,3 0.001 0 -1 13,2 0.001 1 1 12,3 0.001 1 0 3.0233 95 14,14 0.001 1 -1 15,13 0.001 0 -1 13,14 0.001 0 1 0.022 50 ::f,2,12 f,3,1 f,15,0 f,15,12 
21:1,0 0.001 -1 0 1,1 0.001 -1 0 2,1 0.001 0 -1 1.0193 95 0,13 0.001 0 1 2,13 0.001 0 -1 1,14 0.001 0 1 0.0192 80 15,2 0.001 0 -1 13,2 0.001 1 0 13,3 0.001 1 0 3.0253 95 14,14 0.001 0 -1 15,13 0.001 0 -1 13,14 0.001 1 1 0.0221 65 ::f,2,12 f,3,1 f,12,13 f,15,0 
22:0,0 0.001 -1 0 1,1 0.001 -1 1 2,1 0.001 0 -1 1.0203 95 0,14 0.001 0 1 2,13 0.001 0 -1 1,14 0.001 0 1 1.0203 95 15,1 0.001 0 -1 14,2 0.001 1 0 14,3 0.001 1 0 3.0283 95 14,13 0.001 0 -1 15,12 0.001 0 -1 13,14 0.001 1 0 0.0241 65 ::f,3,1 f,3,15 f,12,13 f,15,0 
23:0,0 0.001 -1 1 1,1 0.001 0 1 2,1 0.001 -1 -1 1.0203 95 0,14 0.001 0 1 2,13 0.001 -1 -1 1,14 0.001 1 1 1.0203 95 15,1 0.001 0 -1 14,2 0.001 1 0 14,3 0.001 1 0 6.0285 125 14,13 0.001 0 -1 15,12 0.001 -1 -1 14,14 0.001 1 0 0.0251 65 ::f,3,1 f,3,15 f,12,13 f,15,2 
24:0,0 0.001 0 1 1,2 0.001 0 1 2,1 0.001 -1 0 1.0213 95 0,15 0.001 0 1 2,13 0.001 -1 0 1,14 0.001 1 0 1.0213 95 15,0 0.001 0 -1 14,2 0.001 1 -1 15,3 0.001 1 0 6.0305 125 14,13 0.001 -1 -1 15,12 0.001 -1 0 14,14 0.001 1 0 0.0251 65 ::f,3,1 f,3,15 f,12,13 f,15,2 
