16
0:1,1 0.001 1 -1 0,1 0.003 0 1 2,2 0.002 0 -1 0.002 50 2,15 0.001 -1 0 2,14 0.003 -1 -1 1,13 0.002 -1 0 0.002 50 12,2 0.001 1 -1 14,0 0.003 0 -1 14,2 0.002 -1 -1 0.001 50 15,15 0.001 1 1 15,12 0.003 0 1 14,12 0.002 1 0 0 50 ::f,1,3 f,1,12 f,12,3 f,15,14 
1:1,1 0.001 1 0 0,2 0.003 0 1 2,1 0.002 0 -1 0.004 50 2,15 0.001 -1 -1 2,14 0.001 -1 -1 1,13 0.001 -1 0 0.002 50 13,1 0.001 1 -1 14,0 0.003 1 -1 14,2 0.001 -1 -1 0.002 50 15,15 0.001 0 1 15,12 0.003 -1 1 14,12 0.002 1 1 0 50 ::f,1,3 f,1,12 f,12,3 f,15,14 
2:1,1 0.001 1 0 0,2 0.003 -1 1 2,1 0.001 0 -1 0.004 50 1,14 0.001 -1 -1 2,14 0.001 -1 -1 0,13 0.001 -1 0 0.004 50 13,1 0.001 1 -1 14,0 0.003 1 0 14,2 0.001 -1 -1 0.002 50 15,15 0.001 -1 1 14,13 0.003 -1 1 15,13 0.002 1 1 0.002 50 ::f,1,3 f,1,12 f,12,3 f,15,14 
3:1,1 0.001 1 0 0,2 0.003 -1 0 2,1 0.001 1 -1 0.004 50 1,14 0.001 -1 -1 2,14 0.001 -1 -1 0,13 0.001 -1 -1 0.004 50 13,1 0.001 1 0 15,0 0.003 1 0 14,2 0.001 -1 -1 0.003 50 15,15 0.001 -1 0 13,14 0.003 -1 1 15,13 0.002 0 1 0.003 50 ::f,1,3 f,1,12 f,12,3 f,15,14 
4:1,1 0.001 1 0 0,2 0.003 -1 -1 2,1 0.001 1 0 0.004 50 1,14 0.001 0 -1 1,13 0.001 -1 -1 0,13 0.001 0 -1 0.005 50 14,1 0.001 1 0 15,0 0.003 1 1 13,1 0.001 -1 -1 0.005 50 14,15 0.001 -1 0 13,14 0.001 -1 1 15,13 0.002 0 1 0.004 50 ::f,1,3 f,1,12 f,12,3 f,15,14 
5:1,1 0.001 1 0 0,2 0.003 0 -1 2,1 0.001 1 1 0.004 50 1,14 0.001 0 -1 1,13 0.001 -1 -1 0,12 0.001 0 -1 0.006 50 14,1 0.001 1 0 15,0 0.003 0 1 13,1 0.001 -1 -1 0.005 50 13,15 0.001 -1 0 13,14 0.001 -1 0 15,13 0.002 0 1 0.005 50 ::f,1,3 f,1,12 f,12,3 f,15,14 
6:1,1 0.001 1 0 0,2 0.003 1 -1 2,1 0.001 0 1 0.004 50 1,14 0.001 0 -1 1,13 0.001 0 -1 0,12 0.001 1 -1 0.006 50 14,1 0.001 1 1 15,1 0.003 0 1 13,1 0.001 0 -1 0.006 50 13,15 0.001 -1 0 13,14 0.001 -1 -1 15,13 0.001 0 1 0.0051 65 ::f,1,3 f,1,12 f,12,3 f,12,12 
7:1,1 0.001 1 0 0,2 0.003 1 -1 2,2 0.001 0 1 0.005 50 1,14 0.001 0 -1 1,13 0.001 1 -1 0,12 0.001 1 0 0.006 50 14,1 0.001 0 1 15,2 0.003 0 1 13,1 0.001 1 -1 0.007 50 12,15 0.001 -1 0 13,14 0.001 0 -1 15,14 0.001 0 1 0.0071 65 ::f,1,3 f,1,12 f,12,3 f,12,12 
8:2,1 0.001 1 0 1,1 0.003 1 -1 2,2 0.001 0 1 0.007 50 1,14 0.001 0 -1 1,13 0.001 1 0 0,12 0.001 1 0 0.006 50 14,2 0.001 0 1 15,3 0.003 0 1 13,1 0.001 1 0 0.009 50 12,15 0.001 -1 -1 13,13 0.001 0 -1 15,15 0.001 0 1 0.0091 65 ::f,1,3 f,1,12 f,12,3 f,12,12 
9:2,1 0.001 1 0 1,1 0.003 1 0 2,2 0.001 -1 1 0.007 50 1,14 0.001 0 -1 2,13 0.001 1 0 0,12 0.001 1 0 0.007 50 14,2 0.001 0 1 15,3 0.003 -1 1 14,1 0.001 1 0 0.01 50 12,15 0.001 0 -1 13,13 0.001 0 -1 15,15 0.001 -1 1 0.0091 65 ::f,1,3 f,1,12 f,12,3 f,12,12 
