16
0:3,3 0.001 -1 1 3,1 0.003 1 0 0,0 0.002 -1 0 0.002 50 1,12 0.001 -1 1 2,13 0.003 -1 1 2,14 0.002 0 1 0.001 50 14,3 0.001 1 -1 15,2 0.003 -1 1 15,0 0.002 1 0 0 50 12,13 0.001 0 1 14,14 0.003 -1 0 13,13 0.002 -1 0 0.001 50 ::f,2,2 f,3,14 f,14,0 f,15,12 
1:3,3 0.001 -1 0 3,1 0.003 1 1 0,0 0.002 -1 -1 0.002 50 0,13 0.001 -1 1 2,13 0.001 -1 1 2,14 0.002 -1 1 0.002 50 14,3 0.001 1 -1 15,2 0.003 -1 0 15,0 0.002 1 1 0 50 12,13 0.001 -1 1 13,14 0.003 -1 0 13,13 0.001 -1 0 0.002 50 ::f,2,2 f,3,14 f,14,0 f,15,12 
2:2,3 0.001 -1 0 3,1 0.003 0 1 0,0 0.002 0 -1 0.003 50 0,13 0.001 -1 0 2,13 0.001 -1 1 2,14 0.002 -1 0 0.002 50 14,3 0.001 1 0 14,2 0.003 -1 0 15,0 0.002 0 1 0.001 50 12,13 0.001 -1 0 13,14 0.001 -1 0 13,13 0.001 -1 0 0.002 50 ::f,2,2 f,3,14 f,14,0 f,15,12 
3:1,3 0.001 -1 0 3,2 0.003 0 1 0,0 0.002 1 -1 0.005 50 0,13 0.001 -1 -1 2,13 0.001 -1 1 1,14 0.002 -1 0 0.003 50 15,3 0.001 1 0 13,2 0.003 -1 0 15,0 0.002 -1 1 0.003 50 12,13 0.001 -1 -1 13,14 0.001 -1 -1 13,13 0.001 -1 0 0.002 50 ::f,2,2 f,3,14 f,14,0 f,15,12 
4:1,3 0.001 -1 0 3,3 0.003 0 1 0,0 0.002 1 0 0.006 50 0,13 0.001 0 -1 2,13 0.001 -1 1 1,14 0.001 -1 0 0.003 50 15,3 0.001 1 1 13,2 0.001 -1 0 14,1 0.002 -1 1 0.004 50 12,13 0.001 0 -1 13,14 0.001 0 -1 13,13 0.001 -1 0 0.002 50 ::f,2,2 f,3,14 f,14,0 f,15,12 
5:1,3 0.001 -1 0 3,3 0.003 -1 1 1,0 0.002 1 0 0.007 50 0,13 0.001 1 -1 2,13 0.001 -1 0 1,14 0.001 -1 -1 0.003 50 15,3 0.001 0 1 13,2 0.001 -1 -1 14,1 0.002 -1 1 0.004 50 12,13 0.001 1 -1 13,14 0.001 0 -1 13,13 0.001 -1 0 0.002 50 ::f,2,2 f,3,14 f,14,0 f,15,12 
6:0,3 0.001 -1 0 3,3 0.003 -1 0 2,0 0.002 1 0 0.009 50 0,13 0.001 1 0 1,13 0.001 -1 0 1,14 0.001 0 -1 0.004 50 15,3 0.001 -1 1 13,2 0.001 0 -1 14,1 0.001 -1 1 0.004 50 12,13 0.001 1 0 13,14 0.001 0 -1 13,13 0.001 -1 0 0.002 50 ::f,2,2 f,3,14 f,14,0 f,15,12 
7:0,3 0.001 -1 -1 2,3 0.003 -1 0 3,0 0.002 1 0 0.011 50 0,13 0.001 1 0 1,13 0.001 -1 0 1,14 0.001 0 -1 0.004 50 15,3 0.001 -1 0 13,1 0.001 0 -1 13,2 0.001 -1 1 0.006 50 12,13 0.001 1 1 13,14 0.001 0 -1 13,13 0.001 -1 0 0.002 50 ::f,2,2 f,3,14 f,14,0 f,15,12 
8:0,3 0.001 0 -1 1,3 0.003 -1 0 3,0 0.002 1 1 0.012 50 0,13 0.001 1 0 1,13 0.001 -1 -1 1,14 0.001 0 -1 0.004 50 14,3 0.001 -1 0 13,1 0.001 0 -1 13,2 0.001 -1 1 0.007 50 12,13 0.001 0 1 13,14 0.001 0 -1 13,13 0.001 -1 0 0.002 50 ::f,2,2 f,3,14 f,14,0 f,15,12 
9:0,2 0.001 0 -1 0,3 0.003 -1 0 3,0 0.002 0 1 0.014 50 0,13 0.001 1 0 0,12 0.001 -1 -1 1,14 0.001 0 -1 0.005 50 13,3 0.001 -1 0 13,1 0.001 1 -1 13,2 0.001 -1 0 0.008 50 12,13 0.001 -1 1 13,14 0.001 0 -1 13,13 0.001 -1 0 0.002 50 ::f,2,2 f,3,14 f,14,0 f,15,12 
