16
0:0,3 0.001 -1 1 0,1 0.003 -1 -1 1,0 0.002 0 -1 0.002 50 0,12 0.001 -1 0 1,15 0.003 -1 0 2,12 0.002 -1 0 0.003 50 12,3 0.001 -1 1 12,0 0.003 -1 -1 15,3 0.002 -1 1 0.002 50 12,15 0.001 -1 -1 12,14 0.003 -1 0 13,15 0.002 0 1 0 50 ::f,1,13 f,2,3 f,14,1 f,14,12 
1:0,3 0.001 -1 1 0,1 0.001 -1 -1 1,0 0.001 0 -1 0.002 50 0,12 0.001 -1 0 1,15 0.001 -1 0 2,12 0.001 -1 0 0.003 50 12,3 0.001 -1 1 12,0 0.001 -1 -1 15,3 0.001 -1 1 0.002 50 12,15 0.001 -1 -1 12,14 0.001 -1 0 13,15 0.001 0 1 0 50 ::f,1,13 f,2,3 f,14,1 f,14,12 
2:0,3 0.001 0 1 0,1 0.001 0 -1 1,0 0.001 1 -1 0.002 50 0,12 0.001 -1 1 1,15 0.001 -1 -1 2,12 0.001 -1 1 0.003 50 12,3 0.001 -1 0 12,0 0.001 -1 0 15,3 0.001 -1 0 0.002 50 12,15 0.001 -1 0 12,14 0.001 -1 -1 13,15 0.001 -1 1 0 50 ::f,1,13 f,2,3 f,14,1 f,14,12 
3:0,3 0.001 0 1 0,1 0.002 0 -1 1,0 0.001 1 -1 0.002 46 0,12 0.001 -1 1 1,15 0.001 -1 -1 2,12 0.001 -1 1 0.0031 65 12,3 0.001 -1 0 12,0 0.001 -1 0 15,3 0.001 -1 0 0.002 50 12,15 0.001 -1 0 12,14 0.001 -1 -1 13,15 0.001 -1 1 0 50 :0,0 :f,2,3 f,3,14 f,14,1 f,14,12 
4:0,3 0.001 1 1 0,1 0.002 1 -1 1,0 0.001 1 0 0.002 46 0,12 0.001 0 1 1,15 0.001 0 -1 2,12 0.001 0 1 0.0031 65 12,3 0.001 -1 -1 12,0 0.001 -1 1 15,3 0.001 -1 -1 0.002 50 12,15 0.001 -1 1 12,14 0.001 0 -1 13,15 0.001 -1 0 0 50 ::f,2,3 f,3,14 f,14,1 f,14,12 
5:0,3 0.001 1 1 0,1 0.001 1 -1 1,0 0.001 1 0 0.002 46 0,12 0.001 0 1 1,15 0.001 0 -1 2,12 0.001 0 1 0.0031 65 12,3 0.001 -1 -1 12,0 0.001 -1 1 15,3 0.001 -1 -1 0.002 50 12,15 0.001 -1 1 12,14 0.001 0 -1 13,15 0.001 -1 0 0 50 ::f,2,3 f,3,14 f,14,1 f,14,12 
6:0,3 0.001 1 0 0,1 0.001 1 0 1,0 0.001 1 1 0.002 46 0,12 0.001 1 1 1,15 0.001 1 -1 2,12 0.001 1 1 0.0031 65 12,3 0.001 -1 -1 12,0 0.001 0 1 15,3 0.001 0 -1 0.002 50 12,15 0.001 0 1 12,14 0.001 1 -1 13,15 0.001 -1 -1 0 50 ::f,2,3 f,3,14 f,14,1 f,14,12 
7:1,3 0.001 1 0 1,1 0.001 1 0 1,0 0.001 1 1 0.004 46 0,12 0.001 1 1 1,15 0.001 1 -1 2,12 0.001 1 1 0.0031 65 12,3 0.001 -1 -1 12,1 0.001 0 1 15,3 0.001 0 -1 0.003 50 12,15 0.001 0 1 13,13 0.001 1 -1 13,15 0.001 -1 -1 0.001 50 ::f,2,3 f,3,14 f,14,1 f,14,12 
8:1,3 0.001 1 0 1,1 0.001 1 0 1,0 0.001 0 1 0.0041 61 0,12 0.001 1 0 1,15 0.001 1 0 2,12 0.001 1 0 0.0031 65 12,3 0.001 -1 -1 12,2 0.001 0 1 15,3 0.001 1 -1 0.004 50 12,15 0.001 1 1 13,13 0.001 1 -1 13,15 0.001 0 -1 0.0011 65 ::f,2,3 f,3,14 f,14,1 f,15,13 
9:1,3 0.001 1 -1 1,1 0.001 1 1 1,0 0.001 0 1 0.0041 61 1,12 0.001 1 0 1,15 0.001 1 0 2,12 0.001 1 0 0.0041 65 12,3 0.001 -1 -1 12,2 0.001 0 1 15,3 0.001 1 -1 0.004 50 12,15 0.001 1 1 13,13 0.001 1 0 13,14 0.001 0 -1 0.0021 65 ::f,2,3 f,3,14 f,14,1 f,15,13 
10:1,3 0.001 1 -1 1,1 0.001 1 1 1,0 0.001 -1 1 0.0041 61 1,12 0.001 1 0 1,15 0.001 1 1 2,12 0.001 1 -1 0.0041 65 12,3 0.001 -1 -1 12,2 0.001 1 1 15,3 0.001 1 0 0.004 50 12,15 0.001 1 0 14,13 0.001 1 0 13,14 0.001 0 -1 0.0031 65 ::f,2,3 f,3,14 f,14,1 f,15,13 
11:1,3 0.001 0 -1 1,1 0.001 0 1 1,0 0.001 -1 1 0.0041 61 1,12 0.001 1 -1 1,15 0.001 1 1 2,12 0.001 1 -1 0.0041 65 12,3 0.001 -1 -1 12,2 0.001 1 1 15,3 0.001 1 0 0.004 50 13,15 0.001 1 0 14,13 0.001 1 0 13,14 0.001 1 -1 1.0042 80 ::f,2,3 f,3,14 f,12,13 f,14,1 
12:1,2 0.001 0 -1 1,1 0.001 0 1 1,0 0.001 -1 0 0.0051 61 1,12 0.001 1 -1 1,15 0.001 0 1 2,12 0.001 0 -1 0.0041 65 12,3 0.001 -1 -1 12,2 0.001 1 0 15,3 0.001 1 1 0.004 50 13,15 0.001 1 0 14,13 0.001 1 1 13,14 0.001 1 -1 1.0042 80 ::f,2,3 f,3,14 f,12,13 f,14,1 
13:1,2 0.001 0 -1 1,1 0.001 -1 1 1,0 0.001 -1 0 0.0051 61 1,12 0.001 0 -1 1,15 0.001 0 1 2,12 0.001 0 -1 0.0041 65 12,3 0.001 -1 -1 13,2 0.001 1 0 15,3 0.001 1 1 0.005 50 13,15 0.001 1 -1 14,13 0.001 1 1 13,14 0.001 1 0 1.0042 80 ::f,2,3 f,3,14 f,12,13 f,14,1 
14:1,2 0.001 -1 -1 1,1 0.001 -1 1 1,0 0.001 -1 -1 0.0051 61 1,12 0.001 0 -1 1,15 0.001 -1 1 2,12 0.001 -1 -1 0.0041 65 12,3 0.001 -1 -1 13,2 0.001 1 0 15,3 0.001 0 1 0.005 50 13,15 0.001 1 -1 14,13 0.001 0 1 13,14 0.001 1 0 1.0042 80 ::f,2,3 f,3,14 f,12,13 f,14,1 
