16
0:1,2 0.001 1 1 3,0 0.003 1 0 1,1 0.002 1 -1 0.002 50 0,14 0.001 -1 0 3,13 0.003 1 1 1,13 0.002 1 0 0.002 50 14,3 0.001 1 -1 12,0 0.003 -1 -1 15,3 0.002 0 1 0.002 50 14,13 0.001 1 0 13,15 0.003 1 1 12,14 0.002 0 -1 0.003 50 ::f,0,0 f,3,14 f,12,12 f,13,0 
1:1,2 0.001 1 1 3,0 0.001 1 0 1,1 0.001 1 -1 0.002 50 0,14 0.001 -1 0 3,13 0.001 1 1 1,13 0.001 1 0 0.002 50 14,3 0.001 1 -1 12,0 0.001 -1 -1 15,3 0.001 0 1 0.002 50 14,13 0.001 1 0 13,15 0.001 1 1 12,14 0.001 0 -1 0.003 50 ::f,0,0 f,3,14 f,12,12 f,13,0 
2:1,2 0.001 1 0 3,0 0.001 1 -1 1,1 0.001 0 -1 0.002 50 0,14 0.001 -1 -1 3,13 0.001 1 0 1,13 0.001 1 -1 0.002 50 14,3 0.001 0 -1 12,0 0.001 -1 0 15,3 0.001 -1 1 0.002 50 14,13 0.001 1 1 13,15 0.001 0 1 12,14 0.001 1 -1 0.003 50 ::f,0,0 f,3,14 f,12,12 f,13,0 
3:1,2 0.001 1 0 3,0 0.001 1 -1 1,1 0.001 0 -1 0.002 50 0,14 0.001 -1 -1 3,13 0.001 1 0 1,13 0.001 1 -1 0.002 50 14,3 0.001 0 -1 12,0 0.001 -1 0 15,3 0.001 -1 1 0.002 50 14,13 0.001 1 1 13,15 0.001 0 1 12,14 0.001 1 -1 0.003 50 ::f,0,0 f,3,14 f,12,12 f,13,0 
4:1,2 0.001 1 -1 3,0 0.001 0 -1 1,1 0.001 -1 -1 0.002 50 0,14 0.001 0 -1 3,13 0.001 1 -1 1,13 0.001 0 -1 0.002 50 14,3 0.001 -1 -1 12,0 0.001 -1 1 15,3 0.001 -1 0 0.002 50 14,13 0.001 0 1 13,15 0.001 -1 1 12,14 0.001 1 0 0.003 50 ::f,0,0 f,3,14 f,12,12 f,13,0 
5:1,2 0.001 1 -1 3,0 0.001 0 -1 1,1 0.001 -1 -1 0.0021 65 0,14 0.001 0 -1 3,13 0.001 1 -1 1,13 0.001 0 -1 0.002 50 14,3 0.001 -1 -1 12,0 0.001 -1 1 15,3 0.001 -1 0 0.002 50 14,13 0.001 0 1 13,15 0.001 -1 1 12,14 0.001 1 0 0.003 50 ::f,1,0 f,3,14 f,12,12 f,13,0 
6:1,2 0.001 0 -1 3,0 0.001 -1 -1 1,1 0.001 -1 0 0.0021 65 0,14 0.001 1 -1 3,13 0.001 0 -1 1,13 0.001 -1 -1 0.002 50 14,3 0.001 -1 0 12,0 0.001 0 1 15,3 0.001 -1 -1 0.002 50 14,13 0.001 -1 1 13,15 0.001 -1 0 12,14 0.001 1 1 0.003 50 ::f,1,0 f,3,14 f,12,12 f,13,0 
7:1,2 0.001 0 -1 3,0 0.001 -1 -1 1,1 0.001 -1 0 0.0021 65 0,14 0.001 1 -1 3,13 0.001 0 -1 1,13 0.001 -1 -1 0.002 50 14,3 0.001 -1 0 12,1 0.001 0 1 15,3 0.001 -1 -1 0.003 50 14,13 0.001 -1 1 13,15 0.001 -1 0 12,14 0.001 1 1 0.003 50 ::f,1,0 f,3,14 f,12,12 f,13,0 
8:1,2 0.001 -1 -1 3,0 0.001 -1 0 1,1 0.001 -1 1 0.0021 65 0,14 0.001 1 0 3,13 0.001 -1 -1 1,13 0.001 -1 0 0.002 50 14,3 0.001 -1 1 12,1 0.001 0 1 15,3 0.001 0 -1 0.003 50 14,13 0.001 -1 0 13,15 0.001 -1 -1 12,14 0.001 0 1 0.003 50 ::f,1,0 f,3,14 f,12,12 f,13,0 
9:1,2 0.001 -1 -1 2,0 0.001 -1 0 1,1 0.001 -1 1 0.0031 65 0,14 0.001 1 0 3,13 0.001 -1 -1 1,13 0.001 -1 0 0.002 50 14,3 0.001 -1 1 12,1 0.001 1 1 15,3 0.001 0 -1 0.003 50 14,13 0.001 -1 0 13,15 0.001 -1 -1 12,14 0.001 0 1 0.003 50 ::f,1,0 f,3,14 f,12,12 f,13,0 
