16
0:2,3 0.001 1 0 0,2 0.003 1 1 1,2 0.002 -1 1 0.001 50 1,15 0.001 0 -1 2,13 0.003 0 1 1,12 0.002 0 -1 0.001 50 14,3 0.001 -1 1 12,2 0.003 1 1 12,3 0.002 -1 0 0.002 50 13,14 0.001 0 -1 14,13 0.003 0 -1 13,15 0.001 -1 -1 0 50 ::f,0,14 f,2,0 f,14,12 f,15,0 
1:2,3 0.001 1 1 0,2 0.003 0 1 0,3 0.002 -1 1 0.002 50 1,15 0.001 1 -1 2,14 0.003 0 1 1,12 0.002 0 -1 0.002 50 14,3 0.001 -1 1 13,3 0.003 1 1 12,3 0.002 -1 0 0.003 50 13,14 0.001 1 -1 14,13 0.003 0 -1 13,15 0.001 -1 -1 0 50 ::f,0,14 f,2,0 f,14,12 f,15,0 
2:2,3 0.001 0 1 0,2 0.003 -1 1 0,3 0.002 -1 1 0.002 50 1,15 0.001 1 0 2,15 0.003 0 1 1,12 0.002 0 -1 0.003 50 14,3 0.001 -1 1 13,3 0.003 1 1 12,3 0.002 -1 0 0.003 50 13,14 0.001 1 0 14,13 0.003 0 -1 13,15 0.001 -1 -1 0 50 ::f,0,14 f,2,0 f,14,12 f,15,0 
3:2,3 0.003 0 1 0,2 0.003 -1 0 0,3 0.002 -1 1 0.002 50 1,15 0.001 1 1 2,15 0.003 0 1 1,12 0.002 0 -1 0.003 50 14,3 0.001 -1 1 13,3 0.003 1 1 12,3 0.002 -1 0 0.003 50 13,14 0.001 1 1 14,13 0.003 -1 -1 13,15 0.001 -1 -1 0 50 ::f,0,14 f,2,0 f,14,12 f,15,0 
4:2,3 0.003 -1 1 0,2 0.003 -1 -1 0,3 0.002 -1 1 0.002 50 1,15 0.001 0 1 2,15 0.003 0 1 1,12 0.002 0 -1 0.003 50 14,3 0.001 -1 1 13,3 0.003 1 1 12,3 0.002 -1 0 0.003 50 14,15 0.001 1 1 13,12 0.003 -1 -1 13,15 0.001 -1 -1 0.002 50 ::f,0,14 f,2,0 f,14,12 f,15,0 
5:2,3 0.003 -1 0 0,2 0.003 0 -1 0,3 0.002 -1 1 0.002 50 1,15 0.001 -1 1 2,15 0.003 0 1 1,12 0.002 0 -1 0.003 50 14,3 0.001 -1 1 13,3 0.003 1 1 12,3 0.002 -1 0 0.003 50 14,15 0.001 1 1 13,12 0.003 -1 -1 13,15 0.001 -1 -1 0.002 50 ::f,0,14 f,2,0 f,14,12 f,15,0 
6:2,3 0.003 -1 -1 0,2 0.003 1 -1 0,3 0.002 -1 1 0.002 50 1,15 0.001 -1 0 2,15 0.003 0 1 1,12 0.002 0 -1 0.003 50 14,3 0.001 -1 1 13,3 0.003 1 1 12,3 0.002 -1 0 0.003 50 14,15 0.001 1 1 13,12 0.003 -1 -1 13,15 0.001 -1 -1 0.002 50 ::f,0,14 f,2,0 f,14,12 f,15,0 
7:2,3 0.003 0 -1 0,2 0.003 1 0 0,3 0.002 -1 1 0.002 50 1,15 0.001 -1 -1 2,15 0.003 0 1 1,12 0.002 0 -1 0.003 50 14,3 0.001 -1 1 13,3 0.003 1 1 12,3 0.002 -1 0 0.003 50 14,15 0.001 1 1 13,12 0.003 -1 -1 13,15 0.001 -1 -1 0.002 50 ::f,0,14 f,2,0 f,14,12 f,15,0 
8:2,3 0.003 0 -1 0,2 0.003 1 1 0,3 0.002 -1 1 0.002 45 1,15 0.001 0 -1 2,15 0.003 0 1 1,12 0.002 0 -1 0.003 50 14,3 0.001 -1 1 13,3 0.003 1 1 12,3 0.002 -1 0 0.003 50 14,15 0.001 1 1 13,12 0.003 -1 -1 13,15 0.001 -1 -1 0.002 50 ::f,0,14 f,2,0 s,2,2 f,14,12 f,15,0 
9:2,3 0.003 0 -1 0,2 0.003 0 1 0,3 0.002 -1 1 0.002 45 1,15 0.001 1 -1 2,15 0.003 0 1 1,12 0.002 0 -1 0.003 50 14,3 0.001 -1 1 13,3 0.003 1 1 12,3 0.002 -1 0 0.003 50 14,15 0.001 1 1 13,12 0.003 -1 -1 13,15 0.001 -1 -1 0.002 50 ::f,0,14 f,2,0 s,2,2 f,14,12 f,15,0 
10:2,3 0.003 0 -1 0,2 0.003 -1 1 0,3 0.002 -1 1 0.002 45 1,15 0.001 1 0 2,15 0.003 0 1 1,12 0.002 0 -1 0.003 50 14,3 0.001 -1 1 13,3 0.003 1 1 12,3 0.002 -1 0 0.003 50 14,15 0.001 1 1 13,12 0.003 -1 -1 13,15 0.001 -1 -1 0.002 50 ::f,0,14 f,2,0 s,2,2 f,14,12 f,15,0 
11:2,3 0.003 0 -1 0,2 0.003 -1 0 0,3 0.002 -1 1 0.002 45 1,15 0.001 1 1 2,15 0.003 0 1 1,12 0.002 0 -1 0.003 50 14,3 0.001 -1 1 13,3 0.003 1 1 12,3 0.002 -1 0 0.003 50 14,15 0.001 1 1 13,12 0.003 -1 -1 13,15 0.001 -1 -1 0.002 50 ::f,0,14 f,2,0 s,2,2 f,14,12 f,15,0 
12:2,3 0.003 0 -1 0,2 0.003 -1 -1 0,3 0.002 -1 1 0.002 45 1,15 0.001 0 1 2,15 0.003 0 1 1,12 0.002 0 -1 0.003 50 14,3 0.001 -1 1 13,3 0.003 1 1 12,3 0.002 -1 0 0.003 50 14,15 0.001 1 1 13,12 0.003 -1 -1 13,15 0.001 -1 -1 0.002 50 ::f,0,14 f,2,0 s,2,2 f,14,12 f,15,0 
13:2,3 0.003 0 -1 0,2 0.003 0 -1 0,3 0.002 -1 1 0.002 45 1,15 0.001 -1 1 2,15 0.003 0 1 1,12 0.002 0 -1 0.003 50 14,3 0.001 -1 1 13,3 0.003 1 1 12,3 0.002 -1 0 0.003 50 14,15 0.001 1 1 13,12 0.003 -1 -1 13,15 0.001 -1 -1 0.002 50 ::f,0,14 f,2,0 s,2,2 f,14,12 f,15,0 
14:2,3 0.003 0 -1 0,2 0.003 1 -1 0,3 0.002 -1 1 0.002 45 1,15 0.001 -1 0 2,15 0.003 0 1 1,12 0.002 0 -1 0.003 50 14,3 0.001 -1 1 13,3 0.003 1 1 12,3 0.002 -1 0 0.003 50 14,15 0.001 1 1 13,12 0.003 -1 -1 13,15 0.001 -1 -1 0.002 50 ::f,0,14 f,2,0 s,2,2 f,14,12 f,15,0 
15:2,3 0.003 0 -1 0,2 0.003 1 0 0,3 0.002 -1 1 0.002 45 1,15 0.001 -1 -1 2,15 0.003 0 1 1,12 0.002 0 -1 0.003 50 14,3 0.001 -1 1 13,3 0.003 1 1 12,3 0.002 -1 0 0.003 50 14,15 0.001 1 1 13,12 0.003 -1 -1 13,15 0.001 -1 -1 0.002 50 ::f,0,14 f,2,0 s,2,2 f,14,12 f,15,0 
16:2,3 0.003 0 -1 0,2 0.003 1 1 0,3 0.002 -1 1 0.002 45 1,15 0.001 0 -1 2,15 0.003 0 1 1,12 0.002 0 -1 0.003 50 14,3 0.001 -1 1 13,3 0.003 1 1 12,3 0.002 -1 0 0.003 50 14,15 0.001 1 1 13,12 0.003 -1 -1 13,15 0.001 -1 -1 0.002 50 ::f,0,14 f,2,0 s,2,2 f,14,12 f,15,0 
17:2,3 0.003 0 -1 0,2 0.003 0 1 0,3 0.002 -1 1 0.002 45 1,15 0.001 1 -1 2,15 0.003 0 1 1,12 0.002 0 -1 0.003 50 14,3 0.001 -1 1 13,3 0.003 1 1 12,3 0.002 -1 0 0.003 50 14,15 0.001 1 1 13,12 0.003 -1 -1 13,15 0.001 -1 -1 0.002 50 ::f,0,14 f,2,0 s,2,2 f,14,12 f,15,0 
