16
0:1,2 0.001 -1 1 2,3 0.003 -1 1 0,1 0.002 0 1 0.002 50 3,12 0.001 1 0 2,15 0.003 1 0 2,14 0.002 0 1 0.002 50 12,1 0.001 0 1 15,0 0.003 0 -1 15,2 0.002 1 -1 0.001 50 15,14 0.001 -1 1 15,12 0.003 1 0 13,14 0.002 -1 -1 0.002 50 ::f,3,3 f,3,14 f,13,13 f,14,2 
1:1,2 0.003 -1 1 2,3 0.003 -1 1 0,2 0.002 0 1 0.003 45 3,12 0.001 1 0 3,15 0.003 1 0 2,15 0.002 0 1 0.004 50 12,1 0.001 1 1 15,0 0.003 0 -1 15,2 0.002 1 -1 0.001 50 14,15 0.001 -1 1 15,12 0.003 1 0 12,13 0.002 -1 -1 0.004 50 ::s,0,3 f,3,3 f,3,14 f,13,13 f,14,2 
2:1,2 0.003 -1 1 2,3 0.003 -1 1 0,2 0.001 0 1 0.003 45 3,12 0.001 1 -1 3,15 0.003 1 -1 2,15 0.002 1 1 0.004 50 13,2 0.001 1 1 15,0 0.003 -1 -1 15,2 0.002 0 -1 0.002 50 14,15 0.001 -1 1 15,12 0.003 1 -1 12,13 0.002 -1 0 0.004 50 ::s,0,3 f,3,3 f,3,14 f,13,13 f,14,2 
3:1,2 0.003 0 1 2,3 0.003 -1 1 0,2 0.001 0 1 0.003 45 3,12 0.001 0 -1 3,15 0.003 0 -1 2,15 0.002 1 0 0.004 50 13,2 0.001 1 1 15,0 0.003 -1 0 15,1 0.002 0 -1 0.003 50 14,15 0.001 0 1 15,12 0.003 0 -1 12,13 0.002 -1 1 0.004 50 ::s,0,3 f,3,3 f,3,14 f,13,13 f,14,2 
4:1,2 0.003 1 1 2,3 0.003 -1 1 0,2 0.001 0 1 0.003 45 3,12 0.001 -1 -1 3,15 0.003 0 -1 2,15 0.002 1 0 0.004 50 13,2 0.001 1 0 14,0 0.003 -1 0 15,1 0.001 0 -1 0.004 50 14,15 0.001 1 1 15,12 0.003 -1 -1 12,13 0.002 0 1 0.004 50 ::s,0,3 f,3,3 f,3,14 f,13,13 f,14,2 
5:1,2 0.003 1 0 2,3 0.003 -1 1 0,2 0.001 0 1 0.003 45 3,12 0.001 -1 0 3,15 0.003 0 -1 2,15 0.002 1 0 0.004 50 13,2 0.001 1 0 13,0 0.003 -1 0 15,0 0.001 0 -1 0.006 50 14,15 0.001 1 0 15,12 0.003 -1 0 12,14 0.002 0 1 0.005 50 ::s,0,3 f,3,3 f,3,14 f,13,13 f,14,2 
6:2,2 0.003 1 0 2,3 0.003 -1 1 0,2 0.001 0 1 0.004 45 2,12 0.001 -1 0 3,15 0.001 0 -1 2,15 0.001 1 0 0.0051 65 13,2 0.001 1 0 13,0 0.001 -1 0 15,0 0.001 -1 -1 0.006 50 14,15 0.001 1 -1 14,12 0.003 -1 0 12,14 0.001 0 1 0.006 50 ::s,0,3 f,0,13 f,3,3 f,13,13 f,14,2 
7:2,2 0.003 1 0 2,3 0.003 -1 1 0,2 0.001 0 1 1.004 40 1,12 0.001 -1 0 3,14 0.001 0 -1 3,15 0.001 1 0 0.0081 65 13,2 0.001 1 0 12,0 0.001 -1 0 15,0 0.001 -1 0 0.007 50 14,15 0.001 0 -1 13,12 0.003 -1 0 12,15 0.001 0 1 0.008 50 ::s,0,3 f,0,13 s,3,2 f,3,3 f,13,13 f,14,2 
8:2,2 0.003 1 0 2,3 0.003 -1 1 0,2 0.001 0 1 1.004 40 1,12 0.001 -1 0 3,14 0.001 0 -1 3,15 0.001 1 -1 0.0081 65 13,2 0.001 1 0 12,0 0.001 -1 1 14,0 0.001 -1 0 0.008 50 14,14 0.001 0 -1 13,12 0.001 -1 0 12,15 0.001 1 1 0.009 50 ::s,0,3 f,0,13 s,3,2 f,3,3 f,13,13 f,14,2 
9:2,2 0.003 1 -1 2,3 0.003 -1 1 0,2 0.001 0 1 1.004 40 0,12 0.001 -1 0 3,13 0.001 0 -1 3,15 0.001 0 -1 0.0101 65 13,2 0.001 1 0 12,0 0.001 0 1 13,0 0.001 -1 0 0.0091 65 14,13 0.001 0 -1 12,12 0.001 -1 0 12,15 0.001 1 0 0.011 50 ::s,0,3 f,0,13 s,3,2 f,3,3 f,12,3 f,13,13 
10:2,2 0.003 0 -1 2,3 0.003 -1 1 0,2 0.001 0 1 1.004 40 0,12 0.001 -1 1 3,13 0.001 0 -1 3,14 0.001 0 -1 0.0111 65 13,2 0.001 1 0 12,1 0.001 0 1 13,0 0.001 -1 0 0.0101 65 14,13 0.001 0 -1 12,12 0.001 -1 1 13,15 0.001 1 0 0.012 50 ::s,0,3 f,0,13 s,3,2 f,3,3 f,12,3 f,13,13 
11:2,1 0.003 0 -1 2,3 0.003 -1 1 0,2 0.001 0 1 1.005 40 0,12 0.001 0 1 3,12 0.001 0 -1 3,13 0.001 0 -1 0.0131 65 14,2 0.001 1 0 12,2 0.001 0 1 12,0 0.001 -1 0 0.0131 65 14,13 0.001 -1 -1 12,12 0.001 0 1 14,15 0.001 1 0 0.013 50 ::s,0,3 f,0,13 s,3,2 f,3,3 f,12,3 f,13,13 
12:2,1 0.003 0 -1 2,3 0.003 -1 1 0,2 0.001 0 1 3.005 35 0,12 0.001 0 1 3,12 0.001 -1 -1 3,13 0.001 0 -1 0.0131 65 14,2 0.001 1 0 12,2 0.001 0 1 12,0 0.001 -1 1 0.0132 80 14,13 0.001 -1 0 12,13 0.001 0 1 14,15 0.001 1 0 0.014 50 ::s,0,3 f,0,13 s,2,0 s,3,2 f,3,3 f,13,13 f,14,1 
13:2,1 0.003 0 -1 2,3 0.003 -1 1 0,2 0.001 0 1 3.005 35 0,12 0.001 0 1 3,12 0.001 -1 0 3,13 0.001 0 -1 0.0131 65 14,2 0.001 1 -1 12,3 0.001 0 1 12,0 0.001 0 1 0.0142 80 14,13 0.001 -1 0 12,14 0.001 0 1 15,15 0.001 1 0 0.016 50 ::s,0,3 f,0,13 s,2,0 s,3,2 f,3,3 f,13,13 f,14,1 
14:2,1 0.003 -1 -1 2,3 0.003 -1 1 0,2 0.001 0 1 3.005 35 0,12 0.001 0 1 2,12 0.001 -1 0 3,12 0.001 0 -1 0.0152 80 14,2 0.001 0 -1 12,3 0.001 1 1 12,1 0.001 0 1 0.0152 80 14,13 0.001 -1 0 12,14 0.001 0 1 15,15 0.001 1 -1 0.0161 65 ::s,0,3 f,0,15 s,2,0 s,3,2 f,3,3 f,12,13 f,14,1 
15:2,1 0.003 -1 0 2,3 0.003 -1 1 0,2 0.001 0 1 3.005 35 0,13 0.001 0 1 1,12 0.001 -1 0 3,12 0.001 -1 -1 0.0172 80 14,2 0.001 0 -1 12,3 0.001 1 0 12,2 0.001 0 1 0.0162 80 13,13 0.001 -1 0 12,15 0.001 0 1 15,15 0.001 0 -1 0.0181 65 ::s,0,3 f,0,15 s,2,0 s,3,2 f,3,3 f,12,13 f,14,1 
16:1,1 0.003 -1 0 2,3 0.003 -1 1 0,2 0.001 0 1 3.006 35 0,13 0.001 0 1 1,12 0.001 -1 0 3,12 0.001 -1 0 0.0172 80 14,2 0.001 0 -1 13,3 0.001 1 0 12,2 0.001 0 1 0.0172 80 13,13 0.001 -1 0 12,15 0.001 1 1 15,14 0.001 0 -1 1.0192 80 ::s,0,3 f,0,15 s,2,0 s,3,2 f,3,3 f,14,1 f,15,13 
17:1,1 0.003 -1 0 2,3 0.003 -1 1 0,2 0.001 0 1 6.006 30 0,14 0.001 0 1 0,12 0.001 -1 0 2,12 0.001 -1 0 0.0202 80 14,2 0.001 0 -1 14,3 0.001 1 0 12,3 0.001 0 1 0.0192 80 13,13 0.001 -1 1 12,15 0.001 1 0 15,14 0.001 0 -1 1.0193 95 ::s,0,1 s,0,3 f,0,15 s,2,0 s,3,2 f,3,3 f,14,1 f,14,15 
18:1,1 0.003 -1 0 2,3 0.003 -1 1 0,2 0.001 0 1 6.006 30 0,14 0.001 0 1 0,12 0.001 -1 1 2,12 0.001 -1 0 1.0203 95 14,2 0.001 0 -1 14,3 0.001 1 0 12,3 0.001 1 1 1.0193 95 13,13 0.001 0 1 13,15 0.001 1 0 15,13 0.001 0 -1 1.0213 95 ::s,0,1 s,0,3 s,2,0 s,3,2 f,3,3 f,3,12 f,13,3 f,14,15 
19:1,1 0.003 -1 1 2,3 0.003 -1 1 0,2 0.001 0 1 6.006 30 0,15 0.001 0 1 0,12 0.001 0 1 1,12 0.001 -1 0 1.0223 95 14,1 0.001 0 -1 15,3 0.001 1 0 12,3 0.001 1 0 1.0213 95 13,14 0.001 0 1 13,15 0.001 1 0 15,13 0.001 0 -1 2.0225 125 ::s,0,1 s,0,3 s,2,0 s,3,2 f,3,3 f,3,12 f,13,3 f,14,13 
20:1,1 0.003 0 1 2,3 0.003 -1 1 0,2 0.001 0 1 6.006 30 0,15 0.001 1 1 0,13 0.001 0 1 1,12 0.001 -1 0 1.0233 95 14,1 0.001 0 -1 15,3 0.001 1 -1 12,3 0.001 1 0 1.0213 95 13,14 0.001 0 1 14,15 0.001 1 0 15,12 0.001 0 -1 2.0245 125 ::s,0,1 s,0,3 s,2,0 s,3,2 f,3,3 f,3,12 f,13,3 f,14,13 
21:1,2 0.003 0 1 2,3 0.003 -1 1 0,2 0.001 0 1 6.007 30 0,15 0.001 1 0 0,14 0.001 0 1 0,12 0.001 -1 0 1.0253 95 14,1 0.001 -1 -1 15,3 0.001 0 -1 12,3 0.001 1 0 1.0213 95 13,14 0.001 1 1 15,15 0.001 1 0 15,12 0.001 -1 -1 2.0255 125 ::s,0,1 s,0,3 s,2,0 s,3,2 f,3,3 f,3,12 f,13,3 f,14,13 
22:1,2 0.003 0 1 2,3 0.003 -1 1 0,2 0.001 0 1 10.007 25 1,15 0.001 1 0 0,14 0.001 0 1 0,12 0.001 -1 1 1.0263 95 14,1 0.001 -1 0 15,2 0.001 0 -1 12,3 0.001 1 0 1.0224 110 13,14 0.001 1 0 15,15 0.001 1 -1 15,12 0.001 -1 0 2.0255 125 ::s,0,1 s,0,3 s,1,3 s,2,0 s,3,2 f,3,3 f,3,12 f,12,1 f,14,13 
23:1,2 0.003 0 1 2,3 0.003 -1 1 0,2 0.001 0 1 10.007 25 2,15 0.001 1 0 0,15 0.001 0 1 0,12 0.001 0 1 1.0283 95 13,1 0.001 -1 0 15,1 0.001 0 -1 13,3 0.001 1 0 1.0254 110 14,14 0.001 1 0 15,15 0.001 0 -1 14,12 0.001 -1 0 2.0275 125 ::s,0,1 s,0,3 s,1,3 s,2,0 s,3,2 f,3,3 f,3,12 f,12,1 f,14,13 
24:1,2 0.003 1 1 2,3 0.003 -1 1 0,2 0.001 0 1 10.007 25 2,15 0.001 1 0 0,15 0.001 1 1 0,13 0.001 0 1 1.0293 95 13,1 0.001 -1 0 15,1 0.001 0 -1 13,3 0.001 1 0 3.0255 125 14,14 0.001 1 0 15,14 0.001 0 -1 14,12 0.001 -1 0 2.0285 125 ::s,0,1 s,0,3 s,1,3 s,2,0 s,3,2 f,3,3 f,3,12 f,12,3 f,14,13 
25:1,2 0.003 1 0 2,3 0.003 -1 1 0,2 0.001 0 1 10.007 25 3,15 0.001 1 0 0,15 0.001 1 0 0,14 0.001 0 1 1.0313 95 13,1 0.001 -1 1 15,0 0.001 0 -1 14,3 0.001 1 0 3.0275 125 14,14 0.001 1 -1 15,13 0.001 0 -1 13,12 0.001 -1 0 2.0305 125 ::s,0,1 s,0,3 s,1,3 s,2,0 s,3,2 f,3,3 f,3,12 f,12,3 f,14,13 
26:2,2 0.003 1 0 2,3 0.003 -1 1 0,2 0.001 0 1 10.008 25 3,15 0.001 1 -1 1,15 0.001 1 0 0,14 0.001 0 1 1.0323 95 13,1 0.001 0 1 15,0 0.001 -1 -1 14,3 0.001 1 0 3.0275 125 14,14 0.001 0 -1 15,13 0.001 0 -1 13,12 0.001 -1 0 2.0305 125 ::s,0,1 s,0,3 s,1,3 s,2,0 s,3,2 f,3,3 f,3,12 f,12,3 f,14,13 
27:2,2 0.003 1 0 2,3 0.003 -1 1 0,2 0.001 0 1 10.008 25 3,15 0.001 0 -1 2,15 0.001 1 0 0,15 0.001 0 1 1.0343 95 13,2 0.001 0 1 15,0 0.001 -1 0 15,3 0.001 1 0 3.0295 125 14,14 0.001 0 -1 15,12 0.001 0 -1 12,12 0.001 -1 0 2.0325 125 ::s,0,1 s,0,3 s,1,3 s,2,0 s,3,2 f,3,3 f,3,12 f,12,3 f,14,13 
28:2,2 0.003 1 0 2,3 0.003 -1 1 0,2 0.001 0 1 10.008 25 3,14 0.001 0 -1 2,15 0.001 1 0 0,15 0.001 1 1 1.0353 95 13,2 0.001 0 1 14,0 0.001 -1 0 15,3 0.001 1 -1 3.0305 125 14,14 0.001 0 -1 15,12 0.001 -1 -1 12,12 0.001 -1 1 4.0326 140 ::s,0,1 s,0,3 s,1,3 s,2,0 s,3,2 f,3,3 f,3,12 f,12,3 f,12,14 
29:2,2 0.003 1 -1 2,3 0.003 -1 1 0,2 0.001 0 1 10.008 25 3,13 0.001 0 -1 3,15 0.001 1 0 0,15 0.001 1 0 1.0373 95 13,2 0.001 1 1 13,0 0.001 -1 0 15,3 0.001 0 -1 3.0315 125 14,14 0.001 0 -1 15,12 0.001 -1 0 12,12 0.001 0 1 4.0326 140 ::s,0,1 s,0,3 s,1,3 s,2,0 s,3,2 f,3,3 f,3,12 f,12,3 f,12,14 
30:2,2 0.003 0 -1 2,3 0.003 -1 1 0,2 0.001 0 1 10.008 25 3,13 0.001 0 -1 3,15 0.001 1 -1 1,15 0.001 1 0 3.0384 110 13,2 0.001 1 0 13,0 0.001 -1 0 15,2 0.001 0 -1 3.0325 125 14,14 0.001 0 -1 14,12 0.001 -1 0 12,13 0.001 0 1 4.0346 140 ::s,0,1 s,0,3 s,1,3 f,1,12 s,2,0 s,3,2 f,3,3 f,12,3 f,12,14 
31:2,1 0.003 0 -1 2,3 0.003 -1 1 0,2 0.001 0 1 10.009 25 3,12 0.001 0 -1 3,15 0.001 0 -1 2,15 0.001 1 0 3.0404 110 14,2 0.001 1 0 12,0 0.001 -1 0 15,1 0.001 0 -1 3.0355 125 14,13 0.001 0 -1 13,12 0.001 -1 0 12,13 0.001 0 1 6.0367 155 ::s,0,1 s,0,3 s,1,3 f,1,12 s,2,0 s,3,2 f,3,3 f,12,3 f,13,14 
32:2,1 0.003 0 -1 2,3 0.003 -1 1 0,2 0.001 0 1 10.009 25 3,12 0.001 -1 -1 3,14 0.001 0 -1 2,15 0.001 1 0 3.0414 110 14,2 0.001 1 0 12,0 0.001 -1 1 15,1 0.001 0 -1 3.0355 125 14,13 0.001 0 -1 13,12 0.001 -1 0 12,14 0.001 0 1 6.0377 155 ::s,0,1 s,0,3 s,1,3 f,1,12 s,2,0 s,3,2 f,3,3 f,12,3 f,13,14 
33:2,1 0.003 0 -1 2,3 0.003 -1 1 0,2 0.001 0 1 10.009 25 3,12 0.001 -1 0 3,13 0.001 0 -1 3,15 0.001 1 0 3.0434 110 14,2 0.001 1 -1 12,0 0.001 0 1 15,0 0.001 0 -1 3.0365 125 14,13 0.001 -1 -1 12,12 0.001 -1 0 12,15 0.001 0 1 6.0397 155 ::s,0,1 s,0,3 s,1,3 f,1,12 s,2,0 s,3,2 f,3,3 f,12,3 f,13,14 
34:2,1 0.003 -1 -1 2,3 0.003 -1 1 0,2 0.001 0 1 10.009 25 2,12 0.001 -1 0 3,13 0.001 0 -1 3,15 0.001 1 -1 3.0444 110 14,2 0.001 0 -1 12,1 0.001 0 1 15,0 0.001 -1 -1 3.0375 125 14,13 0.001 -1 0 12,12 0.001 -1 1 12,15 0.001 1 1 6.0397 155 ::s,0,1 s,0,3 s,1,3 f,1,12 s,2,0 s,3,2 f,3,3 f,12,3 f,13,14 
35:2,1 0.003 -1 0 2,3 0.003 -1 1 0,2 0.001 0 1 10.009 25 2,12 0.001 -1 0 3,12 0.001 0 -1 3,15 0.001 0 -1 6.0455 125 14,1 0.001 0 -1 12,2 0.001 0 1 15,0 0.001 -1 0 3.0395 125 13,13 0.001 -1 0 12,12 0.001 0 1 12,15 0.001 1 0 6.0407 155 ::s,0,1 s,0,3 f,0,12 s,1,3 s,2,0 s,3,2 f,3,3 f,12,3 f,13,14 
36:1,1 0.003 -1 0 2,3 0.003 -1 1 0,2 0.001 0 1 10.01 25 1,12 0.001 -1 0 3,12 0.001 -1 -1 3,14 0.001 0 -1 6.0475 125 14,1 0.001 0 -1 12,2 0.001 0 1 14,0 0.001 -1 0 4.0406 140 13,13 0.001 -1 0 12,13 0.001 0 1 13,15 0.001 1 0 6.0427 155 ::s,0,1 s,0,3 f,0,12 s,1,3 s,2,0 s,3,2 f,3,3 f,13,14 f,14,2 
37:1,1 0.003 -1 0 2,3 0.003 -1 1 0,2 0.001 0 1 10.01 25 1,12 0.001 -1 0 3,12 0.001 -1 0 3,13 0.001 0 -1 10.0486 140 14,1 0.001 -1 -1 12,3 0.001 0 1 13,0 0.001 -1 0 4.0426 140 13,13 0.001 -1 1 12,14 0.001 0 1 14,15 0.001 1 0 6.0447 155 ::s,0,1 s,0,3 s,1,3 s,2,0 f,2,14 s,3,2 f,3,3 f,13,14 f,14,2 
38:1,1 0.003 -1 0 2,3 0.003 -1 1 0,2 0.001 0 1 10.01 25 0,12 0.001 -1 0 2,12 0.001 -1 0 3,13 0.001 0 -1 10.0506 140 14,1 0.001 -1 0 12,3 0.001 1 1 13,0 0.001 -1 0 4.0426 140 13,13 0.001 0 1 12,14 0.001 0 1 14,15 0.001 1 0 6.0447 155 ::s,0,1 s,0,3 s,1,3 s,2,0 f,2,14 s,3,2 f,3,3 f,13,14 f,14,2 
39:1,1 0.003 -1 1 2,3 0.003 -1 1 0,2 0.001 0 1 10.01 25 0,12 0.001 -1 1 1,12 0.001 -1 0 3,12 0.001 0 -1 10.0526 140 13,1 0.001 -1 0 12,3 0.001 1 0 12,0 0.001 -1 0 4.0446 140 13,13 0.001 0 1 12,15 0.001 0 1 15,15 0.001 1 0 6.0467 155 ::s,0,1 s,0,3 s,1,3 s,2,0 f,2,14 s,3,2 f,3,3 f,13,14 f,14,2 
40:1,1 0.003 0 1 2,3 0.003 -1 1 0,2 0.001 0 1 10.01 25 0,12 0.001 0 1 1,12 0.001 -1 0 3,12 0.001 -1 -1 10.0526 140 13,1 0.001 -1 0 13,3 0.001 1 0 12,0 0.001 -1 1 4.0456 140 13,13 0.001 0 1 12,15 0.001 1 1 15,15 0.001 1 -1 9.0468 170 ::s,0,1 s,0,3 s,1,3 s,2,0 f,2,14 s,3,2 f,3,3 f,12,13 f,14,2 
41:1,2 0.003 0 1 2,3 0.003 -1 1 0,2 0.001 0 1 10.011 25 0,13 0.001 0 1 0,12 0.001 -1 0 3,12 0.001 -1 0 10.0546 140 13,1 0.001 -1 1 14,3 0.001 1 0 12,0 0.001 0 1 4.0466 140 13,13 0.001 0 1 12,15 0.001 1 0 15,15 0.001 0 -1 9.0468 170 ::s,0,1 s,0,3 s,1,3 s,2,0 f,2,14 s,3,2 f,3,3 f,12,13 f,14,2 
