16
0:0,1 0.001 -1 -1 1,0 0.003 -1 -1 0,2 0.002 -1 1 0.002 50 2,14 0.001 -1 1 0,13 0.003 -1 1 0,12 0.002 0 -1 0.001 50 13,1 0.001 1 1 13,2 0.003 -1 0 14,1 0.002 1 1 0 50 13,15 0.001 -1 0 14,13 0.003 1 0 13,14 0.002 1 1 0.002 50 ::f,0,0 f,0,15 f,14,2 f,15,13 
1:0,1 0.001 0 -1 1,0 0.003 0 -1 0,2 0.002 -1 0 0.002 50 2,14 0.001 -1 0 0,13 0.003 -1 0 0,12 0.002 1 -1 0.001 50 13,1 0.001 1 1 13,2 0.003 -1 -1 14,1 0.002 0 1 0.0001 65 13,15 0.001 -1 -1 14,13 0.001 1 0 14,15 0.002 1 1 0.0031 65 ::f,0,0 f,0,15 f,12,15 f,14,2 
2:0,1 0.001 0 -1 1,0 0.003 1 -1 0,2 0.002 -1 -1 0.002 50 1,14 0.001 -1 0 0,13 0.003 -1 -1 0,12 0.002 1 0 0.002 50 13,1 0.001 1 1 13,2 0.003 0 -1 14,2 0.002 0 1 1.0012 80 13,15 0.001 0 -1 14,13 0.001 1 1 14,15 0.002 0 1 0.0031 65 ::f,0,0 f,0,15 f,12,15 f,15,3 
3:0,1 0.001 0 -1 1,0 0.003 1 0 0,2 0.002 0 -1 0.002 50 1,14 0.001 -1 0 0,13 0.003 0 -1 0,12 0.002 1 1 0.002 50 13,1 0.001 1 1 13,2 0.003 0 -1 14,2 0.001 0 1 1.0012 80 13,14 0.001 0 -1 14,13 0.001 0 1 14,15 0.002 -1 1 0.0041 65 ::f,0,0 f,0,15 f,12,15 f,15,3 
4:0,1 0.001 0 -1 2,0 0.003 1 0 0,2 0.002 1 -1 0.003 50 1,14 0.001 -1 -1 0,13 0.003 1 -1 1,13 0.002 1 1 0.003 50 13,1 0.001 1 1 13,2 0.001 0 -1 14,2 0.001 -1 1 1.0012 80 13,14 0.001 0 -1 14,14 0.001 0 1 14,15 0.002 -1 0 0.0051 65 ::f,0,0 f,0,15 f,12,15 f,15,3 
5:0,1 0.001 0 -1 3,0 0.003 1 0 1,1 0.002 1 -1 0.005 50 1,14 0.001 0 -1 1,12 0.003 1 -1 2,14 0.002 1 1 0.005 50 13,1 0.001 1 1 13,2 0.001 0 -1 14,2 0.001 -1 0 1.0012 80 13,13 0.001 0 -1 14,14 0.001 0 1 13,15 0.002 -1 0 0.0071 65 ::f,0,0 f,0,15 f,12,15 f,15,3 
6:0,1 0.001 0 -1 3,0 0.003 1 1 1,1 0.001 1 -1 0.005 50 1,13 0.001 0 -1 1,12 0.003 1 0 2,14 0.001 1 1 0.006 50 13,1 0.001 1 1 13,2 0.001 0 -1 14,2 0.001 -1 0 1.0012 80 13,13 0.001 0 -1 14,14 0.001 -1 1 13,15 0.001 -1 0 0.0072 80 ::f,0,0 f,0,15 f,15,3 f,15,13 
7:0,1 0.001 0 -1 3,0 0.003 0 1 1,1 0.001 1 -1 0.005 50 1,13 0.001 0 -1 2,12 0.003 1 0 2,14 0.001 0 1 0.007 50 13,1 0.001 1 1 13,2 0.001 0 -1 14,2 0.001 -1 0 1.0012 80 13,13 0.001 1 -1 14,14 0.001 -1 0 12,15 0.001 -1 0 0.0082 80 ::f,0,0 f,0,15 f,15,3 f,15,13 
8:0,1 0.001 0 -1 3,1 0.003 0 1 2,0 0.001 1 -1 0.007 50 1,13 0.001 1 -1 3,12 0.003 1 0 2,14 0.001 -1 1 0.008 50 13,1 0.001 1 1 13,2 0.001 0 -1 14,2 0.001 -1 0 1.0012 80 13,13 0.001 1 0 13,14 0.001 -1 0 12,15 0.001 -1 -1 0.0092 80 ::f,0,0 f,0,15 f,15,3 f,15,13 
9:0,1 0.001 0 -1 3,2 0.003 0 1 2,0 0.001 1 0 0.008 50 1,13 0.001 1 0 3,12 0.003 1 1 2,14 0.001 -1 0 0.008 50 13,1 0.001 1 1 13,2 0.001 0 -1 14,2 0.001 -1 0 1.0012 80 14,13 0.001 1 0 13,14 0.001 -1 0 12,15 0.001 0 -1 0.0102 80 ::f,0,0 f,0,15 f,15,3 f,15,13 
