16
0:2,1 0.001 0 -1 3,3 0.003 1 1 2,2 0.002 1 -1 0 50 3,14 0.001 0 -1 1,14 0.003 0 1 3,13 0.002 1 0 0.003 50 13,2 0.001 1 1 12,2 0.003 -1 -1 15,2 0.002 0 -1 0.001 50 12,14 0.001 1 0 12,15 0.003 1 0 14,12 0.002 0 -1 0 50 ::f,1,12 f,3,0 f,14,3 f,15,15 
1:2,1 0.001 -1 -1 3,3 0.003 1 0 2,2 0.002 0 -1 0 50 3,14 0.001 0 -1 1,14 0.001 0 1 3,13 0.002 1 -1 0.003 50 13,2 0.001 1 1 12,2 0.003 -1 0 15,1 0.002 0 -1 0.0021 65 13,14 0.001 1 0 13,15 0.003 1 0 14,12 0.002 -1 -1 0.002 50 ::f,1,12 f,3,0 f,12,3 f,15,15 
2:2,1 0.001 -1 0 3,3 0.003 1 -1 2,2 0.002 0 -1 0 50 3,14 0.001 0 -1 1,14 0.001 1 1 3,13 0.002 0 -1 0.003 50 14,3 0.001 1 1 12,2 0.003 -1 1 15,1 0.001 0 -1 0.0031 65 13,14 0.003 1 0 13,15 0.001 1 0 14,12 0.002 -1 0 0.002 45 ::f,1,12 f,3,0 f,12,3 s,14,14 f,15,15 
3:1,1 0.001 -1 0 3,3 0.003 0 -1 2,2 0.001 0 -1 0.001 50 3,14 0.001 0 -1 1,14 0.001 1 0 3,12 0.002 0 -1 0.004 50 14,3 0.001 1 1 12,2 0.003 0 1 15,1 0.001 -1 -1 0.0031 65 13,14 0.001 1 0 13,15 0.001 1 0 13,12 0.002 -1 0 0.003 45 ::f,1,12 f,3,0 f,12,3 s,14,14 f,15,15 
4:1,1 0.001 -1 0 3,2 0.003 0 -1 2,1 0.001 0 -1 0.003 50 3,13 0.001 0 -1 2,14 0.001 1 0 3,12 0.002 -1 -1 0.006 50 14,3 0.001 1 0 12,2 0.003 0 1 15,1 0.001 -1 0 0.0031 65 13,14 0.003 1 0 13,15 0.001 1 -1 12,12 0.002 -1 0 0.004 45 ::f,1,12 f,3,0 f,12,3 s,14,14 f,15,15 
5:1,1 0.001 -1 1 3,2 0.001 0 -1 2,1 0.001 0 -1 0.003 50 3,13 0.001 0 -1 2,14 0.001 1 0 3,12 0.002 -1 0 0.006 50 15,3 0.001 1 0 12,2 0.001 0 1 14,1 0.001 -1 0 0.0052 80 13,14 0.003 1 0 13,15 0.001 1 -1 12,12 0.002 -1 1 0.004 45 ::f,1,12 f,3,0 s,14,14 f,15,2 f,15,15 
6:1,1 0.001 0 1 3,1 0.001 0 -1 2,1 0.001 -1 -1 0.004 50 3,13 0.001 -1 -1 2,14 0.001 1 -1 2,12 0.002 -1 0 0.007 50 15,3 0.001 1 -1 12,3 0.001 0 1 13,1 0.001 -1 0 0.0072 80 13,14 0.003 1 0 13,15 0.001 1 -1 12,12 0.002 0 1 0.004 45 ::f,1,12 f,3,0 s,14,14 f,15,2 f,15,15 
7:1,2 0.001 0 1 3,1 0.001 0 -1 2,1 0.001 -1 0 0.0051 65 3,13 0.001 -1 0 2,14 0.001 0 -1 2,12 0.001 -1 0 0.0071 65 15,3 0.001 0 -1 12,3 0.001 1 1 13,1 0.001 -1 0 0.0072 80 13,14 0.003 1 0 13,15 0.001 1 -1 12,13 0.002 0 1 0.005 45 ::f,0,13 f,2,3 s,14,14 f,15,2 f,15,15 
8:1,2 0.001 0 1 3,0 0.001 0 -1 1,1 0.001 -1 0 0.0071 65 2,13 0.001 -1 0 2,14 0.001 0 -1 1,12 0.001 -1 0 0.0091 65 15,3 0.001 0 -1 12,3 0.001 1 0 13,1 0.001 -1 1 0.0072 80 13,14 0.003 1 0 13,15 0.001 0 -1 12,14 0.002 0 1 0.006 45 ::f,0,13 f,2,3 s,14,14 f,15,2 f,15,15 
9:1,2 0.001 1 1 3,0 0.001 -1 -1 1,1 0.001 -1 0 0.0071 65 2,13 0.001 -1 0 2,14 0.001 0 -1 1,12 0.001 -1 0 0.0091 65 15,3 0.001 0 -1 13,3 0.001 1 0 13,1 0.001 0 1 1.0083 95 13,14 0.003 1 0 13,15 0.001 0 -1 12,14 0.001 0 1 0.006 45 ::f,0,13 f,2,3 f,14,0 s,14,14 f,15,15 
10:1,2 0.001 1 0 3,0 0.001 -1 0 1,1 0.001 -1 1 0.0071 65 1,13 0.001 -1 0 2,13 0.001 0 -1 0,12 0.001 -1 0 0.0121 65 15,2 0.001 0 -1 14,3 0.001 1 0 13,2 0.001 0 1 1.0113 95 13,14 0.003 1 0 13,15 0.001 0 -1 12,15 0.001 0 1 0.007 45 ::f,0,13 f,2,3 f,14,0 s,14,14 f,15,15 
11:2,2 0.001 1 0 2,0 0.001 -1 0 1,1 0.001 0 1 0.0091 65 1,13 0.001 -1 0 2,13 0.001 0 -1 0,12 0.001 -1 1 0.0122 80 15,2 0.001 0 -1 14,3 0.001 1 0 13,2 0.001 0 1 1.0113 95 13,14 0.003 1 0 13,15 0.001 0 -1 12,15 0.001 1 1 0.007 45 ::f,1,12 f,2,3 f,14,0 s,14,14 f,15,15 
