update,timeToCoalescence,ID,accuracy_AVE,accuracy_LIST,alive,genomeLength,optimizeValue,sGained_AVE,sGained_LIST,sLost_AVE,sLost_LIST,score_AVE,score_LIST,timeOfBirth,totalBuilt_AVE,totalBuilt_LIST,totalFF_AVE,totalFF_LIST,totalGotHit_AVE,totalGotHit_LIST,totalHarvest_AVE,totalHarvest_LIST,totalShots_AVE,totalShots_LIST,totalStructFF_AVE,totalStructFF_LIST,totalStructGotHit_AVE,totalStructGotHit_LIST,totalStructHit_AVE,totalStructHit_LIST,totalSuccessfulShots_AVE,totalSuccessfulShots_LIST,totalSwitch_AVE,totalSwitch_LIST
0,0,8,100.000000,"[100.000000]",1,5000,36.053000,36.053000,"[36.053000]",0.000000,"[0.000000]",36.053000,"[36.053000]",-1,0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",12.000000,"[12]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",12.000000,"[12]",206.000000,"[206]"
100,0,30398,100.000000,"[100.000000]",1,4832,24.001000,36.001000,"[36.001000]",24.000000,"[24.000000]",24.001000,"[24.001000]",100,0.000000,"[0]",0.000000,"[0]",8.000000,"[8]",0.000000,"[0]",12.000000,"[12]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",12.000000,"[12]",2.000000,"[2]"
200,0,60334,91.666667,"[91.666667]",1,4268,18.003000,33.003000,"[33.003000]",30.000000,"[30.000000]",18.003000,"[18.003000]",200,1.000000,"[1]",0.000000,"[0]",10.000000,"[10]",0.000000,"[0]",12.000000,"[12]",1.000000,"[1]",1.000000,"[1]",0.000000,"[0]",11.000000,"[11]",2.000000,"[2]"
300,0,90361,100.000000,"[100.000000]",1,3693,36.003000,36.003000,"[36.003000]",0.000000,"[0.000000]",36.003000,"[36.003000]",300,0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",12.000000,"[12]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",12.000000,"[12]",1.000000,"[1]"
400,0,120324,91.666667,"[91.666667]",1,1724,24.502000,33.002000,"[33.002000]",17.000000,"[17.000000]",24.502000,"[24.502000]",400,0.000000,"[0]",1.000000,"[1]",6.000000,"[6]",0.000000,"[0]",12.000000,"[12]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",11.000000,"[11]",3.000000,"[3]"
500,0,150357,100.000000,"[100.000000]",1,2437,36.006000,36.006000,"[36.006000]",0.000000,"[0.000000]",36.006000,"[36.006000]",500,0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",12.000000,"[12]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",12.000000,"[12]",1.000000,"[1]"
600,0,180346,100.000000,"[100.000000]",1,2909,36.011000,36.011000,"[36.011000]",0.000000,"[0.000000]",36.011000,"[36.011000]",600,0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",12.000000,"[12]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",12.000000,"[12]",1.000000,"[1]"
700,0,210394,75.000000,"[75.000000]",1,1738,19.506000,27.006000,"[27.006000]",15.000000,"[15.000000]",19.506000,"[19.506000]",700,0.000000,"[0]",0.000000,"[0]",5.000000,"[5]",0.000000,"[0]",12.000000,"[12]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",9.000000,"[9]",1.000000,"[1]"
800,0,240392,83.333333,"[83.333333]",1,2746,25.013000,30.013000,"[30.013000]",10.000000,"[10.000000]",25.013000,"[25.013000]",800,0.000000,"[0]",2.000000,"[2]",4.000000,"[4]",0.000000,"[0]",12.000000,"[12]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",10.000000,"[10]",1.000000,"[1]"
900,0,270317,100.000000,"[100.000000]",1,1971,36.010000,36.010000,"[36.010000]",0.000000,"[0.000000]",36.010000,"[36.010000]",900,0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",12.000000,"[12]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",12.000000,"[12]",1.000000,"[1]"
1000,0,300396,100.000000,"[100.000000]",1,2293,36.013000,36.013000,"[36.013000]",0.000000,"[0.000000]",36.013000,"[36.013000]",1000,0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",12.000000,"[12]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",12.000000,"[12]",1.000000,"[1]"
1100,0,330304,100.000000,"[100.000000]",1,2661,36.073000,36.073000,"[36.073000]",0.000000,"[0.000000]",36.073000,"[36.073000]",1100,0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",12.000000,"[12]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",12.000000,"[12]",2.000000,"[2]"
1200,0,360306,100.000000,"[100.000000]",1,4165,18.002000,36.002000,"[36.002000]",36.000000,"[36.000000]",18.002000,"[18.002000]",1200,0.000000,"[0]",0.000000,"[0]",12.000000,"[12]",0.000000,"[0]",12.000000,"[12]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",12.000000,"[12]",0.000000,"[0]"
