update,timeToCoalescence,ID,accuracy_AVE,accuracy_LIST,alive,genomeLength,optimizeValue,sGained_AVE,sGained_LIST,sLost_AVE,sLost_LIST,score_AVE,score_LIST,timeOfBirth,totalBuilt_AVE,totalBuilt_LIST,totalFF_AVE,totalFF_LIST,totalGotHit_AVE,totalGotHit_LIST,totalHarvest_AVE,totalHarvest_LIST,totalShots_AVE,totalShots_LIST,totalStructFF_AVE,totalStructFF_LIST,totalStructGotHit_AVE,totalStructGotHit_LIST,totalStructHit_AVE,totalStructHit_LIST,totalSuccessfulShots_AVE,totalSuccessfulShots_LIST,totalSwitch_AVE,totalSwitch_LIST
8100,0,2430375,0.000000,"[0.000000]",1,7777,343.654000,348.654000,"[348.654000]",10.000000,"[10.000000]",343.654000,"[343.654000]",8100,0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",174.000000,"[174]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",2.000000,"[2]"
8200,0,2460335,0.000000,"[0.000000]",1,5680,139.868000,144.868000,"[144.868000]",10.000000,"[10.000000]",139.868000,"[139.868000]",8200,0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",72.000000,"[72]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",2.000000,"[2]"
8300,0,2490365,0.000000,"[0.000000]",1,3887,371.597000,376.597000,"[376.597000]",10.000000,"[10.000000]",371.597000,"[371.597000]",8300,0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",188.000000,"[188]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",2.000000,"[2]"
8400,0,2520399,0.000000,"[0.000000]",1,2854,371.640000,376.640000,"[376.640000]",10.000000,"[10.000000]",371.640000,"[371.640000]",8400,0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",188.000000,"[188]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",2.000000,"[2]"
8500,0,2550339,0.000000,"[0.000000]",1,1954,383.565000,388.565000,"[388.565000]",10.000000,"[10.000000]",383.565000,"[383.565000]",8500,0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",194.000000,"[194]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",2.000000,"[2]"
8600,0,2580355,0.000000,"[0.000000]",1,1947,353.624000,358.624000,"[358.624000]",10.000000,"[10.000000]",353.624000,"[353.624000]",8600,0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",179.000000,"[179]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",2.000000,"[2]"
8700,0,2610373,0.000000,"[0.000000]",1,2009,62.122000,64.622000,"[64.622000]",5.000000,"[5.000000]",62.122000,"[62.122000]",8700,0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",32.000000,"[32]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",1.000000,"[1]"
8800,0,2640303,0.000000,"[0.000000]",1,2612,342.639000,352.639000,"[352.639000]",20.000000,"[20.000000]",342.639000,"[342.639000]",8800,1.000000,"[1]",0.000000,"[0]",0.000000,"[0]",176.000000,"[176]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",4.000000,"[4]"
8900,0,2670331,0.000000,"[0.000000]",1,2469,100.096000,102.596000,"[102.596000]",5.000000,"[5.000000]",100.096000,"[100.096000]",8900,0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",51.000000,"[51]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",1.000000,"[1]"
9000,0,2700343,0.000000,"[0.000000]",1,2038,385.571000,390.571000,"[390.571000]",10.000000,"[10.000000]",385.571000,"[385.571000]",9000,0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",195.000000,"[195]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",2.000000,"[2]"
9100,0,2730381,0.000000,"[0.000000]",1,3298,397.635000,402.635000,"[402.635000]",10.000000,"[10.000000]",397.635000,"[397.635000]",9100,0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",201.000000,"[201]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",2.000000,"[2]"
9200,0,2760337,0.000000,"[0.000000]",1,4008,421.642000,426.642000,"[426.642000]",10.000000,"[10.000000]",421.642000,"[421.642000]",9200,0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",213.000000,"[213]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",2.000000,"[2]"
9300,0,2790337,0.000000,"[0.000000]",1,5023,387.622000,392.622000,"[392.622000]",10.000000,"[10.000000]",387.622000,"[387.622000]",9300,0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",196.000000,"[196]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",2.000000,"[2]"
9400,0,2820359,0.000000,"[0.000000]",1,7042,363.659000,368.659000,"[368.659000]",10.000000,"[10.000000]",363.659000,"[363.659000]",9400,0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",184.000000,"[184]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",2.000000,"[2]"
9500,0,2850385,0.000000,"[0.000000]",1,6466,369.633000,374.633000,"[374.633000]",10.000000,"[10.000000]",369.633000,"[369.633000]",9500,0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",187.000000,"[187]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",2.000000,"[2]"
9600,0,2880348,0.000000,"[0.000000]",1,7197,17.861000,22.861000,"[22.861000]",10.000000,"[10.000000]",17.861000,"[17.861000]",9600,0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",11.000000,"[11]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",2.000000,"[2]"
9700,0,2910319,0.000000,"[0.000000]",1,8413,363.678000,368.678000,"[368.678000]",10.000000,"[10.000000]",363.678000,"[363.678000]",9700,0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",184.000000,"[184]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",2.000000,"[2]"
9800,0,2940397,0.000000,"[0.000000]",1,7712,389.655000,394.655000,"[394.655000]",10.000000,"[10.000000]",389.655000,"[389.655000]",9800,0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",197.000000,"[197]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",2.000000,"[2]"
9900,0,2970311,0.000000,"[0.000000]",1,6313,425.612000,430.612000,"[430.612000]",10.000000,"[10.000000]",425.612000,"[425.612000]",9900,0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",215.000000,"[215]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",2.000000,"[2]"
10000,29,3000372,0.000000,"[0.000000]",1,6922,29.732000,34.732000,"[34.732000]",10.000000,"[10.000000]",29.732000,"[29.732000]",10000,0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",17.000000,"[17]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",2.000000,"[2]"
