update,timeToCoalescence,ID,accuracy_AVE,accuracy_LIST,alive,genomeLength,optimizeValue,sGained_AVE,sGained_LIST,sLost_AVE,sLost_LIST,score_AVE,score_LIST,timeOfBirth,totalBuilt_AVE,totalBuilt_LIST,totalFF_AVE,totalFF_LIST,totalGotHit_AVE,totalGotHit_LIST,totalHarvest_AVE,totalHarvest_LIST,totalShots_AVE,totalShots_LIST,totalStructFF_AVE,totalStructFF_LIST,totalStructGotHit_AVE,totalStructGotHit_LIST,totalStructHit_AVE,totalStructHit_LIST,totalSuccessfulShots_AVE,totalSuccessfulShots_LIST,totalSwitch_AVE,totalSwitch_LIST
0,0,67,0.000000,"[0.000000]",1,5000,0.000000,0.000000,"[0.000000]",0.000000,"[0.000000]",0.000000,"[0.000000]",-1,1.000000,"[1]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]"
100,0,30338,0.000000,"[0.000000]",1,5047,5.509000,8.009000,"[8.009000]",5.000000,"[5.000000]",5.509000,"[5.509000]",100,0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",4.000000,"[4]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",1.000000,"[1]"
200,0,60377,0.000000,"[0.000000]",1,4432,187.322000,192.322000,"[192.322000]",10.000000,"[10.000000]",187.322000,"[187.322000]",200,0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",96.000000,"[96]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",2.000000,"[2]"
300,0,90321,0.000000,"[0.000000]",1,4021,191.311000,196.311000,"[196.311000]",10.000000,"[10.000000]",191.311000,"[191.311000]",300,0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",98.000000,"[98]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",2.000000,"[2]"
400,0,120377,0.000000,"[0.000000]",1,3087,237.547000,242.547000,"[242.547000]",10.000000,"[10.000000]",237.547000,"[237.547000]",400,0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",121.000000,"[121]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",2.000000,"[2]"
500,0,150361,0.000000,"[0.000000]",1,2976,317.459000,322.459000,"[322.459000]",10.000000,"[10.000000]",317.459000,"[317.459000]",500,0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",161.000000,"[161]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",2.000000,"[2]"
600,0,180389,0.000000,"[0.000000]",1,2946,235.347000,240.347000,"[240.347000]",10.000000,"[10.000000]",235.347000,"[235.347000]",600,0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",120.000000,"[120]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",2.000000,"[2]"
700,0,210343,0.000000,"[0.000000]",1,4121,331.465000,336.465000,"[336.465000]",10.000000,"[10.000000]",331.465000,"[331.465000]",700,0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",168.000000,"[168]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",2.000000,"[2]"
800,0,240307,0.000000,"[0.000000]",1,4033,265.429000,270.429000,"[270.429000]",10.000000,"[10.000000]",265.429000,"[265.429000]",800,0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",135.000000,"[135]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",2.000000,"[2]"
900,0,270345,0.000000,"[0.000000]",1,2922,325.507000,330.507000,"[330.507000]",10.000000,"[10.000000]",325.507000,"[325.507000]",900,0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",165.000000,"[165]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",2.000000,"[2]"
1000,0,300353,0.000000,"[0.000000]",1,5859,349.497000,354.497000,"[354.497000]",10.000000,"[10.000000]",349.497000,"[349.497000]",1000,0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",177.000000,"[177]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",2.000000,"[2]"
1100,0,330363,0.000000,"[0.000000]",1,4517,329.474000,334.474000,"[334.474000]",10.000000,"[10.000000]",329.474000,"[329.474000]",1100,0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",167.000000,"[167]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",2.000000,"[2]"
1200,0,360357,0.000000,"[0.000000]",1,4232,271.463000,276.463000,"[276.463000]",10.000000,"[10.000000]",271.463000,"[271.463000]",1200,0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",138.000000,"[138]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",0.000000,"[0]",2.000000,"[2]"
